NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
25,Nick Anderson,SF,6-6,205,1968-01-20,US,8,Illinois
10,Darrell Armstrong,PG,6-0,170,1968-06-22,US,3,Fayetteville State University
2,David Benoit,SF,6-8,220,1968-05-09,US,5,Alabama
20,Kevin Edwards,SG,6-3,190,1965-10-30,US,9,DePaul
34,Brian Evans,SF,6-8,220,1973-09-13,US,1,Indiana
54,Horace Grant,C,6-10,215,1965-07-04,US,10,Clemson
1,Anfernee Hardaway,SG,6-7,195,1971-07-18,US,4,Memphis
12,Derek Harper,SG,6-4,185,1961-10-13,US,14,Illinois
9,Tim Kempton,PF,6-10,245,1964-01-25,US,7,Notre Dame
8,Jason Lawson,C,6-11,240,1974-09-02,US,R,Villanova
2,Vernon Maxwell,SG,6-4,180,1965-09-12,US,9,Florida
3,Kevin Ollie,PG,6-4,195,1972-12-27,US,R,UConn
45,Bo Outlaw,PF,6-8,210,1971-04-13,US,4,"South Plains College, Houston"
5,Mark Price,PG,6-0,170,1964-02-15,US,11,Georgia Tech
15,Donald Royal,SF,6-8,210,1966-05-22,US,7,Notre Dame
24,Danny Schayes,C,6-11,235,1959-05-10,US,16,Syracuse
4,Rony Seikaly,C,6-11,230,1965-05-10,LB,9,Syracuse
33,Derek Strong,PF,6-8,220,1968-02-09,US,6,Xavier
17,Johnny Taylor,SF,6-9,220,1974-06-04,US,R,"Indian Hills Community College, Chattanooga"
30,Carl Thomas,SG,6-4,175,1969-10-03,US,2,Eastern Michigan
4,Spud Webb,PG,5-6,133,1963-07-13,US,11,"Midland College, NC State"
21,Gerald Wilkins,SG,6-6,185,1963-09-11,US,11,Chattanooga
