Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1980,21,1481,SEA,Seattle Supersonics,25.0,NBA,SG,15.0,,582.0,100.0,244.0,0.41,5.0,15.0,0.33,95.0,229.0,0.42,0.42,52.0,62.0,0.84,25.0,39.0,64.0,57.0,27.0,10.0,43.0,48.0,257.0,,0.0
1981,24,1481,PHO,Phoenix Suns,26.0,NBA,PG,7.0,,267.0,52.0,110.0,0.47,1.0,5.0,0.2,51.0,105.0,0.49,0.48,32.0,42.0,0.76,7.0,26.0,33.0,20.0,9.0,9.0,19.0,18.0,137.0,,0.0
1982,24,1481,PHO,Phoenix Suns,27.0,NBA,SG,7.0,,271.0,63.0,132.0,0.48,0.0,3.0,0.0,63.0,129.0,0.49,0.48,30.0,39.0,0.77,13.0,18.0,31.0,32.0,15.0,4.0,25.0,28.0,156.0,,0.0
1983,24,1481,PHO,Phoenix Suns,28.0,NBA,PG,3.0,,108.0,22.0,48.0,0.46,0.0,1.0,0.0,22.0,47.0,0.47,0.46,10.0,12.0,0.83,6.0,17.0,23.0,17.0,5.0,2.0,8.0,9.0,54.0,,0.0
1984,2,1481,BOS,Boston Celtics,29.0,NBA,SG,22.0,,808.0,129.0,319.0,0.4,3.0,7.0,0.43,126.0,312.0,0.4,0.41,104.0,120.0,0.87,30.0,49.0,79.0,97.0,25.0,7.0,53.0,75.0,365.0,,0.0
1985,2,1481,BOS,Boston Celtics,30.0,NBA,PG,21.0,21.0,848.0,142.0,319.0,0.44,0.0,14.0,0.0,142.0,305.0,0.47,0.44,80.0,93.0,0.86,24.0,60.0,84.0,154.0,31.0,9.0,72.0,66.0,364.0,,0.0
1986,2,1481,BOS,Boston Celtics,31.0,NBA,PG,18.0,18.0,715.0,109.0,245.0,0.44,6.0,16.0,0.38,103.0,229.0,0.45,0.46,67.0,84.0,0.8,23.0,53.0,76.0,107.0,39.0,5.0,51.0,58.0,291.0,,0.0
1987,2,1481,BOS,Boston Celtics,32.0,NBA,PG,23.0,23.0,964.0,168.0,361.0,0.46,3.0,26.0,0.12,165.0,335.0,0.49,0.47,96.0,113.0,0.85,24.0,67.0,91.0,205.0,16.0,8.0,44.0,71.0,435.0,,0.0
1988,2,1481,BOS,Boston Celtics,33.0,NBA,PG,17.0,17.0,702.0,91.0,210.0,0.43,6.0,16.0,0.38,85.0,194.0,0.44,0.45,82.0,103.0,0.8,15.0,62.0,77.0,139.0,24.0,8.0,45.0,51.0,270.0,,1.0
1989,2,1481,BOS,Boston Celtics,34.0,NBA,PG,3.0,1.0,59.0,4.0,15.0,0.27,0.0,0.0,,4.0,15.0,0.27,0.27,0.0,0.0,,2.0,2.0,4.0,9.0,3.0,0.0,3.0,8.0,8.0,,0.0
1990,2,1481,BOS,Boston Celtics,35.0,NBA,PG,5.0,5.0,162.0,30.0,62.0,0.48,2.0,6.0,0.33,28.0,56.0,0.5,0.5,7.0,7.0,1.0,2.0,12.0,14.0,28.0,2.0,2.0,10.0,17.0,69.0,,0.0
