Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015,10,GSW,Golden State Warriors,Stephen Curry,26,21,21,826,200,439,0.46,98,232,0.42,102,207,0.49,0.57,96,115,0.84,20,85,105,134,39,3,82,47,594
2015,10,GSW,Golden State Warriors,Draymond Green,24,21,21,784,100,240,0.42,24,91,0.26,76,149,0.51,0.47,64,87,0.74,46,166,212,109,38,25,58,89,288
2015,10,GSW,Golden State Warriors,Klay Thompson,24,21,21,761,149,334,0.45,57,146,0.39,92,188,0.49,0.53,36,45,0.8,9,72,81,54,16,19,41,64,391
2015,10,GSW,Golden State Warriors,Harrison Barnes,22,21,21,681,88,200,0.44,22,62,0.36,66,138,0.48,0.5,25,34,0.74,45,65,110,32,17,11,22,45,223
2015,10,GSW,Golden State Warriors,Andre Iguodala,31,21,3,635,81,171,0.47,29,82,0.35,52,89,0.58,0.56,27,65,0.42,16,78,94,75,25,7,14,42,218
2015,10,GSW,Golden State Warriors,Andrew Bogut,30,19,18,440,42,75,0.56,0,1,0.0,42,74,0.57,0.56,5,13,0.38,41,112,153,36,11,34,26,69,89
2015,10,GSW,Golden State Warriors,Shaun Livingston,29,21,0,375,42,79,0.53,0,1,0.0,42,78,0.54,0.53,21,25,0.84,13,38,51,38,8,5,21,32,105
2015,10,GSW,Golden State Warriors,Leandro Barbosa,32,21,0,229,39,88,0.44,8,23,0.35,31,65,0.48,0.49,18,22,0.82,8,19,27,18,6,1,12,24,104
2015,10,GSW,Golden State Warriors,Festus Ezeli,25,20,0,183,27,50,0.54,0,0,,27,50,0.54,0.54,16,29,0.55,24,38,62,6,1,10,12,25,70
2015,10,GSW,Golden State Warriors,David Lee,31,13,0,107,16,40,0.4,0,0,,16,40,0.4,0.4,8,15,0.53,11,23,34,8,3,2,2,17,40
2015,10,GSW,Golden State Warriors,Marreese Speights,27,10,0,67,14,42,0.33,0,0,,14,42,0.33,0.33,9,15,0.6,8,13,21,4,4,3,4,14,37
2015,10,GSW,Golden State Warriors,Justin Holiday,25,5,0,11,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,,0,1,1,1,0,0,2,1,3
2015,10,GSW,Golden State Warriors,James Michael McAdoo,22,5,0,10,2,3,0.67,0,0,,2,3,0.67,0.67,0,0,,1,3,4,0,0,1,1,0,4
2015,10,GSW,Golden State Warriors,Brandon Rush,29,3,0,7,1,6,0.17,1,2,0.5,0,4,0.0,0.25,0,0,,1,2,3,0,0,0,0,2,3
