NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
10,Don Buse,PG,6-4,190,1950-08-10,US,12,University of Evansville
22,Larry Drew,PG,6-1,170,1958-04-02,US,4,Missouri
8,Eddie Johnson,SF,6-7,215,1959-05-01,US,3,Illinois
25,Billy Knight,SG,6-6,195,1952-06-09,US,10,Pitt
35,Mark McNamara,C,6-11,235,1959-06-08,US,2,"Santa Clara, California"
50,Joe Meriweather,C,6-10,215,1953-10-26,US,9,Southern Illinois
2,Kenny Natt,SG,6-3,185,1958-10-05,US,2,Louisiana-Monroe
20,Ed Nealy,PF,6-7,238,1960-02-19,US,2,Kansas State
53,Mark Olberding,PF,6-8,225,1956-04-21,US,9,Minnesota
30,David Pope,SF,6-7,220,1962-04-15,US,R,Norfolk State
2,Dane Suttle,SG,6-3,190,1961-08-09,US,1,Pepperdine
24,Reggie Theus,SG,6-7,190,1957-10-13,US,6,UNLV
41,LaSalle Thompson,C,6-10,245,1961-06-23,US,2,Texas
33,Otis Thorpe,PF,6-9,225,1962-08-05,US,R,Providence
40,Pete Verhoeven,PF,6-9,215,1959-02-15,US,3,Fresno State
42,Mike Woodson,SG,6-5,195,1958-03-24,US,4,Indiana
