NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
20,Gene Banks,SF,6-7,215,1959-05-15,US,3,Duke
10,Ron Brewer,SG,6-4,180,1955-07-16,US,6,Arkansas
45,Jeff Cook,PF,6-10,215,1956-10-21,US,5,Idaho State University
44,George Gervin,SG,6-7,180,1952-04-27,US,12,Eastern Michigan
53,Artis Gilmore,C,7-2,240,1949-09-21,US,13,"Gardner-Webb University, Jacksonville University"
32,Marc Iavaroni,PF,6-8,210,1956-09-15,US,2,Virginia
42,Edgar Jones,PF,6-10,225,1956-06-17,US,4,Nevada
8,Ozell Jones,C,6-11,235,1960-11-20,US,R,"Wichita State, Cal State Fullerton"
25,Billy Knight,SF,6-6,195,1952-06-09,US,10,Pitt
31,Mark McNamara,C,6-11,235,1959-06-08,US,2,"Santa Clara, California"
34,Mike Mitchell,SF,6-7,215,1956-01-01,US,6,Auburn
0,Johnny Moore,PG,6-1,175,1958-03-03,US,4,Texas
4,John Paxson,PG,6-2,185,1960-09-29,US,1,Notre Dame
11,Fred Roberts,PF,6-10,218,1960-08-14,US,1,BYU
21,Alvin Robertson,SG,6-3,185,1962-07-22,US,R,Arkansas
22,David Thirdkill,SF,6-7,195,1960-04-12,US,2,Bradley
2,Linton Townes,SF,6-7,190,1959-11-30,US,2,James Madison University
