NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
33,Kareem Abdul-Jabbar,C,7-2,225,1947-04-16,US,15,UCLA
21,Michael Cooper,SG,6-5,170,1956-04-15,US,6,New Mexico
32,Magic Johnson,PG,6-9,215,1959-08-14,US,5,Michigan State
1,Earl Jones,C,7-0,210,1961-01-13,US,R,University of the District of Columbia
25,Mitch Kupchak,PF,6-9,230,1954-05-24,US,7,UNC
12,Ronnie Lester,PG,6-2,175,1959-01-01,US,4,Iowa
11,Bob McAdoo,C,6-9,210,1951-09-25,US,12,UNC
40,Mike McGee,SF,6-5,190,1959-07-29,US,3,Michigan
43,Chuck Nevitt,C,7-5,217,1959-06-13,US,1,NC State
31,Kurt Rambis,PF,6-8,213,1958-02-25,US,3,Santa Clara
4,Byron Scott,SG,6-3,195,1961-03-28,US,1,Arizona State
35,Larry Spriggs,PF,6-7,230,1959-09-08,US,3,Howard University
52,Jamaal Wilkes,SF,6-6,190,1953-05-02,US,10,UCLA
42,James Worthy,SF,6-9,225,1961-02-27,US,2,UNC
