Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2011,CHI,Derrick Rose,1,1182.0,1210,0.977,MVP
2011,ORL,Dwight Howard,2,643.0,1210,0.531,MVP
2011,MIA,LeBron James,3,522.0,1210,0.431,MVP
2011,LAL,Kobe Bryant,4,428.0,1210,0.354,MVP
2011,OKC,Kevin Durant,5,190.0,1210,0.157,MVP
2011,DAL,Dirk Nowitzki,6,113.0,1210,0.093,MVP
2011,MIA,Dwyane Wade,7,24.0,1210,0.02,MVP
2011,SAS,Manu Ginobili,8,20.0,1210,0.017,MVP
2011,NYK,Amar'e Stoudemire,9,9.0,1210,0.007,MVP
2011,LAC,Blake Griffin,10T,5.0,1210,0.004,MVP
2011,BOS,Rajon Rondo,10T,5.0,1210,0.004,MVP
2011,SAS,Tony Parker,12,3.0,1210,0.002,MVP
2011,NOH,Chris Paul,13,2.0,1210,0.002,MVP
