Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992,1,118,ATL,Atlanta Hawks,Stacey Augmon,"August 1, 1968",23.0,NBA,SG,82.0,82.0,2505.0,6.3,12.9,0.49,0.0,0.1,0.17,6.3,12.8,0.49,3.1,4.6,0.67,2.7,3.3,6.0,2.9,1.8,0.4,2.6,2.3,15.7
1993,1,118,ATL,Atlanta Hawks,Stacey Augmon,"August 1, 1968",24.0,NBA,SG,73.0,66.0,2112.0,6.8,13.5,0.5,0.0,0.1,0.0,6.8,13.4,0.5,3.9,5.2,0.74,2.4,2.5,4.9,2.9,1.6,0.3,2.7,2.4,17.4
1994,1,118,ATL,Atlanta Hawks,Stacey Augmon,"August 1, 1968",25.0,NBA,SG,82.0,82.0,2605.0,6.1,11.9,0.51,0.0,0.1,0.14,6.1,11.8,0.51,4.6,6.0,0.76,2.5,3.0,5.4,2.6,2.1,0.6,2.0,2.5,16.7
1995,1,118,ATL,Atlanta Hawks,Stacey Augmon,"August 1, 1968",26.0,NBA,SG,76.0,76.0,2362.0,6.1,13.4,0.45,0.1,0.4,0.27,5.9,13.0,0.46,3.8,5.3,0.73,2.4,3.2,5.6,3.0,1.5,0.7,2.3,2.5,16.0
1996,1,118,ATL,Atlanta Hawks,Stacey Augmon,"August 1, 1968",27.0,NBA,SF,77.0,49.0,2294.0,5.7,11.6,0.49,0.0,0.1,0.25,5.7,11.5,0.49,3.9,5.0,0.79,2.1,2.6,4.8,2.1,1.7,0.5,2.2,3.0,15.3
1997,31,118,TOT,Total After Trade,Stacey Augmon,"August 1, 1968",28.0,NBA,SG,60.0,10.0,942.0,4.0,8.4,0.48,0.0,0.0,,4.0,8.4,0.48,2.6,3.7,0.71,1.8,3.5,5.3,2.1,1.6,0.6,2.4,3.3,10.7
1997,9,118,DET,Detroit Pistons,Stacey Augmon,"August 1, 1968",28.0,NBA,SG,20.0,3.0,292.0,3.8,9.5,0.4,0.0,0.0,,3.8,9.5,0.4,3.5,5.1,0.68,1.7,4.3,6.0,1.8,1.2,1.2,3.3,3.6,11.1
1997,25,118,POR,Portland Trail Blazers,Stacey Augmon,"August 1, 1968",28.0,NBA,SG,40.0,7.0,650.0,4.1,7.9,0.52,0.0,0.0,,4.1,7.9,0.52,2.3,3.1,0.73,1.8,3.1,4.9,2.3,1.8,0.4,2.0,3.2,10.5
1998,25,118,POR,Portland Trail Blazers,Stacey Augmon,"August 1, 1968",29.0,NBA,SG,71.0,23.0,1445.0,3.8,9.3,0.41,0.0,0.2,0.14,3.8,9.1,0.42,2.3,3.9,0.6,2.6,3.3,5.9,2.2,1.4,0.8,2.0,3.6,10.0
1999,25,118,POR,Portland Trail Blazers,Stacey Augmon,"August 1, 1968",30.0,NBA,SF,48.0,21.0,874.0,3.2,7.2,0.45,0.0,0.1,0.0,3.2,7.1,0.45,2.1,3.1,0.68,1.9,3.2,5.1,2.4,2.3,0.7,1.2,3.3,8.6
2000,25,118,POR,Portland Trail Blazers,Stacey Augmon,"August 1, 1968",31.0,NBA,SG,59.0,0.0,692.0,4.3,9.1,0.47,0.0,0.1,0.0,4.3,9.0,0.48,1.9,2.9,0.67,2.2,3.8,6.0,2.8,1.4,0.6,2.0,3.6,10.6
2001,25,118,POR,Portland Trail Blazers,Stacey Augmon,"August 1, 1968",32.0,NBA,SG,66.0,23.0,1182.0,3.9,8.1,0.48,0.0,0.1,0.0,3.9,8.0,0.48,1.7,2.6,0.66,1.8,3.0,4.8,3.0,1.5,0.6,1.5,3.2,9.5
2002,4,118,CHO,Charlotte Hornets,Stacey Augmon,"August 1, 1968",33.0,NBA,SG,77.0,3.0,1319.0,3.8,9.0,0.43,0.0,0.1,0.0,3.8,8.9,0.43,2.1,2.8,0.76,1.6,4.5,6.1,2.8,1.5,0.3,1.5,3.1,9.7
2003,19,118,NOH,New Orleans Hornets,Stacey Augmon,"August 1, 1968",34.0,NBA,SG,70.0,3.0,862.0,3.3,8.0,0.41,0.0,0.3,0.0,3.3,7.7,0.43,2.3,3.0,0.75,1.1,3.9,5.0,2.9,1.1,0.4,1.7,3.3,8.9
2004,19,118,NOH,New Orleans Hornets,Stacey Augmon,"August 1, 1968",35.0,NBA,SF,69.0,24.0,1416.0,3.6,8.8,0.41,0.0,0.2,0.14,3.6,8.6,0.42,2.8,3.5,0.79,1.3,3.1,4.4,2.2,1.4,0.4,1.9,2.9,10.1
2005,22,118,ORL,Orlando Magic,Stacey Augmon,"August 1, 1968",36.0,NBA,SF,55.0,7.0,663.0,3.7,9.1,0.41,0.0,0.0,,3.7,9.1,0.41,3.1,4.2,0.74,2.4,2.9,5.4,2.0,1.2,0.4,1.7,4.5,10.5
2006,22,118,ORL,Orlando Magic,Stacey Augmon,"August 1, 1968",37.0,NBA,SF,36.0,3.0,385.0,2.3,6.8,0.34,0.0,0.0,,2.3,6.8,0.34,2.0,2.8,0.7,1.7,3.3,5.0,2.2,1.1,0.6,1.0,3.7,6.6
