Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2002,12,215,IND,Indiana Pacers,24,Jonathan Bender,SF,6-11,202,1981-01-30,US,2,
2002,12,234,IND,Indiana Pacers,4,Travis Best,PG,5-11,182,1972-07-12,US,6,Georgia Tech
2002,12,343,IND,Indiana Pacers,2,Jamison Brewer,SG,6-4,184,1980-11-19,US,R,Auburn
2002,12,347,IND,Indiana Pacers,27,Primoz Brezec,C,7-2,252,1979-10-02,SI,R,
2002,12,636,IND,Indiana Pacers,44,Austin Croshere,PF,6-9,235,1975-05-01,US,4,Providence
2002,12,947,IND,Indiana Pacers,10,Jeff Foster,C,6-11,236,1977-01-16,US,2,Texas State University
2002,12,1199,IND,Indiana Pacers,3,Al Harrington,PF,6-9,230,1980-02-17,US,3,
2002,12,1976,IND,Indiana Pacers,5,Ron Mercer,SG,6-7,210,1976-05-18,US,4,Kentucky
2002,12,1995,IND,Indiana Pacers,52,Brad Miller,C,6-11,244,1976-04-12,US,3,Purdue
2002,12,2002,IND,Indiana Pacers,31,Reggie Miller,SG,6-7,185,1965-08-24,US,14,UCLA
2002,12,2181,IND,Indiana Pacers,7,Jermaine O'Neal,PF,6-11,226,1978-10-13,US,5,
2002,12,2211,IND,Indiana Pacers,12,Kevin Ollie,PG,6-4,195,1972-12-27,US,4,UConn
2002,12,2451,IND,Indiana Pacers,21,Norm Richardson,SG,6-5,190,1979-07-24,US,R,Hofstra
2002,12,2504,IND,Indiana Pacers,6,Carlos Rogers,C,6-11,220,1971-02-06,US,7,"Little Rock, Tennessee State"
2002,12,2513,IND,Indiana Pacers,5,Jalen Rose,SF,6-8,210,1973-01-30,US,7,Michigan
2002,12,2792,IND,Indiana Pacers,40,Bruno Sundov,C,7-2,220,1980-02-10,HR,3,
2002,12,2894,IND,Indiana Pacers,11,Jamaal Tinsley,PG,6-3,195,1978-02-28,US,R,Iowa State
2002,12,3240,IND,Indiana Pacers,15,Metta World Peace,SF,6-6,260,1979-11-13,US,2,St. John's
