Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2002,26,3012,SAC,Sacramento Kings,Gerald Wallace,"July 23, 1982",19.0,NBA,SF,54.0,1.0,430.0,8.8,20.4,0.43,0.0,0.8,0.0,8.8,19.6,0.45,2.7,5.4,0.5,5.7,4.7,10.4,3.2,2.2,0.7,2.6,5.4,20.2,97.0,102.0
2003,26,3012,SAC,Sacramento Kings,Gerald Wallace,"July 23, 1982",20.0,NBA,SF,47.0,7.0,571.0,7.9,16.1,0.49,0.1,0.4,0.25,7.8,15.8,0.5,3.4,6.5,0.53,3.3,7.9,11.3,2.0,2.1,1.3,3.9,6.0,19.4,94.0,98.0
2004,26,3012,SAC,Sacramento Kings,Gerald Wallace,"July 23, 1982",21.0,NBA,SF,37.0,1.0,337.0,4.9,13.7,0.36,0.0,0.3,0.0,4.9,13.4,0.37,1.7,3.7,0.46,5.4,6.0,11.4,2.9,2.1,2.1,1.2,5.7,11.5,96.0,104.0
2005,4,3012,CHA,Charlotte Bobcats,Gerald Wallace,"July 23, 1982",22.0,NBA,SF,70.0,68.0,2147.0,6.9,15.4,0.45,0.4,1.5,0.27,6.5,13.9,0.47,4.6,7.0,0.66,2.9,6.5,9.4,3.3,2.8,2.2,3.9,4.4,18.9,97.0,104.0
2006,4,3012,CHA,Charlotte Bobcats,Gerald Wallace,"July 23, 1982",23.0,NBA,SF,55.0,52.0,1895.0,8.6,16.0,0.54,0.4,1.4,0.28,8.2,14.6,0.56,5.1,8.3,0.61,3.3,7.8,11.2,2.6,3.7,3.1,2.7,4.1,22.7,112.0,100.0
2007,4,3012,CHA,Charlotte Bobcats,Gerald Wallace,"July 23, 1982",24.0,NBA,SF,72.0,71.0,2640.0,9.4,18.8,0.5,0.8,2.4,0.32,8.7,16.4,0.53,6.1,8.8,0.69,2.8,7.4,10.2,3.7,2.8,1.4,3.2,4.1,25.8,110.0,104.0
2008,4,3012,CHA,Charlotte Bobcats,Gerald Wallace,"July 23, 1982",25.0,NBA,PF,62.0,59.0,2376.0,9.0,20.0,0.45,1.6,4.9,0.32,7.4,15.1,0.49,6.9,9.4,0.73,1.3,6.9,8.2,4.8,2.9,1.3,4.0,4.2,26.4,104.0,106.0
2009,4,3012,CHA,Charlotte Bobcats,Gerald Wallace,"July 23, 1982",26.0,NBA,SF,71.0,71.0,2669.0,7.9,16.5,0.48,0.8,2.7,0.3,7.1,13.8,0.52,7.4,9.2,0.8,2.3,9.0,11.3,3.8,2.5,1.4,3.0,4.3,24.1,115.0,102.0
2010,4,3012,CHA,Charlotte Bobcats,Gerald Wallace,"July 23, 1982",27.0,NBA,SF,76.0,76.0,3119.0,7.8,16.1,0.48,0.9,2.4,0.37,6.9,13.7,0.5,7.2,9.3,0.78,2.6,10.4,13.0,2.7,2.0,1.4,3.0,3.3,23.6,113.0,100.0
2011,31,3012,TOT,Total After Trade,Gerald Wallace,"July 23, 1982",28.0,NBA,"PF,SF",71.0,63.0,2693.0,7.7,17.0,0.45,1.2,3.7,0.33,6.5,13.3,0.49,5.6,7.5,0.75,2.2,9.2,11.4,3.5,2.1,1.3,3.0,3.7,22.3,107.0,105.0
