Season,Team ID,Team ABV,Team,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1996,3,NJN,New Jersey Nets,Armen Gilliam,31.0,78.0,2856.0,0.47,0.47,0.0,0.47,0.79,0.52,0.29,0.0,103.0,98.0,,95.0,107.0,96.0,87.0,,-60.9,-56.0
1996,3,NJN,New Jersey Nets,Chris Childs,28.0,78.0,2408.0,0.42,0.44,0.37,0.48,0.85,0.55,0.39,0.33,90.0,91.0,100.0,96.0,115.0,101.0,119.0,166.0,-33.0,13.7
1996,3,NJN,New Jersey Nets,P.J. Brown,26.0,81.0,2942.0,0.44,0.45,0.2,0.44,0.77,0.5,0.33,0.02,96.0,92.0,55.0,89.0,104.0,92.0,101.0,9.0,-85.0,-76.4
1996,3,NJN,New Jersey Nets,Shawn Bradley,23.0,67.0,1995.0,0.44,0.44,0.25,0.44,0.68,0.48,0.28,0.0,96.0,91.0,68.0,89.0,92.0,89.0,87.0,3.0,-85.0,-107.6
1996,3,NJN,New Jersey Nets,Jayson Williams,27.0,80.0,1858.0,0.42,0.42,0.29,0.42,0.59,0.46,0.41,0.01,91.0,87.0,78.0,85.0,80.0,85.0,125.0,5.0,-98.3,-124.1
1996,3,NJN,New Jersey Nets,Vern Fleming,33.0,77.0,1747.0,0.43,0.45,0.11,0.44,0.75,0.49,0.34,0.05,94.0,93.0,29.0,87.0,102.0,90.0,103.0,27.0,-65.7,-62.4
1996,3,NJN,New Jersey Nets,Kenny Anderson,25.0,31.0,1042.0,0.38,0.38,0.36,0.42,0.8,0.51,0.5,0.26,81.0,78.0,99.0,85.0,109.0,94.0,150.0,130.0,-57.0,-28.6
1996,3,NJN,New Jersey Nets,Ed O'Bannon,23.0,64.0,1253.0,0.39,0.42,0.18,0.4,0.71,0.45,0.27,0.14,84.0,87.0,49.0,81.0,96.0,82.0,82.0,70.0,-77.0,-86.1
1996,3,NJN,New Jersey Nets,Kevin Edwards,30.0,34.0,1007.0,0.36,0.35,0.4,0.42,0.81,0.46,0.22,0.27,79.0,72.0,110.0,84.0,109.0,85.0,65.0,133.0,-63.0,-68.8
1996,3,NJN,New Jersey Nets,Kendall Gill,27.0,11.0,418.0,0.44,0.46,0.36,0.47,0.83,0.54,0.39,0.16,95.0,94.0,98.0,94.0,112.0,100.0,118.0,82.0,-8.6,-0.9
1996,3,NJN,New Jersey Nets,Greg Graham,25.0,45.0,485.0,0.38,0.39,0.37,0.46,0.73,0.5,0.32,0.42,82.0,80.0,100.0,92.0,98.0,93.0,96.0,211.0,-13.6,-14.8
1996,3,NJN,New Jersey Nets,Yinka Dare,23.0,58.0,626.0,0.44,0.44,,0.44,0.61,0.48,0.43,0.0,95.0,90.0,,88.0,83.0,88.0,131.0,,-17.6,-21.7
1996,3,NJN,New Jersey Nets,Rick Mahorn,37.0,50.0,450.0,0.35,0.36,0.0,0.35,0.72,0.42,0.38,0.01,76.0,73.0,,71.0,98.0,78.0,117.0,4.0,-35.7,-34.7
1996,3,NJN,New Jersey Nets,Khalid Reeves,23.0,31.0,415.0,0.38,0.44,0.31,0.45,0.58,0.48,0.28,0.5,81.0,91.0,84.0,91.0,78.0,88.0,86.0,252.0,-9.7,-15.9
1996,3,NJN,New Jersey Nets,Tim Perry,30.0,22.0,167.0,0.49,0.5,0.43,0.52,0.5,0.52,0.13,0.15,106.0,103.0,117.0,105.0,68.0,97.0,39.0,74.0,2.1,-1.8
1996,3,NJN,New Jersey Nets,Robert Werdann,25.0,13.0,93.0,0.5,0.5,,0.5,0.54,0.52,0.41,0.0,108.0,103.0,,100.0,73.0,95.0,123.0,,0.1,-1.9
1996,3,NJN,New Jersey Nets,Rex Walters,25.0,11.0,87.0,0.36,0.43,0.25,0.41,1.0,0.46,0.18,0.36,79.0,88.0,68.0,82.0,135.0,85.0,55.0,182.0,-5.9,-5.6
1996,3,NJN,New Jersey Nets,Gerald Glass,28.0,10.0,56.0,0.36,0.39,0.2,0.38,,0.38,0.0,0.18,77.0,81.0,55.0,75.0,,69.0,,89.0,-6.9,-9.4
1996,3,NJN,New Jersey Nets,Team,,,,0.43,0.44,0.33,0.45,0.75,0.5,0.33,0.09,93.0,91.0,90.0,89.0,101.0,92.0,101.0,46.0,-536.2,-518.4
1996,3,NJN,New Jersey Nets,League Average,,,,0.46,0.49,0.37,0.5,0.74,0.54,0.33,0.2,,,,,,,,,,
