PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Isiah Thomas,25,15,15,562,8.6,19.0,0.451,0.6,2.1,0.303,7.9,16.9,0.47,5.3,7.0,0.755,1.3,2.9,4.3,8.3,2.5,0.3,2.7,3.3,23.1
Bill Laimbeer,29,15,15,543,5.6,10.8,0.515,0.1,0.3,0.2,5.5,10.5,0.525,1.0,1.6,0.625,2.0,8.4,10.3,2.5,1.0,0.8,1.3,3.5,12.2
Adrian Dantley,31,15,15,500,8.0,14.8,0.539,0.0,0.0,,8.0,14.8,0.539,6.2,8.0,0.775,2.1,2.8,4.9,2.5,0.9,0.0,2.4,2.6,22.2
Rick Mahorn,28,15,15,483,4.4,8.1,0.541,0.0,0.1,0.0,4.4,8.0,0.546,2.1,2.6,0.8,3.1,7.5,10.6,0.4,0.4,0.8,1.2,4.5,10.9
Joe Dumars,23,15,15,473,5.9,11.0,0.5379999999999999,0.2,0.2,0.667,5.8,10.8,0.535,2.4,3.1,0.78,0.6,0.8,1.4,5.5,0.9,0.1,2.1,2.0,14.5
Vinnie Johnson,30,15,0,388,8.8,19.2,0.45899999999999996,0.0,0.2,0.0,8.8,19.0,0.46299999999999997,2.9,3.3,0.861,1.9,2.2,4.1,5.8,0.8,0.4,2.1,3.1,20.5
John Salley,22,15,0,311,3.8,7.6,0.5,0.0,0.0,,3.8,7.6,0.5,3.1,4.9,0.643,3.5,4.9,8.3,1.3,0.3,2.0,1.6,6.9,10.8
Dennis Rodman,25,15,0,245,5.9,10.9,0.541,0.0,0.0,,5.9,10.9,0.541,2.6,4.7,0.563,4.7,5.7,10.4,0.4,0.9,2.5,2.5,7.1,14.4
Sidney Green,26,9,0,42,5.1,8.6,0.6,0.0,0.0,,5.1,8.6,0.6,4.3,5.1,0.833,2.6,5.1,7.7,0.9,0.9,1.7,2.6,1.7,14.6
Kurt Nimphius,28,4,0,30,3.6,10.8,0.33299999999999996,0.0,0.0,,3.6,10.8,0.33299999999999996,2.4,4.8,0.5,6.0,6.0,12.0,0.0,0.0,2.4,3.6,12.0,9.6
Tony Campbell,24,4,0,13,8.3,16.6,0.5,2.8,2.8,1.0,5.5,13.8,0.4,5.5,5.5,1.0,0.0,13.8,13.8,0.0,0.0,0.0,0.0,2.8,24.9
Chuck Nevitt,27,3,0,10,3.6,18.0,0.2,0.0,0.0,,3.6,18.0,0.2,7.2,7.2,1.0,3.6,18.0,21.6,0.0,0.0,10.8,10.8,3.6,14.4
