SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,10,GSW,Sleepy Floyd,26,10,10,414,6.7,13.2,0.51,1.1,2.4,0.46,5.6,10.8,0.52,4.1,4.4,0.92,0.8,1.8,2.6,8.9,1.6,0.2,3.0,2.1,18.6
1987,10,GSW,Joe Barry Carroll,28,10,10,334,8.0,17.6,0.45,0.0,0.1,0.0,8.0,17.5,0.46,4.4,5.5,0.8,1.7,5.3,7.0,2.0,1.5,2.7,3.3,4.5,20.4
1987,10,GSW,Larry Smith,29,10,10,329,4.7,8.9,0.53,0.0,0.0,,4.7,8.9,0.53,1.9,2.6,0.71,6.7,8.3,15.0,1.9,1.3,0.7,1.5,4.3,11.3
1987,10,GSW,Chris Mullin,23,10,10,262,6.7,13.5,0.5,0.4,0.5,0.75,6.3,12.9,0.49,1.6,2.2,0.75,0.3,1.8,2.1,3.2,1.2,0.3,2.2,4.3,15.5
1987,10,GSW,Purvis Short,29,10,2,253,8.1,17.5,0.46,0.0,0.3,0.0,8.1,17.2,0.47,4.6,5.1,0.89,1.7,3.0,4.7,3.8,1.7,0.3,3.0,4.8,20.8
1987,10,GSW,Terry Teagle,26,10,0,233,8.8,19.2,0.46,0.0,0.3,0.0,8.8,18.8,0.47,4.6,5.9,0.79,2.0,1.1,3.1,2.0,1.2,0.2,2.2,4.2,22.2
1987,10,GSW,Greg Ballard,32,10,0,179,5.2,9.7,0.54,0.8,2.0,0.4,4.4,7.6,0.58,0.6,0.8,0.75,3.6,4.4,8.0,3.8,1.6,0.0,1.8,3.2,11.9
1987,10,GSW,Rod Higgins,27,10,8,177,3.7,9.4,0.39,0.2,0.2,1.0,3.5,9.2,0.38,1.2,1.8,0.67,1.0,3.3,4.3,2.4,2.2,1.2,0.4,4.1,8.7
1987,10,GSW,Jerome Whitehead,30,10,0,100,3.2,9.7,0.33,0.0,0.0,,3.2,9.7,0.33,1.4,3.6,0.4,1.8,3.2,5.0,1.1,0.7,0.7,0.4,7.9,7.9
1987,10,GSW,Ben McDonald,24,5,0,45,0.8,8.8,0.09,0.0,1.6,0.0,0.8,7.2,0.11,0.0,0.0,,1.6,3.2,4.8,7.2,1.6,0.0,0.0,5.6,1.6
1987,10,GSW,Perry Moss,28,8,0,45,6.4,11.2,0.57,0.8,0.8,1.0,5.6,10.4,0.54,6.4,7.2,0.89,1.6,2.4,4.0,4.0,4.8,0.0,2.4,4.0,20.0
1987,10,GSW,Chris Washburn,21,5,0,29,3.7,8.7,0.43,0.0,0.0,,3.7,8.7,0.43,6.2,7.4,0.83,0.0,1.2,1.2,2.5,0.0,0.0,5.0,2.5,13.7
