SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,25,POR,Kiki Vandeweghe,28,4,4,174,7.9,14.7,0.54,0.2,0.8,0.25,7.7,13.9,0.55,4.6,5.4,0.85,1.0,1.7,2.7,2.3,0.2,0.2,2.3,2.1,20.5
1987,25,POR,Clyde Drexler,24,4,4,153,8.5,18.6,0.46,0.2,0.9,0.25,8.2,17.6,0.47,5.4,6.8,0.79,3.8,3.3,7.1,3.5,1.6,0.7,1.4,3.8,22.6
1987,25,POR,Terry Porter,23,4,4,150,5.8,12.0,0.48,0.5,1.2,0.4,5.3,10.8,0.49,4.3,4.8,0.9,0.2,4.3,4.6,9.6,2.4,0.5,3.1,3.4,16.3
1987,25,POR,Steve Johnson,29,4,4,137,7.4,16.0,0.46,0.0,0.0,,7.4,16.0,0.46,7.1,11.3,0.63,4.5,6.0,10.5,0.5,0.5,0.3,2.4,3.9,21.8
1987,25,POR,Caldwell Jones,36,4,4,129,1.4,3.3,0.42,0.0,0.0,,1.4,3.3,0.42,1.4,1.7,0.83,2.5,6.1,8.7,1.7,0.0,1.7,1.4,4.2,4.2
1987,25,POR,Jim Paxson,29,4,0,94,5.0,12.3,0.41,0.0,0.8,0.0,5.0,11.5,0.43,3.1,3.4,0.89,1.5,1.9,3.4,5.0,1.9,0.0,1.5,3.1,13.0
1987,25,POR,Jerome Kersey,24,4,0,60,6.0,15.0,0.4,0.0,0.0,,6.0,15.0,0.4,2.4,2.4,1.0,3.6,7.8,11.4,1.8,3.0,0.6,3.6,7.8,14.4
1987,25,POR,Kevin Duckworth,22,4,0,53,4.1,8.2,0.5,0.0,0.0,,4.1,8.2,0.5,1.4,3.4,0.4,2.0,3.4,5.4,0.7,2.7,0.7,4.1,9.5,9.5
1987,25,POR,Michael Holton,25,2,0,9,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,8.0
1987,25,POR,Fernando MartA­n,24,1,0,1,0.0,36.0,0.0,0.0,0.0,,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
