Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,20,495,NYK,New York Knicks,22.0,NBA,C,82.0,,3150.0,7.6,13.9,0.55,0.0,0.0,,7.6,13.9,0.55,5.2,6.5,0.8,2.2,6.1,8.3,1.9,0.5,1.2,2.5,3.2,20.4
1981,20,495,NYK,New York Knicks,23.0,NBA,C,82.0,,2925.0,7.6,13.8,0.55,0.0,0.0,0.0,7.6,13.7,0.55,5.0,6.4,0.79,2.0,5.6,7.5,1.4,0.6,1.0,2.5,3.2,20.3
1982,20,495,NYK,New York Knicks,24.0,NBA,C,72.0,50.0,2060.0,6.8,12.1,0.56,0.0,0.0,,6.8,12.1,0.56,4.5,5.9,0.76,2.0,5.3,7.4,1.5,0.8,1.1,2.9,3.6,18.1
1983,20,495,NYK,New York Knicks,25.0,NBA,C,82.0,82.0,2468.0,6.6,11.7,0.57,0.0,0.0,,6.6,11.7,0.57,5.5,7.5,0.74,2.7,5.9,8.6,2.0,0.6,1.9,3.0,4.6,18.8
1984,20,495,NYK,New York Knicks,26.0,NBA,C,77.0,77.0,2487.0,6.6,11.7,0.56,0.0,0.0,0.0,6.6,11.7,0.56,5.8,7.3,0.8,2.8,6.6,9.4,1.5,0.6,1.4,2.9,3.8,19.0
1986,20,495,NYK,New York Knicks,28.0,NBA,C,2.0,0.0,36.0,3.0,7.0,0.43,0.0,0.0,,3.0,7.0,0.43,6.0,10.0,0.6,2.0,8.0,10.0,5.0,1.0,1.0,6.0,6.0,12.0
1987,20,495,NYK,New York Knicks,29.0,NBA,C,58.0,50.0,1989.0,6.1,11.4,0.53,0.0,0.0,,6.1,11.4,0.53,6.3,7.9,0.79,2.4,5.7,8.1,1.7,0.7,0.5,2.3,3.4,18.4
1988,20,495,NYK,New York Knicks,30.0,NBA,C,82.0,4.0,1676.0,6.2,11.3,0.54,0.0,0.0,,6.2,11.3,0.54,7.3,9.2,0.8,2.7,5.5,8.2,1.8,0.9,0.9,2.9,5.0,19.6
1989,5,495,CHI,Chicago Bulls,31.0,NBA,C,78.0,76.0,2333.0,5.6,11.9,0.48,0.0,0.0,,5.6,11.9,0.48,3.6,4.8,0.77,2.3,5.7,8.0,1.4,0.3,0.6,2.9,3.6,14.9
1990,5,495,CHI,Chicago Bulls,32.0,NBA,C,71.0,71.0,2160.0,4.9,10.0,0.49,0.0,0.0,,4.9,10.0,0.49,3.8,4.7,0.81,2.3,5.5,7.7,2.4,0.6,0.6,2.0,4.1,13.5
1991,5,495,CHI,Chicago Bulls,33.0,NBA,C,79.0,79.0,2273.0,5.0,10.3,0.49,0.0,0.0,,5.0,10.3,0.49,2.0,2.8,0.7,2.6,5.1,7.7,2.0,0.5,0.2,1.8,2.6,12.0
1992,5,495,CHI,Chicago Bulls,34.0,NBA,C,64.0,64.0,1471.0,5.1,10.9,0.47,0.0,0.0,,5.1,10.9,0.47,2.3,3.9,0.6,2.3,5.7,7.9,2.1,0.5,0.3,1.8,3.2,12.5
1993,5,495,CHI,Chicago Bulls,35.0,NBA,C,63.0,63.0,1253.0,4.1,9.9,0.41,0.0,0.0,,4.1,9.9,0.41,2.1,2.8,0.74,2.4,4.3,6.7,2.4,0.6,0.3,1.8,4.4,10.2
1994,5,495,CHI,Chicago Bulls,36.0,NBA,C,42.0,41.0,780.0,4.5,8.8,0.51,0.0,0.0,,4.5,8.8,0.51,1.8,2.6,0.68,2.0,5.0,7.0,2.6,0.4,0.4,2.3,3.8,10.8
1995,21,495,SEA,Seattle Supersonics,37.0,NBA,C,29.0,19.0,430.0,2.3,5.8,0.39,0.0,0.0,,2.3,5.8,0.39,1.3,2.0,0.62,2.1,5.2,7.3,0.8,0.5,0.3,1.5,5.9,5.8
