Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011,31,2070,TOT,Total After Trade,24.0,NBA,C,45.0,524.0,10.8,0.52,0.0,0.39,10.0,16.4,13.2,4.2,1.4,3.5,18.3,16.2,0.1,0.5,0.6,0.05,-4.3,-0.4,-4.7,-0.3
2011,20,2070,NYK,New York Knicks,24.0,NBA,C,34.0,458.0,10.3,0.51,0.0,0.39,10.1,15.8,13.0,4.8,1.5,3.7,19.6,15.8,0.0,0.4,0.4,0.04,-4.5,-0.3,-4.8,-0.3
2011,8,2070,DEN,Denver Nuggets,24.0,NBA,C,11.0,66.0,14.4,0.57,0.0,0.38,9.0,20.4,14.9,0.0,0.8,2.3,10.9,18.6,0.1,0.1,0.2,0.11,-2.8,-0.7,-3.5,0.0
2012,8,2070,DEN,Denver Nuggets,25.0,NBA,C,44.0,687.0,13.2,0.56,0.0,0.3,9.3,20.8,15.2,4.9,1.1,4.8,19.8,17.4,0.3,0.8,1.1,0.07,-2.9,0.4,-2.5,-0.1
2013,8,2070,DEN,Denver Nuggets,26.0,NBA,C,41.0,366.0,12.3,0.55,0.02,0.3,15.6,17.1,16.4,3.4,0.8,3.8,20.3,14.6,0.3,0.4,0.7,0.1,-2.8,-1.0,-3.7,-0.2
2014,8,2070,DEN,Denver Nuggets,27.0,NBA,C,82.0,1770.0,16.7,0.58,0.04,0.48,10.4,21.9,16.1,5.5,0.7,4.2,15.6,18.8,2.6,1.9,4.5,0.12,-0.9,0.0,-0.8,0.5
2015,31,2070,TOT,Total After Trade,28.0,NBA,C,81.0,2045.0,16.6,0.59,0.01,0.38,11.0,21.4,16.1,4.3,0.8,3.7,14.9,16.9,3.5,2.2,5.7,0.13,-0.6,-0.1,-0.7,0.7
2015,8,2070,DEN,Denver Nuggets,28.0,NBA,C,35.0,897.0,13.8,0.55,0.03,0.37,10.6,22.6,16.4,2.7,0.8,3.6,14.8,15.3,0.9,0.9,1.8,0.1,-1.9,-0.1,-1.9,0.0
2015,6,2070,CLE,Cleveland Cavaliers,28.0,NBA,C,46.0,1148.0,18.7,0.62,0.0,0.39,11.4,20.4,15.9,5.6,0.8,3.9,15.0,18.1,2.5,1.3,3.9,0.16,0.4,-0.1,0.3,0.7
2016,6,2070,CLE,Cleveland Cavaliers,29.0,NBA,C,76.0,1326.0,14.6,0.59,0.02,0.26,9.5,19.2,14.4,3.9,0.9,3.5,15.0,16.1,1.8,1.9,3.7,0.13,-1.7,0.3,-1.4,0.2
2017,14,2070,LAL,Los Angeles Lakers,30.0,NBA,C,54.0,1104.0,12.3,0.55,0.0,0.24,9.9,16.4,13.1,5.9,0.7,2.3,16.6,16.8,0.7,0.4,1.1,0.05,-2.9,-1.5,-4.3,-0.7
2018,3,2070,BRK,Brooklyn Nets,31.0,NBA,C,31.0,359.0,12.3,0.62,0.19,0.32,9.4,19.7,14.5,4.8,0.7,2.7,23.7,16.8,0.1,0.3,0.4,0.06,-3.3,-0.6,-3.9,-0.2
