Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014,7,DAL,Dallas Mavericks,Monta Ellis,28,82,3023,16.8,0.53,0.16,0.34,1.5,9.8,5.6,24.8,2.4,0.6,15.2,26.0,2.8,2.1,4.9,0.08,0.3,-0.5,-0.3,1.3
2014,7,DAL,Dallas Mavericks,Dirk Nowitzki,35,80,2628,23.6,0.6,0.26,0.3,1.8,20.0,10.9,14.2,1.4,1.4,7.5,26.9,8.6,2.3,10.9,0.2,5.0,0.0,5.0,4.7
2014,7,DAL,Dallas Mavericks,Jose Calderon,32,81,2468,15.2,0.6,0.57,0.08,1.4,7.6,4.5,22.4,1.4,0.4,11.7,16.2,5.4,0.8,6.3,0.12,2.5,-0.7,1.9,2.4
2014,7,DAL,Dallas Mavericks,Shawn Marion,35,76,2409,13.7,0.54,0.23,0.09,6.4,17.4,11.9,7.6,1.9,1.3,11.4,15.7,2.2,2.1,4.3,0.09,0.1,0.1,0.2,1.3
2014,7,DAL,Dallas Mavericks,Vince Carter,37,81,1973,15.9,0.54,0.46,0.24,4.0,12.6,8.3,16.5,1.6,1.5,10.7,23.1,3.0,1.3,4.3,0.1,1.8,-0.5,1.2,1.6
2014,7,DAL,Dallas Mavericks,Samuel Dalembert,32,80,1614,16.8,0.6,0.0,0.36,14.4,24.2,19.4,3.4,1.3,4.8,17.1,14.8,2.9,2.1,4.9,0.15,-0.9,0.1,-0.8,0.5
2014,7,DAL,Dallas Mavericks,Jae Crowder,23,78,1254,11.9,0.55,0.51,0.21,4.3,13.5,8.9,6.7,2.4,1.4,11.3,13.2,1.2,1.1,2.3,0.09,-0.7,0.8,0.2,0.7
2014,7,DAL,Dallas Mavericks,DeJuan Blair,24,78,1214,17.3,0.56,0.0,0.31,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,1.8,1.5,3.4,0.13,-1.2,0.1,-1.1,0.3
2014,7,DAL,Dallas Mavericks,Brandan Wright,26,58,1077,23.5,0.7,0.0,0.32,11.0,15.1,13.1,4.7,1.5,4.2,8.5,17.4,4.1,1.0,5.1,0.23,3.4,0.0,3.4,1.5
2014,7,DAL,Dallas Mavericks,Devin Harris,30,40,818,14.6,0.52,0.4,0.45,1.1,10.8,6.0,31.0,1.8,0.2,16.2,20.2,1.2,0.4,1.6,0.09,0.3,-0.8,-0.5,0.3
2014,7,DAL,Dallas Mavericks,Shane Larkin,21,48,489,8.3,0.45,0.28,0.18,2.6,7.3,5.0,20.4,2.7,0.2,20.9,17.4,-0.4,0.3,-0.1,-0.01,-3.8,0.0,-3.8,-0.2
2014,7,DAL,Dallas Mavericks,Wayne Ellington,26,45,393,12.2,0.55,0.47,0.09,2.4,10.2,6.3,7.1,2.1,0.4,7.8,16.4,0.4,0.2,0.7,0.08,-0.5,-0.2,-0.8,0.1
2014,7,DAL,Dallas Mavericks,Gal Mekel,25,31,292,5.4,0.4,0.23,0.14,2.0,8.6,5.3,30.1,0.7,0.3,25.4,19.0,-0.5,0.1,-0.4,-0.07,-4.9,-2.7,-7.6,-0.4
2014,7,DAL,Dallas Mavericks,Bernard James,28,30,146,8.5,0.5,0.04,0.48,12.0,21.2,16.6,2.8,1.1,4.5,26.4,11.8,0.0,0.2,0.1,0.04,-5.0,0.1,-4.9,-0.1
2014,7,DAL,Dallas Mavericks,Ricky Ledo,21,11,33,12.7,0.51,0.47,0.24,0.0,7.0,3.5,9.5,1.6,0.0,9.6,28.6,0.0,0.0,0.0,0.02,-1.4,-2.5,-3.9,0.0
