Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2012,MIA,LeBron James,1,1074.0,1210,0.888,MVP
2012,OKC,Kevin Durant,2,889.0,1210,0.735,MVP
2012,LAC,Chris Paul,3,385.0,1210,0.318,MVP
2012,LAL,Kobe Bryant,4,352.0,1210,0.291,MVP
2012,SAS,Tony Parker,5,331.0,1210,0.274,MVP
2012,MIN,Kevin Love,6,58.0,1210,0.048,MVP
2012,ORL,Dwight Howard,7,13.0,1210,0.011,MVP
2012,BOS,Rajon Rondo,8,12.0,1210,0.01,MVP
2012,PHO,Steve Nash,9,7.0,1210,0.006,MVP
2012,MIA,Dwyane Wade,10,6.0,1210,0.005,MVP
2012,CHI,Derrick Rose,11,5.0,1210,0.004,MVP
2012,DAL,Dirk Nowitzki,12T,4.0,1210,0.003,MVP
2012,OKC,Russell Westbrook,12T,4.0,1210,0.003,MVP
2012,SAS,Tim Duncan,14,3.0,1210,0.002,MVP
2012,ATL,Joe Johnson,15,1.0,1210,0.001,MVP
