Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,10,GSW,Golden State Warriors,Joe Barry Carroll,27,79,79,2801,8.4,18.0,0.46,0.0,0.0,0.0,8.4,18.0,0.46,4.8,6.4,0.75,2.5,6.1,8.6,2.3,1.3,1.8,3.5,3.6,21.6
1986,10,GSW,Golden State Warriors,Sleepy Floyd,25,82,82,2764,6.6,13.1,0.51,0.5,1.5,0.33,6.1,11.6,0.53,4.6,5.7,0.8,1.0,2.9,3.9,9.7,2.0,0.2,3.8,2.6,18.4
1986,10,GSW,Golden State Warriors,Larry Smith,28,77,74,2441,4.6,8.6,0.54,0.0,0.0,0.0,4.6,8.6,0.54,1.7,3.3,0.49,5.7,7.0,12.6,1.4,0.9,0.7,2.0,4.2,10.9
1986,10,GSW,Golden State Warriors,Purvis Short,28,64,63,2427,9.4,19.5,0.48,0.2,0.7,0.31,9.2,18.7,0.49,5.2,6.0,0.86,1.9,3.0,4.9,3.5,1.4,0.3,2.7,3.4,24.2
1986,10,GSW,Golden State Warriors,Terry Teagle,25,82,52,2158,7.9,16.0,0.5,0.1,0.4,0.16,7.9,15.6,0.5,3.5,4.4,0.8,1.6,2.3,3.9,1.9,1.2,0.6,2.3,4.0,19.4
1986,10,GSW,Golden State Warriors,Greg Ballard,31,75,14,1792,5.5,11.5,0.48,0.3,0.7,0.49,5.1,10.7,0.48,2.0,2.5,0.8,2.7,5.7,8.4,1.7,1.3,0.2,1.1,3.5,13.3
1986,10,GSW,Golden State Warriors,Chris Mullin,22,55,30,1391,7.4,16.0,0.46,0.1,0.7,0.18,7.3,15.3,0.48,4.9,5.5,0.9,1.1,1.9,3.0,2.7,1.8,0.6,1.9,3.4,19.9
1986,10,GSW,Golden State Warriors,Geoff Huston,28,82,0,1208,4.2,8.1,0.51,0.1,0.2,0.33,4.1,8.0,0.52,1.9,2.7,0.68,0.3,1.6,1.9,10.2,1.1,0.1,2.5,2.0,10.3
1986,10,GSW,Golden State Warriors,Jerome Whitehead,29,81,3,1079,4.2,9.8,0.43,0.0,0.0,,4.2,9.8,0.43,2.0,3.2,0.62,3.1,7.8,10.9,0.6,0.6,0.6,2.1,5.9,10.4
1986,10,GSW,Golden State Warriors,Pete Verhoeven,26,61,5,749,4.3,8.0,0.54,0.0,0.1,0.5,4.3,7.9,0.54,1.2,2.1,0.58,3.1,4.6,7.7,1.4,1.4,0.8,1.4,6.8,9.9
1986,10,GSW,Golden State Warriors,Peter Thibeaux,24,42,8,531,6.8,15.8,0.43,0.1,0.3,0.4,6.6,15.5,0.43,2.0,3.3,0.6,1.9,3.2,5.1,1.9,1.6,1.0,2.6,5.6,15.7
1986,10,GSW,Golden State Warriors,Lester Conner,26,36,0,413,4.4,11.9,0.38,0.2,0.6,0.29,4.3,11.2,0.38,3.5,4.7,0.74,2.2,3.2,5.4,3.7,2.1,0.1,1.3,2.0,12.6
1986,10,GSW,Golden State Warriors,Guy Williams,25,5,0,25,2.9,7.2,0.4,0.0,0.0,,2.9,7.2,0.4,4.3,8.6,0.5,0.0,8.6,8.6,0.0,1.4,2.9,0.0,10.1,10.1
1986,10,GSW,Golden State Warriors,Ron Crevier,27,1,0,1,0.0,36.0,0.0,0.0,0.0,,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
