Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1982,23.0,DAL,NBA,C,63.0,1085.0,12.0,0.489,0.0,0.364,9.4,22.1,15.5,7.7,0.8,4.4,14.0,15.2,,0.3,1.2,1.5,0.067,,-2.9,0.9,-2.0,0.0
1983,24.0,DAL,NBA,C,81.0,1515.0,12.5,0.511,0.003,0.394,11.0,17.9,14.4,9.3,0.7,4.0,13.7,12.6,,1.8,1.1,2.9,0.093,,-1.5,0.8,-0.7,0.5
1984,25.0,DAL,NBA,C,82.0,2284.0,13.0,0.544,0.008,0.31,9.3,16.8,13.0,9.8,0.9,3.6,14.2,12.6,,2.5,2.3,4.8,0.101,,-0.9,1.2,0.3,1.3
1985,26.0,DAL,NBA,C,82.0,2010.0,10.9,0.504,0.014,0.323,7.5,15.8,11.6,11.4,0.7,3.6,16.1,12.3,,1.3,2.0,3.3,0.079,,-1.9,1.6,-0.3,0.9
1986,27.0,TOT,NBA,PF,80.0,2226.0,12.6,0.554,0.004,0.378,7.5,15.1,11.2,3.9,0.7,2.5,12.9,16.8,,2.2,0.9,3.1,0.067,,-1.6,-1.0,-2.6,-0.3
1986,27.0,DAL,NBA,PF,13.0,280.0,11.3,0.537,0.014,0.403,9.2,14.3,11.8,6.4,0.5,2.3,13.3,14.2,,0.3,0.1,0.4,0.07,,-1.2,-0.1,-1.2,0.1
1986,27.0,LAC,NBA,PF,67.0,1946.0,12.8,0.556,0.003,0.375,7.2,15.2,11.2,3.5,0.7,2.6,12.9,17.1,,1.9,0.8,2.7,0.066,,-1.6,-1.2,-2.8,-0.4
1987,28.0,TOT,NBA,PF,66.0,1088.0,9.6,0.511,0.012,0.364,7.7,11.3,9.4,3.2,0.9,2.8,14.1,16.4,,0.1,0.7,0.7,0.033,,-3.7,-0.5,-4.2,-0.6
1987,28.0,LAC,NBA,PF,38.0,811.0,9.4,0.507,0.012,0.349,7.3,11.0,9.0,3.2,0.9,2.9,13.9,16.6,,-0.1,0.4,0.3,0.017,,-3.9,-0.8,-4.7,-0.6
1987,28.0,DET,NBA,PF,28.0,277.0,10.1,0.521,0.013,0.41,8.8,12.1,10.5,3.3,0.7,2.7,14.8,15.8,,0.1,0.3,0.5,0.08,,-2.9,0.3,-2.6,0.0
1988,29.0,SAS,NBA,C,72.0,919.0,10.9,0.538,0.004,0.323,7.2,10.8,9.0,7.2,1.1,3.3,14.3,14.7,,0.6,0.4,1.0,0.052,,-2.5,-0.4,-2.8,-0.2
1990,31.0,PHI,NBA,C,38.0,314.0,7.9,0.432,0.011,0.33,8.0,14.0,11.0,2.6,0.6,3.5,10.3,15.7,,-0.2,0.3,0.1,0.02,,-4.7,-1.0,-5.7,-0.3
