Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,2,BOS,Boston Celtics,Sherman Douglas,26,4,4,166,17,45,0.38,0,3,0.0,17,42,0.4,0.38,10,15,0.67,12,14,26,38,4,0,12,10,44
1993,2,BOS,Boston Celtics,Robert Parish,39,4,4,146,31,57,0.54,0,0,,31,57,0.54,0.54,6,7,0.86,13,25,38,5,1,6,6,14,68
1993,2,BOS,Boston Celtics,Kevin Gamble,27,4,4,142,23,42,0.55,5,12,0.42,18,30,0.6,0.61,4,4,1.0,3,6,9,10,6,1,5,11,55
1993,2,BOS,Boston Celtics,Dee Brown,24,4,3,133,15,41,0.37,1,7,0.14,14,34,0.41,0.38,14,14,1.0,2,4,6,15,2,4,6,11,45
1993,2,BOS,Boston Celtics,Xavier McDaniel,29,4,0,126,22,53,0.42,0,2,0.0,22,51,0.43,0.42,6,9,0.67,6,12,18,9,1,3,7,16,50
1993,2,BOS,Boston Celtics,Kevin McHale,35,4,0,113,32,55,0.58,0,0,,32,55,0.58,0.58,12,14,0.86,9,20,29,3,2,7,5,6,76
1993,2,BOS,Boston Celtics,Rick Fox,23,4,0,71,7,25,0.28,1,3,0.33,6,22,0.27,0.3,2,2,1.0,8,11,19,5,2,1,4,7,17
1993,2,BOS,Boston Celtics,Alaa Abdelnaby,24,4,4,68,11,24,0.46,0,0,,11,24,0.46,0.46,0,0,,2,11,13,1,0,1,9,7,22
1993,2,BOS,Boston Celtics,Joe Kleine,31,4,0,29,3,5,0.6,0,0,,3,5,0.6,0.6,0,0,,0,5,5,0,0,1,0,4,6
1993,2,BOS,Boston Celtics,Reggie Lewis,27,1,1,13,7,11,0.64,0,1,0.0,7,10,0.7,0.64,3,4,0.75,2,0,2,1,0,1,1,1,17
1993,2,BOS,Boston Celtics,Lorenzo Williams,23,1,0,3,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,0,1,0,0,0,0,0,2
