SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,14,LAL,A.C. Green,29,5,5,220,18,42,0.43,0,5,0.0,18,37,0.49,0.43,13,21,0.62,26,47,73,13,7,3,9,14,49
1993,14,LAL,Sedale Threatt,31,5,5,205,39,89,0.44,3,13,0.23,36,76,0.47,0.46,9,12,0.75,3,14,17,40,13,1,12,19,90
1993,14,LAL,Elden Campbell,24,5,5,178,29,69,0.42,0,0,,29,69,0.42,0.42,12,24,0.5,17,25,42,7,6,12,12,15,70
1993,14,LAL,Byron Scott,31,5,5,177,21,42,0.5,8,15,0.53,13,27,0.48,0.6,18,23,0.78,0,11,11,9,5,0,4,11,68
1993,14,LAL,Vlade Divac,24,5,5,167,37,74,0.5,4,9,0.44,33,65,0.51,0.53,12,22,0.55,17,30,47,28,6,12,11,22,90
1993,14,LAL,James Worthy,31,5,0,148,32,86,0.37,2,8,0.25,30,78,0.38,0.38,3,5,0.6,7,10,17,13,5,0,7,11,69
1993,14,LAL,Tony Smith,24,5,0,73,13,25,0.52,2,4,0.5,11,21,0.52,0.56,6,9,0.67,5,3,8,2,1,1,3,14,34
1993,14,LAL,Doug Christie,22,5,0,39,4,11,0.36,1,3,0.33,3,8,0.38,0.41,0,0,,1,3,4,6,2,2,4,5,9
1993,14,LAL,James Edwards,37,3,0,14,3,4,0.75,0,0,,3,4,0.75,0.75,0,0,,0,2,2,0,0,0,1,2,6
1993,14,LAL,Duane Cooper,23,2,0,4,0,6,0.0,0,3,0.0,0,3,0.0,0.0,0,0,,2,0,2,1,0,0,0,0,0
