Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,3,NJN,New Jersey Nets,Derrick Coleman,25,5,5,225,50,94,0.53,5,12,0.42,45,82,0.55,0.56,29,36,0.81,13,54,67,23,6,13,13,18,134
1993,3,NJN,New Jersey Nets,Drazen Petrovic,28,5,5,193,30,66,0.46,2,6,0.33,28,60,0.47,0.47,16,20,0.8,2,7,9,9,2,0,22,18,78
1993,3,NJN,New Jersey Nets,Chris Morris,27,5,4,163,34,61,0.56,6,16,0.38,28,45,0.62,0.61,11,12,0.92,13,19,32,7,8,6,3,8,85
1993,3,NJN,New Jersey Nets,Rumeal Robinson,26,5,5,136,21,49,0.43,2,7,0.29,19,42,0.45,0.45,5,7,0.71,4,8,12,35,5,0,20,18,49
1993,3,NJN,New Jersey Nets,Dwayne Schintzius,24,5,0,106,13,29,0.45,0,0,,13,29,0.45,0.45,3,6,0.5,6,19,25,4,1,6,3,12,29
1993,3,NJN,New Jersey Nets,Maurice Cheeks,36,5,0,82,11,23,0.48,0,0,,11,23,0.48,0.48,0,1,0.0,3,3,6,14,6,1,7,3,22
1993,3,NJN,New Jersey Nets,Sam Bowie,31,3,3,71,4,9,0.44,0,0,,4,9,0.44,0.44,2,2,1.0,2,10,12,2,6,1,4,9,10
1993,3,NJN,New Jersey Nets,Rick Mahorn,34,4,2,63,4,10,0.4,0,0,,4,10,0.4,0.4,0,0,,4,9,13,3,0,2,1,9,8
1993,3,NJN,New Jersey Nets,Chucky Brown,24,4,0,62,9,22,0.41,0,0,,9,22,0.41,0.41,6,7,0.86,3,6,9,1,3,3,2,2,24
1993,3,NJN,New Jersey Nets,Rafael Addison,28,5,0,53,7,21,0.33,0,0,,7,21,0.33,0.33,3,3,1.0,3,3,6,5,3,0,3,3,17
1993,3,NJN,New Jersey Nets,Bernard King,36,3,1,24,4,7,0.57,0,0,,4,7,0.57,0.57,0,0,,1,0,1,0,1,0,1,3,8
1993,3,NJN,New Jersey Nets,Tate George,24,2,0,22,2,7,0.29,0,0,,2,7,0.29,0.29,0,0,,1,2,3,6,1,0,1,1,4
