Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,12,IND,Indiana Pacers,Reggie Miller,27,4,4,175,40,75,0.53,10,19,0.53,30,56,0.54,0.6,36,38,0.95,4,8,12,11,3,0,10,11,126
1993,12,IND,Indiana Pacers,Detlef Schrempf,30,4,4,165,25,54,0.46,0,2,0.0,25,52,0.48,0.46,28,36,0.78,3,20,23,29,1,2,17,14,78
1993,12,IND,Indiana Pacers,Rik Smits,26,4,4,143,37,64,0.58,0,1,0.0,37,63,0.59,0.58,16,22,0.73,13,19,32,7,5,4,8,18,90
1993,12,IND,Indiana Pacers,Dale Davis,23,4,4,117,8,12,0.67,0,0,,8,12,0.67,0.67,1,4,0.25,4,28,32,4,4,4,3,15,17
1993,12,IND,Indiana Pacers,Pooh Richardson,26,4,1,95,6,15,0.4,1,1,1.0,5,14,0.36,0.43,4,6,0.67,1,10,11,23,2,0,6,7,17
1993,12,IND,Indiana Pacers,Vern Fleming,30,3,3,80,12,27,0.44,2,4,0.5,10,23,0.44,0.48,4,4,1.0,1,4,5,3,2,1,5,6,30
1993,12,IND,Indiana Pacers,George McCloud,25,4,0,79,8,23,0.35,2,12,0.17,6,11,0.55,0.39,1,4,0.25,3,8,11,14,4,1,5,14,19
1993,12,IND,Indiana Pacers,LaSalle Thompson,31,4,0,73,5,15,0.33,0,0,,5,15,0.33,0.33,5,6,0.83,7,7,14,3,3,2,4,9,15
1993,12,IND,Indiana Pacers,Sam Mitchell,29,4,0,25,5,8,0.62,0,0,,5,8,0.62,0.62,2,2,1.0,0,1,1,0,0,0,2,4,12
1993,12,IND,Indiana Pacers,Malik Sealy,22,3,0,18,0,5,0.0,0,1,0.0,0,4,0.0,0.0,2,2,1.0,2,0,2,0,0,0,1,1,2
1993,12,IND,Indiana Pacers,Kenny Williams,23,2,0,11,1,1,1.0,0,0,,1,1,1.0,1.0,0,2,0.0,0,0,0,2,0,2,1,1,2
1993,12,IND,Indiana Pacers,Greg Dreiling,30,2,0,4,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,1,1,0,0,0,0,1,3
