Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,22.0,MIA,NBA,SG,30.0,0.0,323.0,5.9,15.7,0.376,4.0,11.3,0.356,1.9,4.5,0.425,3.8,4.8,0.791,1.3,4.5,5.8,3.5,0.7,0.1,2.6,3.5,19.6
1997,23.0,MIA,NBA,SG,73.0,47.0,2111.0,5.4,11.7,0.459,3.1,7.5,0.414,2.2,4.1,0.541,1.5,1.8,0.819,0.6,3.1,3.7,2.7,0.9,0.3,1.9,2.9,15.3
1998,24.0,MIA,NBA,SG,81.0,81.0,2621.0,5.0,11.7,0.425,2.1,5.2,0.405,2.9,6.5,0.441,1.9,2.5,0.788,1.0,3.0,4.0,2.5,0.8,0.2,1.4,3.0,14.0
1999,25.0,MIA,NBA,SG,12.0,2.0,190.0,5.9,15.0,0.392,2.3,6.6,0.343,3.6,8.3,0.432,1.5,2.1,0.727,0.8,2.3,3.0,1.9,0.6,0.2,1.3,3.4,15.5
2001,27.0,DEN,NBA,SG,80.0,58.0,2331.0,5.2,13.1,0.397,2.3,5.9,0.385,2.9,7.2,0.407,2.4,3.0,0.797,0.7,2.8,3.6,2.9,1.0,0.3,1.6,2.6,15.0
2002,28.0,DEN,NBA,SG,71.0,19.0,1665.0,6.8,16.6,0.41,1.9,5.2,0.371,4.9,11.4,0.427,2.0,2.6,0.783,0.8,3.1,4.0,2.8,1.3,0.5,2.0,2.3,17.6
2003,29.0,TOR,NBA,SG,63.0,24.0,1929.0,6.1,15.1,0.402,1.7,4.7,0.365,4.3,10.4,0.418,2.9,3.6,0.804,0.9,3.1,4.0,2.7,1.1,0.4,1.9,2.9,16.8
2004,30.0,DEN,NBA,SG,73.0,70.0,2233.0,6.4,15.0,0.422,1.7,4.7,0.367,4.6,10.4,0.447,2.3,2.9,0.791,0.7,2.5,3.2,2.4,1.0,0.2,1.6,2.9,16.7
2005,31.0,DEN,NBA,SG,3.0,1.0,54.0,6.7,17.3,0.385,2.7,8.0,0.333,4.0,9.3,0.429,3.3,5.3,0.625,0.0,4.0,4.0,4.0,0.7,0.0,1.3,1.3,19.3
2006,32.0,TOT,NBA,SG,26.0,6.0,458.0,5.9,15.0,0.393,2.0,6.1,0.321,3.9,8.9,0.442,1.3,2.4,0.516,0.4,3.3,3.7,3.2,1.7,0.3,2.4,3.1,15.0
2006,32.0,DEN,NBA,SG,12.0,6.0,238.0,6.4,15.6,0.408,1.5,5.3,0.286,4.8,10.3,0.471,0.8,2.0,0.385,0.3,3.9,4.2,2.7,1.2,0.3,1.7,3.2,15.0
2006,32.0,POR,NBA,SG,14.0,0.0,220.0,5.4,14.4,0.375,2.5,7.0,0.349,2.9,7.4,0.4,1.8,2.9,0.611,0.5,2.6,3.1,3.8,2.1,0.3,3.3,2.9,15.1
