Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012,18,3133,MIN,Minnesota Timberwolves,20.0,NBA,PF,66.0,1418.0,12.9,0.5,0.28,0.39,6.0,18.4,12.2,4.5,1.1,1.6,11.7,20.7,0.6,1.2,1.8,0.06,-1.4,-0.7,-2.1,0.0
2013,18,3133,MIN,Minnesota Timberwolves,21.0,NBA,PF,78.0,1916.0,14.5,0.52,0.25,0.35,5.6,20.6,12.8,4.2,1.2,1.5,10.0,23.5,1.0,2.1,3.0,0.08,-0.5,-1.0,-1.5,0.2
2014,31,3133,TOT,Total After Trade,22.0,NBA,"PF,SF",78.0,1820.0,11.5,0.52,0.2,0.54,4.3,15.8,10.0,4.7,1.3,0.9,11.3,16.2,1.3,1.3,2.6,0.07,-1.6,-0.5,-2.1,0.0
2014,18,3133,MIN,Minnesota Timberwolves,22.0,NBA,PF,11.0,162.0,7.6,0.44,0.28,0.3,2.0,15.9,8.7,0.9,1.2,1.9,8.9,17.6,-0.1,0.2,0.0,0.01,-4.0,-0.2,-4.2,-0.1
2014,26,3133,SAC,Sacramento Kings,22.0,NBA,SF,67.0,1658.0,11.9,0.53,0.2,0.57,4.6,15.8,10.1,5.1,1.4,0.8,11.6,16.1,1.4,1.1,2.5,0.07,-1.3,-0.5,-1.9,0.1
2015,26,3133,SAC,Sacramento Kings,23.0,NBA,PF,74.0,1462.0,12.8,0.54,0.32,0.4,3.3,12.1,7.8,5.6,1.2,0.2,8.9,18.9,1.7,0.4,2.1,0.07,-0.3,-1.6,-2.0,0.0
2016,20,3133,NYK,New York Knicks,24.0,NBA,SF,80.0,1435.0,17.2,0.55,0.26,0.45,3.6,18.7,11.3,8.9,1.0,0.5,8.3,23.3,2.4,1.2,3.6,0.12,1.5,-1.2,0.3,0.8
2017,31,3133,TOT,Total After Trade,25.0,NBA,PF,50.0,804.0,10.6,0.54,0.4,0.36,2.6,15.1,8.9,5.1,0.9,0.7,9.0,17.2,0.4,0.6,1.1,0.06,-1.9,-1.0,-2.9,-0.2
2017,16,3133,MIA,Miami Heat,25.0,NBA,PF,25.0,377.0,10.1,0.46,0.33,0.36,4.7,16.9,10.7,5.6,1.2,1.0,8.1,20.4,-0.1,0.4,0.3,0.04,-2.9,-0.5,-3.4,-0.1
2017,6,3133,CLE,Cleveland Cavaliers,25.0,NBA,PF,25.0,427.0,11.1,0.63,0.49,0.36,0.8,13.5,7.4,4.7,0.6,0.4,10.1,14.4,0.6,0.2,0.8,0.09,-1.0,-1.5,-2.5,-0.1
2018,14,3133,LAL,Los Angeles Lakers,26.0,NBA,PF,2.0,9.0,-3.2,0.25,0.5,0.0,0.0,11.7,5.9,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,-0.19,-9.8,-7.0,-16.8,0.0
