Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,11,1329,HOU,Houston Rockets,22.0,NBA,SF,79.0,79.0,2330.0,323.0,682.0,0.47,12.0,47.0,0.26,311.0,635.0,0.49,0.48,143.0,200.0,0.72,113.0,279.0,392.0,191.0,80.0,83.0,156.0,210.0,801.0
1994,11,1329,HOU,Houston Rockets,23.0,NBA,SF,81.0,81.0,2370.0,322.0,702.0,0.46,44.0,136.0,0.32,278.0,566.0,0.49,0.49,115.0,157.0,0.73,128.0,312.0,440.0,231.0,119.0,75.0,137.0,186.0,803.0
1995,11,1329,HOU,Houston Rockets,24.0,NBA,PF,64.0,61.0,2074.0,240.0,537.0,0.45,86.0,227.0,0.38,154.0,310.0,0.5,0.53,86.0,113.0,0.76,81.0,243.0,324.0,216.0,94.0,76.0,122.0,161.0,652.0
1996,11,1329,HOU,Houston Rockets,25.0,NBA,SF,71.0,71.0,2634.0,300.0,732.0,0.41,142.0,388.0,0.37,158.0,344.0,0.46,0.51,111.0,143.0,0.78,97.0,315.0,412.0,281.0,116.0,109.0,160.0,197.0,853.0
1997,31,1329,TOT,Total After Trade,26.0,NBA,SF,54.0,29.0,1395.0,157.0,360.0,0.44,49.0,154.0,0.32,108.0,206.0,0.52,0.5,60.0,90.0,0.67,68.0,169.0,237.0,110.0,66.0,55.0,72.0,153.0,423.0
1997,24,1329,PHO,Phoenix Suns,26.0,NBA,SF,32.0,15.0,719.0,82.0,195.0,0.42,24.0,78.0,0.31,58.0,117.0,0.5,0.48,32.0,50.0,0.64,40.0,79.0,119.0,54.0,28.0,26.0,46.0,81.0,220.0
1997,14,1329,LAL,Los Angeles Lakers,26.0,NBA,SF,22.0,14.0,676.0,75.0,165.0,0.46,25.0,76.0,0.33,50.0,89.0,0.56,0.53,28.0,40.0,0.7,28.0,90.0,118.0,56.0,38.0,29.0,26.0,72.0,203.0
1998,14,1329,LAL,Los Angeles Lakers,27.0,NBA,PF,72.0,71.0,2192.0,200.0,420.0,0.48,19.0,93.0,0.2,181.0,327.0,0.55,0.5,117.0,169.0,0.69,186.0,356.0,542.0,163.0,112.0,94.0,99.0,238.0,536.0
1999,14,1329,LAL,Los Angeles Lakers,28.0,NBA,PF,38.0,5.0,744.0,67.0,146.0,0.46,20.0,45.0,0.44,47.0,101.0,0.46,0.53,34.0,46.0,0.74,56.0,96.0,152.0,56.0,36.0,39.0,49.0,103.0,188.0
2001,14,1329,LAL,Los Angeles Lakers,30.0,NBA,PF,79.0,1.0,1587.0,147.0,380.0,0.39,54.0,156.0,0.35,93.0,224.0,0.42,0.46,59.0,83.0,0.71,93.0,203.0,296.0,128.0,54.0,54.0,79.0,210.0,407.0
2002,14,1329,LAL,Los Angeles Lakers,31.0,NBA,PF,81.0,23.0,2140.0,183.0,460.0,0.4,76.0,203.0,0.37,107.0,257.0,0.42,0.48,108.0,138.0,0.78,130.0,349.0,479.0,232.0,77.0,89.0,88.0,208.0,550.0
2003,14,1329,LAL,Los Angeles Lakers,32.0,NBA,PF,80.0,26.0,2343.0,184.0,476.0,0.39,51.0,177.0,0.29,133.0,299.0,0.44,0.44,103.0,134.0,0.77,181.0,333.0,514.0,233.0,96.0,61.0,112.0,247.0,522.0
2004,27,1329,SAS,San Antonio Spurs,33.0,NBA,PF,81.0,1.0,1290.0,141.0,348.0,0.4,41.0,108.0,0.38,100.0,240.0,0.42,0.46,69.0,107.0,0.64,108.0,164.0,272.0,101.0,48.0,49.0,55.0,165.0,392.0
2005,27,1329,SAS,San Antonio Spurs,34.0,NBA,PF,75.0,16.0,1396.0,157.0,375.0,0.42,51.0,138.0,0.37,106.0,237.0,0.45,0.49,86.0,109.0,0.79,91.0,177.0,268.0,80.0,67.0,60.0,69.0,138.0,451.0
2006,27,1329,SAS,San Antonio Spurs,35.0,NBA,PF,63.0,3.0,1182.0,112.0,292.0,0.38,53.0,144.0,0.37,59.0,148.0,0.4,0.47,44.0,68.0,0.65,71.0,171.0,242.0,79.0,43.0,51.0,41.0,115.0,321.0
2007,27,1329,SAS,San Antonio Spurs,36.0,NBA,PF,68.0,8.0,1124.0,90.0,251.0,0.36,50.0,149.0,0.34,40.0,102.0,0.39,0.46,38.0,64.0,0.59,73.0,156.0,229.0,77.0,45.0,41.0,44.0,105.0,268.0
2008,27,1329,SAS,San Antonio Spurs,37.0,NBA,PF,45.0,5.0,583.0,38.0,119.0,0.32,18.0,70.0,0.26,20.0,49.0,0.41,0.4,18.0,28.0,0.64,35.0,74.0,109.0,47.0,21.0,19.0,22.0,55.0,112.0
