Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1983,29,816,UTA,Utah Jazz,Mark Eaton,"January 24, 1957",26.0,NBA,C,81,32,1528,146,353,0.41,0,1,0.0,146,352,0.42,0.41,59,90,0.66,86,376,462,112,24,275,140,257,351,,1
1984,29,816,UTA,Utah Jazz,Mark Eaton,"January 24, 1957",27.0,NBA,C,82,78,2139,194,416,0.47,0,1,0.0,194,415,0.47,0.47,73,123,0.59,148,447,595,113,25,351,98,303,461,,0
1985,29,816,UTA,Utah Jazz,Mark Eaton,"January 24, 1957",28.0,NBA,C,82,82,2813,302,673,0.45,0,0,,302,673,0.45,0.45,190,267,0.71,207,720,927,124,36,456,206,312,794,,4
1986,29,816,UTA,Utah Jazz,Mark Eaton,"January 24, 1957",29.0,NBA,C,80,80,2551,277,589,0.47,0,0,,277,589,0.47,0.47,122,202,0.6,172,503,675,101,33,369,157,282,676,,0
1987,29,816,UTA,Utah Jazz,Mark Eaton,"January 24, 1957",30.0,NBA,C,79,79,2505,234,585,0.4,0,0,,234,585,0.4,0.4,140,213,0.66,211,486,697,105,43,321,142,273,608,,1
1988,29,816,UTA,Utah Jazz,Mark Eaton,"January 24, 1957",31.0,NBA,C,82,82,2731,226,541,0.42,0,0,,226,541,0.42,0.42,119,191,0.62,230,487,717,55,41,304,131,320,571,,0
1989,29,816,UTA,Utah Jazz,Mark Eaton,"January 24, 1957",32.0,NBA,C,82,82,2914,188,407,0.46,0,0,,188,407,0.46,0.46,132,200,0.66,227,616,843,83,40,315,142,290,508,,0
1990,29,816,UTA,Utah Jazz,Mark Eaton,"January 24, 1957",33.0,NBA,C,82,82,2281,158,300,0.53,0,0,,158,300,0.53,0.53,79,118,0.67,171,430,601,39,33,201,75,238,395,,0
1991,29,816,UTA,Utah Jazz,Mark Eaton,"January 24, 1957",34.0,NBA,C,80,80,2580,169,292,0.58,0,0,,169,292,0.58,0.58,71,112,0.63,182,485,667,51,39,188,99,298,409,,0
1992,29,816,UTA,Utah Jazz,Mark Eaton,"January 24, 1957",35.0,NBA,C,81,81,2023,107,240,0.45,0,0,,107,240,0.45,0.45,52,87,0.6,150,341,491,40,36,205,60,239,266,,0
1993,29,816,UTA,Utah Jazz,Mark Eaton,"January 24, 1957",36.0,NBA,C,64,57,1104,71,130,0.55,0,0,,71,130,0.55,0.55,35,50,0.7,73,191,264,17,18,79,43,143,177,,0
