Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,23,326,PHI,Philadelphia 76Ers,Shawn Bradley,1972-03-22,21.0,NBA,C,49.0,45.0,28.3,4.1,10.0,0.41,0.0,0.1,0.0,4.1,10.0,0.41,0.41,2.1,3.4,0.61,2.0,4.2,6.2,2.0,0.9,3.0,3.0,3.5,10.3
1995,23,326,PHI,Philadelphia 76Ers,Shawn Bradley,1972-03-22,22.0,NBA,C,82.0,59.0,28.8,3.8,8.5,0.46,0.0,0.0,0.0,3.8,8.4,0.46,0.46,1.8,2.8,0.64,3.0,5.1,8.0,0.6,0.7,3.3,1.7,4.1,9.5
1996,31,326,TOT,Total After Trade,Shawn Bradley,1972-03-22,23.0,NBA,C,79.0,68.0,29.5,4.9,11.1,0.44,0.0,0.1,0.25,4.9,11.0,0.44,0.44,2.1,3.1,0.69,2.8,5.3,8.1,0.8,0.6,3.6,2.3,3.6,11.9
1996,23,326,PHI,Philadelphia 76Ers,Shawn Bradley,1972-03-22,23.0,NBA,C,12.0,11.0,27.8,3.6,8.1,0.44,0.0,0.0,,3.6,8.1,0.44,0.44,1.6,2.1,0.76,2.8,6.0,8.8,0.7,0.7,3.2,2.6,3.5,8.8
1996,3,326,NJN,New Jersey Nets,Shawn Bradley,1972-03-22,23.0,NBA,C,67.0,57.0,29.8,5.1,11.6,0.44,0.0,0.1,0.25,5.1,11.5,0.44,0.44,2.2,3.3,0.68,2.8,5.1,7.9,0.8,0.6,3.7,2.2,3.6,12.5
1997,31,326,TOT,Total After Trade,Shawn Bradley,1972-03-22,24.0,NBA,C,73.0,70.0,31.3,5.6,12.4,0.45,0.0,0.1,0.0,5.6,12.3,0.45,0.45,2.0,3.1,0.65,3.0,5.3,8.4,0.7,0.5,3.4,1.8,3.2,13.2
1997,3,326,NJN,New Jersey Nets,Shawn Bradley,1972-03-22,24.0,NBA,C,40.0,38.0,30.7,5.0,11.4,0.44,0.0,0.1,0.0,5.0,11.3,0.44,0.44,2.0,3.1,0.66,3.0,5.2,8.1,0.5,0.6,4.0,1.6,3.1,12.0
1997,7,326,DAL,Dallas Mavericks,Shawn Bradley,1972-03-22,24.0,NBA,C,33.0,32.0,32.1,6.3,13.6,0.46,0.0,0.1,0.0,6.3,13.5,0.46,0.46,2.1,3.2,0.64,3.1,5.5,8.7,1.0,0.5,2.7,2.1,3.5,14.6
1998,7,326,DAL,Dallas Mavericks,Shawn Bradley,1972-03-22,25.0,NBA,C,64.0,46.0,28.5,4.7,11.1,0.42,0.0,0.0,0.33,4.7,11.1,0.42,0.42,2.0,2.8,0.72,2.6,5.5,8.1,0.9,0.8,3.3,1.5,3.3,11.4
1999,7,326,DAL,Dallas Mavericks,Shawn Bradley,1972-03-22,26.0,NBA,C,49.0,33.0,26.4,3.4,7.1,0.48,0.0,0.1,0.0,3.4,7.0,0.48,0.48,1.8,2.3,0.75,2.7,5.3,8.0,0.8,0.7,3.2,1.1,3.1,8.6
2000,7,326,DAL,Dallas Mavericks,Shawn Bradley,1972-03-22,27.0,NBA,C,77.0,54.0,24.7,3.5,7.2,0.48,0.0,0.1,0.2,3.4,7.1,0.48,0.48,1.5,1.9,0.76,2.1,4.4,6.5,0.8,0.9,2.5,1.0,3.4,8.4
2001,7,326,DAL,Dallas Mavericks,Shawn Bradley,1972-03-22,28.0,NBA,C,82.0,35.0,24.4,2.7,5.5,0.49,0.0,0.1,0.17,2.7,5.4,0.49,0.49,1.7,2.2,0.79,2.0,5.5,7.4,0.5,0.4,2.8,1.1,3.1,7.1
2002,7,326,DAL,Dallas Mavericks,Shawn Bradley,1972-03-22,29.0,NBA,C,53.0,16.0,14.3,1.5,3.1,0.48,0.0,0.0,0.0,1.5,3.1,0.48,0.48,1.1,1.2,0.92,1.0,2.3,3.3,0.4,0.5,1.2,0.5,2.4,4.1
2003,7,326,DAL,Dallas Mavericks,Shawn Bradley,1972-03-22,30.0,NBA,C,81.0,39.0,21.4,2.5,4.6,0.54,0.0,0.0,0.0,2.5,4.6,0.54,0.54,1.7,2.2,0.81,1.9,4.0,5.9,0.7,0.8,2.1,0.8,3.0,6.7
2004,7,326,DAL,Dallas Mavericks,Shawn Bradley,1972-03-22,31.0,NBA,C,66.0,5.0,11.7,1.3,2.8,0.47,0.0,0.0,0.0,1.3,2.8,0.48,0.47,0.6,0.7,0.84,1.1,1.5,2.6,0.3,0.5,1.1,0.3,2.0,3.3
2005,7,326,DAL,Dallas Mavericks,Shawn Bradley,1972-03-22,32.0,NBA,C,77.0,14.0,11.5,1.1,2.4,0.45,0.0,0.0,,1.1,2.4,0.45,0.45,0.6,0.8,0.68,0.9,1.9,2.8,0.2,0.3,0.8,0.4,2.0,2.7
