Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,25,793,POR,Portland Trail Blazers,Kevin Duckworth,1964-04-01,22.0,NBA,C,4.0,0.0,53.0,4.1,8.2,0.5,0.0,0.0,,4.1,8.2,0.5,1.4,3.4,0.4,2.0,3.4,5.4,0.7,2.7,0.7,4.1,9.5,9.5
1988,25,793,POR,Portland Trail Blazers,Kevin Duckworth,1964-04-01,23.0,NBA,C,4.0,4.0,151.0,8.1,16.7,0.49,0.0,0.2,0.0,8.1,16.5,0.49,4.3,5.5,0.78,4.8,5.7,10.5,1.7,0.2,0.5,5.0,3.3,20.5
1989,25,793,POR,Portland Trail Blazers,Kevin Duckworth,1964-04-01,24.0,NBA,C,3.0,3.0,83.0,6.1,15.2,0.4,0.0,0.0,,6.1,15.2,0.4,2.6,4.8,0.55,3.5,3.9,7.4,0.9,0.4,0.4,2.2,7.4,14.7
1990,25,793,POR,Portland Trail Blazers,Kevin Duckworth,1964-04-01,25.0,NBA,C,15.0,15.0,453.0,6.5,14.9,0.44,0.0,0.0,,6.5,14.9,0.44,2.6,3.7,0.72,2.2,4.7,6.9,1.3,0.4,0.7,2.6,4.8,15.7
1991,25,793,POR,Portland Trail Blazers,Kevin Duckworth,1964-04-01,26.0,NBA,C,16.0,16.0,511.0,5.1,12.8,0.4,0.0,0.0,,5.1,12.8,0.4,2.9,3.9,0.73,2.8,4.7,7.5,1.0,0.6,0.6,2.7,3.7,13.2
1992,25,793,POR,Portland Trail Blazers,Kevin Duckworth,1964-04-01,27.0,NBA,C,21.0,21.0,647.0,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,1.9,2.9,0.66,2.2,4.3,6.5,2.3,0.6,0.7,2.5,4.2,13.9
1993,25,793,POR,Portland Trail Blazers,Kevin Duckworth,1964-04-01,28.0,NBA,C,4.0,0.0,58.0,4.3,13.0,0.33,0.0,0.0,,4.3,13.0,0.33,2.5,2.5,1.0,2.5,5.6,8.1,1.9,0.0,0.6,3.7,7.4,11.2
