Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1995,6,CLE,Cleveland Cavaliers,Bobby Phills,25,4,4,36.5,4.8,10.8,0.44,1.0,1.8,0.57,3.8,9.0,0.42,0.49,3.8,5.0,0.75,0.8,2.3,3.0,1.5,2.3,0.0,2.3,2.0,14.3
1995,6,CLE,Cleveland Cavaliers,Hot Rod Williams,32,4,4,36.0,3.0,10.5,0.29,0.0,0.3,0.0,3.0,10.3,0.29,0.29,0.8,2.0,0.38,0.8,5.5,6.3,2.8,2.3,0.8,2.5,2.8,6.8
1995,6,CLE,Cleveland Cavaliers,Mark Price,30,4,4,35.8,3.0,10.0,0.3,1.0,4.3,0.24,2.0,5.8,0.35,0.35,8.0,8.3,0.97,0.5,2.5,3.0,6.5,1.5,0.0,4.5,1.3,15.0
1995,6,CLE,Cleveland Cavaliers,Tyrone Hill,26,4,4,34.8,2.3,7.3,0.31,0.0,0.3,0.0,2.3,7.0,0.32,0.31,4.0,6.3,0.64,2.0,3.8,5.8,0.8,1.8,0.3,2.5,4.5,8.5
1995,6,CLE,Cleveland Cavaliers,Chris Mills,25,4,4,34.8,5.0,9.3,0.54,2.0,3.5,0.57,3.0,5.8,0.52,0.65,1.3,1.3,1.0,0.5,3.5,4.0,2.8,0.8,0.5,1.5,4.5,13.3
1995,6,CLE,Cleveland Cavaliers,Michael Cage,33,4,0,20.3,2.0,4.5,0.44,0.0,0.3,0.0,2.0,4.3,0.47,0.44,0.0,0.5,0.0,2.0,2.5,4.5,0.8,0.5,1.0,0.3,2.3,4.0
1995,6,CLE,Cleveland Cavaliers,Danny Ferry,28,4,0,16.8,3.3,6.3,0.52,2.0,3.8,0.53,1.3,2.5,0.5,0.68,1.0,1.5,0.67,0.0,0.8,0.8,1.5,0.5,0.0,0.0,2.3,9.5
1995,6,CLE,Cleveland Cavaliers,Steve Colter,32,4,0,10.8,1.3,2.5,0.5,0.0,0.3,0.0,1.3,2.3,0.56,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.5,0.3,0.0,0.0,0.5,3.0
1995,6,CLE,Cleveland Cavaliers,Tony Campbell,32,4,0,9.3,1.5,3.5,0.43,0.3,0.5,0.5,1.3,3.0,0.42,0.46,2.5,3.0,0.83,0.3,0.3,0.5,0.3,0.3,0.3,0.8,0.8,5.8
1995,6,CLE,Cleveland Cavaliers,Greg Dreiling,32,1,0,7.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
1995,6,CLE,Cleveland Cavaliers,Fred Roberts,34,1,0,7.0,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0
1995,6,CLE,Cleveland Cavaliers,John Battle,32,2,0,3.5,1.0,1.5,0.67,0.0,0.5,0.0,1.0,1.0,1.0,0.67,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2.0
