SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1995,8,DEN,Jalen Rose,22,3,3,33.0,4.3,9.3,0.46,0.3,1.3,0.25,4.0,8.0,0.5,0.48,1.0,1.7,0.6,1.3,2.3,3.7,6.0,1.0,0.7,3.0,3.0,10.0
1995,8,DEN,Bryant Stith,24,3,1,28.3,5.7,10.7,0.53,0.3,2.0,0.17,5.3,8.7,0.62,0.55,5.0,6.3,0.79,1.0,2.0,3.0,2.3,0.3,0.3,0.0,2.3,16.7
1995,8,DEN,Dikembe Mutombo,28,3,3,28.0,2.0,3.3,0.6,0.0,0.0,,2.0,3.3,0.6,0.6,2.0,3.0,0.67,1.3,5.0,6.3,0.3,0.0,2.3,2.3,5.0,6.0
1995,8,DEN,Reggie Williams,30,3,3,28.0,2.7,12.0,0.22,1.3,4.3,0.31,1.3,7.7,0.17,0.28,2.0,2.0,1.0,1.7,3.7,5.3,4.0,1.0,0.3,1.0,3.7,8.7
1995,8,DEN,Mahmoud Abdul-Rauf,25,3,2,25.3,4.0,11.0,0.36,0.7,4.0,0.17,3.3,7.0,0.48,0.39,4.7,4.7,1.0,0.7,1.0,1.7,1.7,0.7,0.0,2.7,2.7,13.3
1995,8,DEN,Rodney Rogers,23,3,3,25.3,4.0,7.3,0.55,0.3,1.3,0.25,3.7,6.0,0.61,0.57,0.3,1.3,0.25,0.3,3.7,4.0,1.7,1.0,1.3,1.7,4.3,8.7
1995,8,DEN,Dale Ellis,34,3,0,24.3,3.3,9.3,0.36,1.3,4.3,0.31,2.0,5.0,0.4,0.43,4.0,4.3,0.92,2.0,2.7,4.7,1.0,0.7,0.3,0.7,2.0,12.0
1995,8,DEN,Bison Dele,25,3,0,14.7,3.3,6.0,0.56,0.0,0.0,,3.3,6.0,0.56,0.56,1.3,1.3,1.0,1.7,4.3,6.0,0.7,0.0,0.3,3.3,5.0,8.0
1995,8,DEN,Tom Hammonds,27,3,0,14.7,3.0,4.7,0.64,0.0,0.0,,3.0,4.7,0.64,0.64,0.7,2.0,0.33,1.0,1.3,2.3,0.3,0.0,0.7,1.3,4.0,6.7
1995,8,DEN,Cliff Levingston,34,3,0,11.7,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.3,0.7,0.5,2.0,1.0,3.0,0.3,1.0,0.7,0.7,1.3,2.3
1995,8,DEN,Greg Grant,28,3,0,6.7,0.0,2.0,0.0,0.0,0.3,0.0,0.0,1.7,0.0,0.0,0.7,0.7,1.0,1.0,0.0,1.0,1.7,0.3,0.0,0.0,1.7,0.7
