SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1995,21,SEA,Gary Payton,26,4,4,43.0,8.0,16.8,0.48,0.5,2.5,0.2,7.5,14.3,0.53,0.49,1.3,3.0,0.42,1.5,1.0,2.5,5.3,1.3,0.0,2.0,3.3,17.8
1995,21,SEA,Shawn Kemp,25,4,4,40.0,8.3,14.3,0.58,0.3,0.3,1.0,8.0,14.0,0.57,0.59,8.0,9.8,0.82,4.3,7.8,12.0,2.8,2.0,1.8,3.8,4.3,24.8
1995,21,SEA,Detlef Schrempf,32,4,4,38.3,5.8,14.3,0.4,2.5,4.5,0.56,3.3,9.8,0.33,0.49,4.8,6.0,0.79,0.5,4.3,4.8,3.0,0.8,0.5,2.8,3.0,18.8
1995,21,SEA,Sam Perkins,33,4,2,35.3,5.3,12.0,0.44,2.5,5.5,0.46,2.8,6.5,0.42,0.54,0.5,0.5,1.0,1.5,6.3,7.8,3.3,0.8,1.3,2.3,3.0,13.5
1995,21,SEA,Nate McMillan,30,4,4,28.3,2.0,5.8,0.35,0.3,2.0,0.12,1.8,3.8,0.47,0.37,0.5,0.5,1.0,1.8,2.8,4.5,7.3,2.5,0.5,1.8,3.3,4.8
1995,21,SEA,Vincent Askew,28,4,0,23.3,3.0,7.3,0.41,1.0,1.3,0.8,2.0,6.0,0.33,0.48,0.5,0.8,0.67,2.8,1.0,3.8,2.0,0.8,0.0,0.8,3.5,7.5
1995,21,SEA,Kendall Gill,26,4,0,18.0,2.3,6.3,0.36,0.5,2.0,0.25,1.8,4.3,0.41,0.4,1.3,2.0,0.62,0.3,0.8,1.0,2.5,1.0,0.3,1.0,1.5,6.3
1995,21,SEA,Ervin Johnson,27,4,2,13.5,1.0,3.5,0.29,0.0,0.0,,1.0,3.5,0.29,0.29,1.5,1.5,1.0,2.0,3.3,5.3,0.0,0.3,1.0,0.3,4.0,3.5
1995,21,SEA,Byron Houston,25,1,0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,21,SEA,Steve Scheffler,27,1,0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
