PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bill Cartwright,25.0,82,82.0,2468,455,804,0.5660000000000001,0,0,,455,804,0.5660000000000001,0.5660000000000001,380,511,0.7440000000000001,185,405,590,136,41,127,204,315,1290
Truck Robinson,31.0,81,76.0,2426,326,706,0.462,0,0,,326,706,0.462,0.462,118,201,0.5870000000000001,199,458,657,145,57,24,190,241,770
Bernard King,26.0,68,68.0,2207,603,1142,0.528,0,6,0.0,603,1136,0.531,0.528,280,388,0.722,99,227,326,195,90,13,197,233,1486
Paul Westphal,32.0,80,59.0,1978,318,693,0.45899999999999996,14,48,0.292,304,645,0.47100000000000003,0.469,148,184,0.804,19,96,115,439,87,16,196,180,798
Trent Tucker,23.0,78,59.0,1830,299,647,0.462,14,30,0.467,285,617,0.462,0.473,43,64,0.672,75,141,216,195,56,6,70,235,655
Louis Orr,24.0,82,14.0,1666,274,593,0.462,0,2,0.0,274,591,0.46399999999999997,0.462,140,175,0.8,94,134,228,94,64,24,93,134,688
Ed Sherod,23.0,64,37.0,1624,171,421,0.406,1,13,0.077,170,408,0.41700000000000004,0.40700000000000003,52,80,0.65,43,106,149,311,96,14,104,112,395
Marvin Webster,30.0,82,0.0,1472,168,331,0.508,0,1,0.0,168,330,0.509,0.508,106,180,0.589,176,267,443,49,35,131,102,210,442
Ernie Grunfeld,27.0,77,0.0,1422,167,377,0.44299999999999995,0,4,0.0,167,373,0.44799999999999995,0.44299999999999995,81,98,0.8270000000000001,42,121,163,136,40,10,84,172,415
Sly Williams,25.0,68,6.0,1385,314,647,0.485,2,19,0.105,312,628,0.49700000000000005,0.48700000000000004,176,259,0.68,94,196,290,133,73,3,133,166,806
Rory Sparrow,24.0,32,9.0,880,128,298,0.43,2,7,0.28600000000000003,126,291,0.433,0.433,63,86,0.733,22,67,89,159,37,4,71,93,321
Vince Taylor,22.0,31,0.0,321,37,102,0.363,0,0,,37,102,0.363,0.363,21,32,0.6559999999999999,19,17,36,41,20,2,30,54,95
Scott Hastings,22.0,21,0.0,98,8,22,0.364,0,1,0.0,8,21,0.381,0.364,7,14,0.5,10,21,31,1,5,0,6,31,23
Mike Davis,26.0,8,0.0,28,4,10,0.4,0,0,,4,10,0.4,0.4,6,10,0.6,3,7,10,0,0,4,0,4,14
Team Totals,,82,,19805,3272,6793,0.48200000000000004,33,131,0.252,3239,6662,0.486,0.484,1621,2282,0.71,1080,2263,3343,2034,701,378,1509,2180,8198
