Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1983,27,2556,SAS,San Antonio Spurs,Mike Sanders,"May 7, 1960",22.0,NBA,SF,26.0,393.0,14.2,0.52,0.01,0.27,8.9,16.9,13.0,6.5,2.1,0.8,13.7,20.7,0.4,0.4,0.8,0.09,-1.4,-0.4,-1.8,0.0
1984,24,2556,PHO,Phoenix Suns,Mike Sanders,"May 7, 1960",23.0,NBA,SF,50.0,586.0,10.5,0.5,0.0,0.21,7.9,12.6,10.3,9.8,1.9,1.2,16.6,18.6,0.0,0.6,0.6,0.04,-3.1,-0.1,-3.2,-0.2
1985,24,2556,PHO,Phoenix Suns,Mike Sanders,"May 7, 1960",24.0,NBA,SF,21.0,418.0,15.0,0.54,0.0,0.34,10.5,13.6,12.1,10.2,2.6,0.5,14.5,22.9,0.3,0.6,0.8,0.09,-1.2,-0.1,-1.4,0.1
1986,24,2556,PHO,Phoenix Suns,Mike Sanders,"May 7, 1960",25.0,NBA,SF,82.0,1644.0,16.0,0.57,0.02,0.38,7.6,11.4,9.6,13.5,2.1,1.1,15.3,22.6,2.2,1.7,3.9,0.12,0.2,0.0,0.2,0.9
1987,24,2556,PHO,Phoenix Suns,Mike Sanders,"May 7, 1960",26.0,NBA,SF,82.0,1655.0,14.4,0.54,0.02,0.25,7.0,11.3,9.2,11.1,1.7,0.8,11.6,22.2,1.5,1.2,2.7,0.08,-0.7,-0.9,-1.6,0.2
1988,31,2556,TOT,Total After Trade,Mike Sanders,"May 7, 1960",27.0,NBA,SF,59.0,883.0,11.1,0.54,0.0,0.25,4.9,9.2,7.1,9.1,1.7,0.6,12.9,18.2,0.6,0.6,1.2,0.07,-2.5,-0.2,-2.7,-0.1
1988,24,2556,PHO,Phoenix Suns,Mike Sanders,"May 7, 1960",27.0,NBA,SF,35.0,466.0,11.2,0.52,0.01,0.31,6.7,8.3,7.5,8.9,1.8,0.5,12.2,19.4,0.3,0.2,0.5,0.05,-2.3,-0.6,-2.9,-0.1
1988,6,2556,CLE,Cleveland Cavaliers,Mike Sanders,"May 7, 1960",27.0,NBA,SF,24.0,417.0,10.9,0.57,0.0,0.17,2.9,10.2,6.6,9.3,1.5,0.7,13.9,16.9,0.3,0.4,0.7,0.08,-2.7,0.3,-2.4,0.0
1989,6,2556,CLE,Cleveland Cavaliers,Mike Sanders,"May 7, 1960",28.0,NBA,SF,82.0,2102.0,10.5,0.48,0.01,0.18,5.6,10.6,8.2,8.8,2.1,0.9,11.6,18.1,0.0,3.1,3.1,0.07,-3.0,0.7,-2.3,-0.2
1990,12,2556,IND,Indiana Pacers,Mike Sanders,"May 7, 1960",29.0,NBA,SF,82.0,1531.0,9.1,0.5,0.03,0.16,6.3,11.1,8.8,8.3,1.4,0.9,13.4,16.7,0.1,0.9,1.0,0.03,-3.0,-0.7,-3.8,-0.7
1991,12,2556,IND,Indiana Pacers,Mike Sanders,"May 7, 1960",30.0,NBA,SF,80.0,1357.0,8.4,0.45,0.04,0.12,6.4,9.1,7.8,10.9,1.3,1.1,11.1,18.1,-0.4,0.5,0.1,0.0,-3.3,-1.6,-4.9,-1.0
1992,31,2556,TOT,Total After Trade,Mike Sanders,"May 7, 1960",31.0,NBA,SF,31.0,633.0,13.6,0.61,0.02,0.29,4.9,11.7,8.5,11.6,1.9,0.9,10.8,13.9,1.2,0.6,1.8,0.14,-0.7,0.4,-0.3,0.3
1992,12,2556,IND,Indiana Pacers,Mike Sanders,"May 7, 1960",31.0,NBA,SF,10.0,81.0,9.7,0.55,0.0,0.27,0.0,10.4,5.5,18.3,1.2,0.7,19.6,15.9,0.0,0.0,0.1,0.04,-1.5,-0.6,-2.1,0.0
1992,6,2556,CLE,Cleveland Cavaliers,Mike Sanders,"May 7, 1960",31.0,NBA,SF,21.0,552.0,14.1,0.62,0.02,0.3,5.7,11.9,8.9,10.6,2.0,0.9,9.2,13.7,1.2,0.6,1.7,0.15,-0.6,0.6,-0.1,0.3
1993,6,2556,CLE,Cleveland Cavaliers,Mike Sanders,"May 7, 1960",32.0,NBA,SF,53.0,1189.0,11.8,0.53,0.01,0.2,5.2,10.9,8.2,9.0,1.7,1.5,11.7,18.2,0.6,1.4,2.0,0.08,-2.4,0.1,-2.3,-0.1
