Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1995,10,43,GSW,Golden State Warriors,52,Victor Alexander,C,6-9,265,"August 31, 1969",US,3,Iowa State
1995,10,282,GSW,Golden State Warriors,1,Manute Bol,C,7-7,200,"October 16, 1962",SS,9,University of Bridgeport
1995,10,1009,GSW,Golden State Warriors,25,Chris Gatling,PF,6-10,220,"September 3, 1967",US,3,Old Dominion
1995,10,1136,GSW,Golden State Warriors,8,Tom Gugliotta,PF,6-10,240,"December 19, 1969",US,2,NC State
1995,10,1180,GSW,Golden State Warriors,10,Tim Hardaway,PG,6-0,175,"September 1, 1966",US,4,Texas-El Paso
1995,10,1281,GSW,Golden State Warriors,32,Rod Higgins,SF,6-7,200,"January 31, 1960",US,12,Fresno State
1995,10,1451,GSW,Golden State Warriors,2,Keith Jennings,PG,5-7,160,"November 2, 1968",US,2,East Tennessee State University
1995,10,1728,GSW,Golden State Warriors,20,Tim Legler,SG,6-4,200,"December 26, 1966",US,4,La Salle
1995,10,1778,GSW,Golden State Warriors,"9, 33",Ryan Lorthridge,SG,6-4,190,"July 27, 1972",US,R,Jackson State University
1995,10,1843,GSW,Golden State Warriors,3,Donyell Marshall,SF,6-9,218,"May 18, 1973",US,R,UConn
1995,10,2060,GSW,Golden State Warriors,50,Dwayne Morton,PG,6-7,195,"August 8, 1971",US,R,Louisville
1995,10,2075,GSW,Golden State Warriors,17,Chris Mullin,SF,6-6,200,"July 30, 1963",US,9,St. John's
1995,10,2305,GSW,Golden State Warriors,22,Ricky Pierce,PG,6-4,205,"August 19, 1959",US,12,Rice University
1995,10,2497,GSW,Golden State Warriors,34,Carlos Rogers,C,6-11,220,"February 6, 1971",US,R,"Little Rock, Tennessee State"
1995,10,2520,GSW,Golden State Warriors,44,Clifford Rozier,C,6-11,245,"October 31, 1972",US,R,"UNC, Louisville"
1995,10,2591,GSW,Golden State Warriors,"4, 9",Rony Seikaly,C,6-11,230,"May 10, 1965",LB,6,Syracuse
1995,10,2730,GSW,Golden State Warriors,15,Latrell Sprewell,SG,6-5,190,"September 8, 1970",US,2,Alabama
1995,10,3221,GSW,Golden State Warriors,12,David Wood,PF,6-9,227,"November 30, 1964",US,4,Nevada
