Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1995,1,73,ATL,Atlanta Hawks,22,Greg Anderson,PF,6-10,230,"June 22, 1964",US,6,Houston
1995,1,118,ATL,Atlanta Hawks,2,Stacey Augmon,SG,6-8,205,"August 1, 1968",US,3,UNLV
1995,1,197,ATL,Atlanta Hawks,5,Sergei Bazarevich,PG,6-2,168,"March 16, 1965",RU,R,
1995,1,266,ATL,Atlanta Hawks,10,Mookie Blaylock,PG,6-0,180,"March 20, 1967",US,5,"Midland College, Oklahoma"
1995,1,609,ATL,Atlanta Hawks,33,Tyrone Corbin,SF,6-6,210,"December 31, 1962",US,9,DePaul
1995,1,830,ATL,Atlanta Hawks,34,Doug Edwards,PF,6-7,220,"January 21, 1971",US,1,Florida State
1995,1,838,ATL,Atlanta Hawks,3,Craig Ehlo,SG,6-6,180,"August 11, 1961",US,11,Washington State
1995,1,1336,ATL,Atlanta Hawks,17,Tom Hovasse,SF,6-8,205,"January 31, 1967",US,R,Penn State
1995,1,1644,ATL,Atlanta Hawks,32,Jon Koncak,C,7-0,250,"May 17, 1963",US,9,SMU
1995,1,1690,ATL,Atlanta Hawks,28,Andrew Lang,C,6-11,245,"June 28, 1966",US,6,Arkansas
1995,1,1735,ATL,Atlanta Hawks,14,Jim Les,PG,5-11,165,"August 18, 1963",US,6,"Cleveland State University, Bradley"
1995,1,1769,ATL,Atlanta Hawks,43,Grant Long,PF,6-8,225,"March 12, 1966",US,6,Eastern Michigan
1995,1,2154,ATL,Atlanta Hawks,4,Ken Norman,SF,6-8,215,"September 5, 1964",US,7,Illinois
1995,1,2703,ATL,Atlanta Hawks,8,Steve Smith,SG,6-7,200,"March 31, 1969",US,3,Michigan State
1995,1,2975,ATL,Atlanta Hawks,11,Fred Vinson,SG,6-4,190,"January 28, 1971",US,R,Georgia Tech
1995,1,3079,ATL,Atlanta Hawks,1,Ennis Whatley,PG,6-3,177,"August 11, 1962",US,8,Alabama
1995,1,3114,ATL,Atlanta Hawks,11,Morlon Wiley,PG,6-4,185,"September 24, 1966",US,6,Cal State Long Beach
1995,1,3189,ATL,Atlanta Hawks,42,Kevin Willis,PF,7-0,220,"September 6, 1962",US,9,Michigan State
