PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Gus Williams,29,2,81,27.1,0.606,0.043,0.319,4.2,4.0,4.1,19.7,3.1,0.0,10.1,29.4,,0.3,0.0,0.4,0.223,,7.1,2.8,9.9,0.2
Jack Sikma,27,2,75,15.5,0.413,0.032,0.387,6.8,28.8,16.5,21.7,1.3,1.6,12.1,22.0,,0.0,0.1,0.1,0.032,,-0.3,1.8,1.5,0.1
David Thompson,28,2,65,5.8,0.408,0.0,0.4,0.0,0.0,0.0,15.7,0.8,0.9,12.0,20.6,,-0.1,0.0,-0.1,-0.059000000000000004,,-4.8,-1.4,-6.2,-0.1
Danny Vranes,24,2,56,8.5,0.353,0.0,0.0,13.7,19.3,16.1,2.5,0.0,1.1,5.6,12.9,,0.0,0.0,0.0,0.012,,-3.8,-2.1,-6.0,-0.1
Lonnie Shelton,27,2,53,5.4,0.198,0.13,0.217,20.8,16.3,18.8,12.6,0.9,0.0,7.4,20.5,,-0.2,0.0,-0.2,-0.13699999999999998,,-4.9,-3.7,-8.6,-0.1
James Donaldson,25,2,47,22.0,0.515,0.0,0.136,9.0,27.5,17.2,7.2,0.0,3.8,0.0,19.8,,0.1,0.0,0.2,0.177,,3.6,0.5,4.1,0.1
Steve Hawes,32,2,35,6.0,0.53,0.0,0.3,2.4,15.4,8.1,8.4,0.0,0.0,20.9,16.4,,0.0,0.0,0.0,-0.013999999999999999,,-7.7,-0.5,-8.2,-0.1
Fred Brown,34,2,30,7.4,0.304,0.0,0.222,0.0,10.8,4.8,22.0,1.7,0.0,0.0,13.2,,0.0,0.0,0.0,0.005,,-6.1,0.9,-5.2,0.0
Greg Kelser,25,2,19,11.9,0.4,0.0,0.0,13.4,17.0,15.0,7.3,2.6,0.0,0.0,10.5,,0.0,0.0,0.0,0.099,,-3.2,0.5,-2.7,0.0
Phil Smith,30,2,19,5.6,0.5,0.0,0.0,0.0,17.0,7.5,7.9,0.0,0.0,25.0,16.8,,0.0,0.0,0.0,-0.08,,-7.4,-1.5,-8.9,0.0
