SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1983,27,SAS,George Gervin,30,11,437,16.2,0.58,0.01,0.33,5.1,11.6,8.5,10.7,1.2,0.5,16.2,24.8,,0.6,0.3,1.0,0.1,,0.9,-1.2,-0.3,0.2
1983,27,SAS,Mike Mitchell,27,11,422,15.5,0.54,0.01,0.16,8.3,16.4,12.5,3.6,0.7,2.3,10.4,21.6,,0.5,0.4,0.9,0.1,,0.7,-1.0,-0.3,0.2
1983,27,SAS,Johnny Moore,24,11,414,25.6,0.58,0.09,0.18,2.0,9.0,5.7,49.7,3.0,0.4,11.6,22.1,,1.8,0.4,2.2,0.26,,7.4,2.0,9.4,1.2
1983,27,SAS,Artis Gilmore,33,11,401,17.9,0.6,0.0,0.35,9.8,25.1,17.8,5.3,1.0,4.4,15.1,17.0,,0.7,0.6,1.3,0.15,,1.2,1.1,2.3,0.4
1983,27,SAS,Gene Banks,23,11,398,14.6,0.53,0.0,0.23,7.2,11.8,9.6,14.9,1.2,0.1,11.3,17.8,,0.6,0.3,0.9,0.11,,1.8,-0.6,1.3,0.3
1983,27,SAS,Edgar Jones,26,11,193,11.7,0.49,0.03,0.53,12.6,14.9,13.8,9.9,1.4,3.7,19.0,18.6,,0.0,0.2,0.3,0.06,,-3.3,1.0,-2.3,0.0
1983,27,SAS,Mike Dunleavy,28,11,174,11.3,0.43,0.46,0.2,1.8,5.5,3.8,31.0,2.3,0.3,16.5,18.5,,0.0,0.1,0.2,0.05,,-0.4,-0.4,-0.8,0.1
1983,27,SAS,Billy Paultz,34,11,133,8.5,0.44,0.0,0.12,8.7,15.1,12.1,8.8,1.3,0.8,15.1,11.4,,0.0,0.1,0.2,0.06,,-2.0,0.1,-1.9,0.0
1983,27,SAS,Roger Phegley,26,8,38,16.6,0.64,0.24,0.24,2.8,17.7,10.6,3.3,0.0,0.0,5.1,19.8,,0.1,0.0,0.1,0.18,,1.8,-0.8,1.0,0.0
1983,27,SAS,Mike Sanders,22,6,25,21.1,0.54,0.0,0.0,8.5,26.8,18.1,21.2,0.0,0.0,0.0,19.8,,0.1,0.0,0.1,0.21,,4.4,0.5,4.8,0.0
1983,27,SAS,Robert Smith,27,6,19,24.1,0.51,0.11,0.22,16.7,10.1,13.2,38.3,2.3,0.0,9.2,21.8,,0.1,0.0,0.1,0.24,,6.5,1.6,8.1,0.0
1983,27,SAS,Ed Rains,26,3,11,5.6,0.4,0.2,0.0,9.6,0.0,4.6,10.6,0.0,0.0,16.7,20.8,,0.0,0.0,0.0,-0.08,,-1.9,-4.9,-6.8,0.0
