Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1980,10.0,2243,GSW,Golden State Warriors,26.0,NBA,C,72.0,2119.0,20.0,0.54,0.0,0.28,12.5,28.8,20.4,8.9,1.3,3.2,16.6,26.4,1.5,3.1,4.6,0.1,0.7,-0.3,0.4,1.3
1981,2.0,2243,BOS,Boston Celtics,27.0,NBA,C,82.0,2298.0,25.2,0.58,0.0,0.34,12.7,25.3,19.3,10.0,1.7,5.1,12.5,27.1,6.0,4.9,10.9,0.23,3.3,2.1,5.4,4.3
1982,2.0,2243,BOS,Boston Celtics,28.0,NBA,C,80.0,2534.0,22.6,0.57,0.0,0.29,12.8,24.5,18.8,8.4,1.3,4.1,13.7,25.5,5.0,5.1,10.0,0.19,2.6,1.2,3.8,3.7
1983,2.0,2243,BOS,Boston Celtics,29.0,NBA,C,78.0,2459.0,23.0,0.58,0.0,0.34,11.4,24.6,18.1,8.4,1.5,3.3,12.5,23.6,6.2,4.6,10.8,0.21,3.5,0.8,4.3,3.9
1984,2.0,2243,BOS,Boston Celtics,30.0,NBA,C,80.0,2867.0,19.2,0.58,0.0,0.32,10.0,23.5,17.0,7.0,0.9,2.3,12.4,21.3,5.7,4.8,10.5,0.18,1.8,0.1,1.9,2.8
1985,2.0,2243,BOS,Boston Celtics,31.0,NBA,C,79.0,2850.0,17.6,0.59,0.0,0.39,10.7,21.4,16.3,5.8,0.9,1.9,13.5,19.7,5.0,4.0,9.0,0.15,1.1,-0.3,0.8,2.0
1986,2.0,2243,BOS,Boston Celtics,32.0,NBA,C,81.0,2567.0,18.8,0.59,0.0,0.35,11.3,21.1,16.5,7.7,1.2,2.5,14.4,20.8,4.4,4.8,9.2,0.17,1.5,0.6,2.1,2.6
1987,2.0,2243,BOS,Boston Celtics,33.0,NBA,C,80.0,2995.0,17.7,0.59,0.0,0.29,10.4,20.7,16.0,8.0,1.0,2.7,13.8,19.7,4.6,4.5,9.2,0.15,0.9,0.3,1.2,2.4
1988,2.0,2243,BOS,Boston Celtics,34.0,NBA,C,74.0,2312.0,17.2,0.62,0.0,0.32,9.5,21.9,16.1,6.9,1.2,2.1,15.2,18.7,3.8,2.6,6.4,0.13,1.1,-0.3,0.8,1.6
1989,2.0,2243,BOS,Boston Celtics,35.0,NBA,C,80.0,2840.0,21.6,0.61,0.0,0.39,14.0,26.1,20.1,9.1,1.4,2.4,14.0,20.9,6.9,3.6,10.5,0.18,3.5,-0.2,3.3,3.8
1990,2.0,2243,BOS,Boston Celtics,36.0,NBA,C,79.0,2396.0,19.2,0.62,0.0,0.36,12.6,23.5,18.3,6.2,0.8,1.7,14.4,20.7,4.8,3.0,7.8,0.16,1.9,-0.8,1.1,1.9
1991,2.0,2243,BOS,Boston Celtics,37.0,NBA,C,81.0,2441.0,20.6,0.64,0.0,0.38,13.4,24.4,19.3,3.7,1.3,2.4,13.9,19.0,6.1,3.9,10.0,0.2,2.4,-0.3,2.2,2.6
1992,2.0,2243,BOS,Boston Celtics,38.0,NBA,C,79.0,2285.0,18.9,0.57,0.0,0.26,11.1,22.4,17.0,4.4,1.5,2.5,11.8,20.8,3.8,3.6,7.4,0.16,1.2,0.2,1.4,2.0
1993,2.0,2243,BOS,Boston Celtics,39.0,NBA,C,79.0,2146.0,19.2,0.56,0.0,0.3,13.1,25.8,19.5,4.2,1.3,3.1,12.0,20.2,3.4,3.4,6.8,0.15,1.2,-0.2,1.0,1.6
1994,2.0,2243,BOS,Boston Celtics,40.0,NBA,C,74.0,1987.0,16.1,0.53,0.0,0.29,8.0,22.9,15.4,6.3,1.1,3.0,11.7,20.2,1.8,2.1,4.0,0.1,-0.7,-0.3,-1.0,0.5
1995,,2243,CHH,None,41.0,NBA,C,81.0,1352.0,10.1,0.47,0.0,0.27,8.5,21.5,15.3,5.0,1.1,1.9,13.7,16.5,-0.6,2.0,1.4,0.05,-3.5,-0.2,-3.7,-0.6
1996,,2243,CHH,None,42.0,NBA,C,74.0,1086.0,13.0,0.53,0.0,0.3,9.7,24.4,16.9,4.0,1.0,3.7,15.5,13.4,0.7,1.0,1.7,0.07,-1.0,-0.1,-1.1,0.2
1997,5.0,2243,CHI,Chicago Bulls,43.0,NBA,C,43.0,406.0,14.3,0.51,0.0,0.22,11.9,12.9,12.4,8.2,0.8,3.5,15.2,20.3,0.3,0.6,0.9,0.1,-2.0,-0.7,-2.7,-0.1
