SEASON,TEAM ID,TEAM,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,8,DEN,Denver Nuggets,82,240.6,47.6,108.1,0.44,3.7,12.9,0.28,43.9,95.2,0.46,21.0,27.6,0.76,18.5,30.9,49.4,24.5,10.4,5.0,16.2,27.3,119.9
1991,10,GSW,Golden State Warriors,82,241.5,43.5,89.6,0.48,3.3,9.8,0.34,40.2,79.8,0.5,26.4,33.7,0.78,13.6,28.1,41.7,23.8,9.8,4.6,16.6,26.9,116.6
1991,25,POR,Portland Trail Blazers,82,242.7,43.6,89.9,0.48,4.2,11.0,0.38,39.5,78.8,0.5,23.3,31.0,0.75,14.7,31.2,45.9,27.5,8.8,5.0,16.0,24.1,114.7
1991,24,PHO,Phoenix Suns,82,240.6,43.6,87.8,0.5,1.7,5.3,0.32,41.9,82.5,0.51,25.2,32.7,0.77,13.8,31.7,45.5,26.9,8.4,6.5,15.9,22.6,114.0
1991,12,IND,Indiana Pacers,82,241.5,42.1,85.3,0.49,3.0,9.1,0.33,39.0,76.2,0.51,24.5,30.2,0.81,12.4,29.0,41.4,26.6,8.0,4.4,16.5,25.5,111.7
1991,2,BOS,Boston Celtics,82,241.5,45.1,88.0,0.51,1.3,4.2,0.32,43.7,83.8,0.52,20.1,24.4,0.82,13.3,32.9,46.2,26.3,8.2,6.9,16.1,20.7,111.5
1991,5,CHI,Chicago Bulls,82,240.9,44.3,86.9,0.51,1.9,5.2,0.37,42.4,81.7,0.52,19.6,25.7,0.76,14.0,28.6,42.6,27.0,10.0,5.3,14.4,21.4,110.0
1991,1,ALT,Atlanta Hawks,82,240.9,40.8,88.1,0.46,3.3,10.2,0.32,37.5,77.9,0.48,24.8,31.0,0.8,15.1,29.5,44.6,22.7,8.9,4.6,15.0,21.6,109.8
1991,27,SAS,San Antonio Spurs,82,241.8,41.6,85.2,0.49,1.0,3.6,0.27,40.6,81.6,0.5,23.0,30.0,0.77,13.8,32.4,46.2,26.1,8.2,7.0,17.6,23.1,107.1
1991,11,HOU,Houston Rockets,82,242.1,41.5,88.9,0.47,3.9,12.1,0.32,37.6,76.8,0.49,19.9,26.8,0.74,15.5,30.6,46.1,23.2,9.7,5.0,17.1,22.9,106.7
1991,21,SEA,Seattle Supersonics,82,242.4,42.7,86.8,0.49,1.7,5.2,0.32,41.0,81.6,0.5,19.6,26.1,0.75,14.9,26.5,41.4,24.9,10.5,4.6,17.1,24.1,106.6
1991,17,MIL,Milwaukee Bucks,82,242.1,40.7,84.7,0.48,3.1,9.2,0.34,37.6,75.5,0.5,21.9,27.3,0.8,13.2,26.4,39.5,25.3,10.9,4.0,16.1,24.8,106.4
1991,14,LAL,Los Angeles Lakers,82,241.8,40.8,84.3,0.48,2.8,9.1,0.3,38.0,75.2,0.5,22.0,27.6,0.8,13.1,29.8,42.9,25.5,7.8,4.7,14.7,18.6,106.3
1991,22,ORL,Orlando Magic,82,241.2,40.2,88.5,0.46,3.3,9.2,0.36,36.9,79.3,0.47,22.2,29.8,0.74,15.0,29.6,44.7,22.1,7.3,3.7,17.0,24.1,105.9
1991,23,PHI,Philadelphia 76Ers,82,244.9,40.1,84.5,0.48,2.4,7.5,0.32,37.7,76.9,0.49,22.8,28.9,0.79,12.0,30.4,42.4,22.2,8.3,5.8,15.0,19.9,105.4
1991,29,UTA,Utah Jazz,82,241.2,39.2,79.7,0.49,1.8,5.6,0.32,37.4,74.1,0.5,23.8,30.1,0.79,10.6,30.2,40.7,27.0,8.0,5.5,15.9,21.9,104.0
1991,13,LAC,Los Angeles Clippers,82,241.5,41.4,89.2,0.46,1.4,5.3,0.26,40.0,83.9,0.48,19.5,27.7,0.7,15.2,30.5,45.7,25.8,8.8,6.2,17.5,24.9,103.5
