Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995,8,2509,DEN,Denver Nuggets,Jalen Rose,"January 30, 1973",22.0,NBA,SF,81.0,37.0,22.2,2.8,6.2,0.45,0.4,1.4,0.32,2.4,4.8,0.5,0.49,2.1,2.9,0.74,0.7,2.0,2.7,4.8,0.8,0.3,2.0,2.5,8.2
1996,8,2509,DEN,Denver Nuggets,Jalen Rose,"January 30, 1973",23.0,NBA,SG,80.0,37.0,26.7,3.6,7.6,0.48,0.4,1.4,0.3,3.2,6.2,0.52,0.51,2.4,3.5,0.69,0.6,2.7,3.3,6.2,0.7,0.5,2.9,2.9,10.0
1997,12,2509,IND,Indiana Pacers,Jalen Rose,"January 30, 1973",24.0,NBA,SF,66.0,6.0,18.0,2.6,5.7,0.46,0.3,1.1,0.29,2.3,4.6,0.5,0.48,1.8,2.4,0.75,0.4,1.4,1.8,2.3,0.9,0.3,1.6,2.1,7.3
1998,12,2509,IND,Indiana Pacers,Jalen Rose,"January 30, 1973",25.0,NBA,SF,82.0,0.0,20.8,3.5,7.4,0.48,0.3,0.9,0.34,3.2,6.5,0.5,0.5,2.0,2.8,0.73,0.3,2.0,2.4,1.9,0.7,0.2,1.6,2.1,9.4
1999,12,2509,IND,Indiana Pacers,Jalen Rose,"January 30, 1973",26.0,NBA,SF,49.0,1.0,25.3,4.1,10.1,0.4,0.3,1.3,0.26,3.7,8.8,0.42,0.42,2.6,3.2,0.79,0.7,2.4,3.1,1.9,1.0,0.3,1.5,2.6,11.1
2000,12,2509,IND,Indiana Pacers,Jalen Rose,"January 30, 1973",27.0,NBA,SF,80.0,80.0,37.2,7.0,15.0,0.47,1.0,2.5,0.39,6.1,12.5,0.49,0.5,3.2,3.8,0.83,0.5,4.3,4.8,4.0,1.1,0.6,2.4,2.9,18.2
2001,12,2509,IND,Indiana Pacers,Jalen Rose,"January 30, 1973",28.0,NBA,SF,72.0,72.0,40.9,7.9,17.3,0.46,0.8,2.4,0.34,7.1,14.8,0.48,0.48,4.0,4.8,0.83,0.5,4.5,5.0,6.0,0.9,0.6,2.9,3.2,20.5
2002,31,2509,TOT,Total After Trade,Jalen Rose,"January 30, 1973",29.0,NBA,SF,83.0,83.0,38.0,8.0,17.6,0.46,1.1,3.0,0.36,6.9,14.6,0.47,0.48,3.4,4.0,0.84,0.5,4.0,4.5,4.3,0.9,0.5,2.4,3.0,20.4
2002,12,2509,IND,Indiana Pacers,Jalen Rose,"January 30, 1973",29.0,NBA,SF,53.0,53.0,36.5,7.3,16.4,0.44,1.0,2.8,0.36,6.3,13.7,0.46,0.47,2.9,3.5,0.84,0.5,4.2,4.7,3.7,0.8,0.5,2.0,2.8,18.5
2002,5,2509,CHI,Chicago Bulls,Jalen Rose,"January 30, 1973",29.0,NBA,SF,30.0,30.0,40.5,9.2,19.6,0.47,1.2,3.3,0.37,8.0,16.2,0.49,0.5,4.2,5.0,0.84,0.5,3.7,4.1,5.3,1.1,0.5,3.2,3.4,23.8
2003,5,2509,CHI,Chicago Bulls,Jalen Rose,"January 30, 1973",30.0,NBA,SF,82.0,82.0,40.9,7.8,19.3,0.41,1.6,4.4,0.37,6.2,14.9,0.42,0.45,4.9,5.7,0.85,0.8,3.5,4.3,4.8,0.9,0.3,3.5,3.3,22.1
2004,31,2509,TOT,Total After Trade,Jalen Rose,"January 30, 1973",31.0,NBA,"PG,SF",66.0,64.0,37.8,5.8,14.4,0.4,1.0,3.1,0.34,4.8,11.4,0.42,0.44,2.8,3.5,0.81,0.5,3.5,4.0,5.0,0.8,0.3,3.2,2.8,15.5
