Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2020,15,2043,MEM,Memphis Grizzlies,Ja Morant,"August 10, 1999",20.0,NBA,PG,67,67,2074,447,937,0.48,60,179,0.34,387,758,0.51,0.51,239,308,0.78,51,208,259,488,58,18,220,110,1193,2
2021,15,2043,MEM,Memphis Grizzlies,Ja Morant,"August 10, 1999",21.0,NBA,PG,11,11,320,73,158,0.46,10,36,0.28,63,122,0.52,0.49,48,59,0.81,6,18,24,81,12,4,32,18,204,0
