Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982,14,LAL,Los Angeles Lakers,Magic Johnson,22,14,,562,5.3,10.1,0.53,0.0,0.3,0.0,5.3,9.8,0.54,4.9,6.0,0.83,3.5,6.7,10.1,8.3,2.6,0.2,2.8,3.2,15.6
1982,14,LAL,Los Angeles Lakers,Norm Nixon,26,14,,549,7.9,16.6,0.48,0.1,0.2,0.33,7.9,16.4,0.48,2.8,3.7,0.75,0.9,2.0,2.8,7.5,1.5,0.1,2.2,2.8,18.8
1982,14,LAL,Los Angeles Lakers,Jamaal Wilkes,28,14,,535,8.1,16.2,0.5,0.0,0.1,0.0,8.1,16.1,0.5,2.6,3.3,0.78,2.7,2.0,4.7,2.5,1.1,0.2,2.7,2.9,18.8
1982,14,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,34,14,,493,8.4,16.1,0.52,0.0,0.0,,8.4,16.1,0.52,4.0,6.4,0.63,2.4,6.3,8.7,3.7,1.0,3.3,3.0,3.3,20.8
1982,14,LAL,Los Angeles Lakers,Bob McAdoo,30,14,,388,9.4,16.6,0.56,0.0,0.0,,9.4,16.6,0.56,3.0,4.4,0.68,1.9,6.9,8.8,2.0,0.9,1.9,3.2,4.0,21.7
1982,14,LAL,Los Angeles Lakers,Michael Cooper,25,14,,383,6.6,11.7,0.56,0.1,0.2,0.5,6.5,11.5,0.57,2.3,3.2,0.74,1.8,3.9,5.7,5.8,2.3,1.0,2.7,4.4,15.6
1982,14,LAL,Los Angeles Lakers,Kurt Rambis,23,14,,279,4.3,8.3,0.52,0.0,0.0,,4.3,8.3,0.52,2.1,3.4,0.62,4.1,7.0,11.1,1.4,1.0,1.5,2.2,6.1,10.6
1982,14,LAL,Los Angeles Lakers,Mark Landsberger,26,9,,60,1.8,5.4,0.33,0.0,0.0,,1.8,5.4,0.33,2.4,5.4,0.44,6.6,6.6,13.2,1.2,0.0,0.0,2.4,7.2,6.0
1982,14,LAL,Los Angeles Lakers,Jim Brewer,30,8,,57,1.9,3.8,0.5,0.0,0.0,,1.9,3.8,0.5,0.0,0.0,,2.5,4.4,6.9,2.5,1.3,3.8,2.5,3.2,3.8
1982,14,LAL,Los Angeles Lakers,Clay Johnson,25,7,,38,4.7,8.5,0.56,0.0,0.0,,4.7,8.5,0.56,1.9,1.9,1.0,0.9,1.9,2.8,0.9,0.9,0.0,0.9,5.7,11.4
1982,14,LAL,Los Angeles Lakers,Mike McGee,22,4,,10,21.6,46.8,0.46,0.0,3.6,0.0,21.6,43.2,0.5,0.0,0.0,,10.8,0.0,10.8,0.0,0.0,0.0,3.6,3.6,43.2
1982,14,LAL,Los Angeles Lakers,Eddie Jordan,27,3,,6,0.0,12.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,12.0,0.0,6.0,0.0,0.0
