PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Karl Malone,38,80,80,3040,11.1,24.5,0.45399999999999996,0.2,0.4,0.36,11.0,24.0,0.456,8.9,11.2,0.797,2.5,9.5,12.0,6.0,2.7,1.0,4.6,4.0,31.3,,107,101
John Stockton,39,82,82,2566,8.3,16.1,0.517,0.5,1.6,0.321,7.8,14.4,0.539,5.7,6.7,0.857,1.2,4.2,5.5,14.0,3.2,0.5,4.3,4.3,22.8,,120,105
Andrei Kirilenko,20,82,40,2151,7.0,15.7,0.45,0.6,2.5,0.25,6.4,13.2,0.488,7.0,9.2,0.768,3.7,6.3,9.9,2.3,2.9,3.9,2.7,3.9,21.8,,113,100
Bryon Russell,31,66,40,1998,5.9,15.5,0.38,2.0,6.0,0.341,3.9,9.5,0.405,3.1,3.7,0.821,2.1,5.7,7.9,3.6,1.7,0.5,2.9,5.5,16.9,,100,107
Donyell Marshall,28,58,42,1750,10.4,20.1,0.519,0.4,1.3,0.31,10.0,18.8,0.5329999999999999,4.9,6.9,0.708,4.8,8.7,13.5,3.1,1.5,2.0,3.8,4.6,26.1,,109,103
Jarron Collins,23,70,68,1440,5.8,12.7,0.461,0.0,0.0,0.0,5.8,12.6,0.462,4.9,6.7,0.74,5.1,5.8,10.9,2.1,1.1,0.8,2.1,8.6,16.6,,113,107
Scott Padgett,25,75,1,1295,7.7,16.2,0.47600000000000003,2.0,4.6,0.434,5.7,11.6,0.493,3.1,4.2,0.735,4.6,7.1,11.7,3.4,1.8,0.5,2.8,5.7,20.5,,113,105
DeShawn Stevenson,20,67,23,1134,6.7,17.4,0.385,0.1,1.2,0.08,6.6,16.2,0.408,1.7,2.5,0.698,2.1,4.1,6.1,5.4,1.4,1.1,3.2,3.8,15.2,,89,108
Greg Ostertag,28,74,14,1107,4.4,9.7,0.45299999999999996,0.0,0.0,,4.4,9.7,0.45299999999999996,3.0,6.2,0.485,6.0,9.0,15.0,2.4,0.7,5.2,2.5,7.3,11.8,,102,102
John Starks,36,66,1,929,6.5,17.7,0.368,1.7,5.4,0.305,4.9,12.3,0.395,1.9,2.3,0.805,0.9,3.0,3.9,4.0,1.9,0.0,3.0,7.2,16.6,,90,108
John Crotty,32,41,0,802,6.5,13.8,0.47100000000000003,2.1,4.6,0.449,4.4,9.2,0.48200000000000004,3.8,4.4,0.8640000000000001,1.1,3.9,5.0,9.4,1.3,0.1,3.4,5.1,18.8,,117,109
John Amaechi,31,54,0,586,4.9,15.1,0.325,0.0,0.0,,4.9,15.1,0.325,6.1,9.5,0.638,4.7,5.2,9.9,2.6,0.6,0.9,5.0,5.8,15.9,,83,109
Rusty LaRue,28,33,0,542,7.2,18.2,0.395,1.7,4.9,0.34,5.5,13.2,0.415,2.9,3.4,0.857,1.1,3.7,4.8,7.0,1.7,0.7,4.2,5.7,18.9,,96,108
Quincy Lewis,24,36,19,490,6.9,15.5,0.44799999999999995,0.3,2.0,0.16699999999999998,6.6,13.6,0.488,1.4,2.2,0.65,1.1,3.6,4.7,3.9,2.5,1.0,3.5,9.7,15.6,,90,106
