Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997,8,1938,DEN,Denver Nuggets,Jeff McInnis,"October 22, 1974",22.0,NBA,PG,13.0,0.0,117.0,7.1,15.1,0.47,3.7,8.0,0.46,3.4,7.1,0.48,2.2,3.1,0.7,0.6,1.2,1.8,5.5,0.6,0.3,4.0,4.9,20.0
1999,30,1938,WAS,Washington Wizards,Jeff McInnis,"October 22, 1974",24.0,NBA,PG,35.0,6.0,427.0,4.2,11.3,0.37,0.8,3.0,0.26,3.5,8.3,0.41,1.8,2.4,0.75,0.8,1.0,1.8,6.2,1.6,0.1,2.5,3.0,11.0
2000,13,1938,LAC,Los Angeles Clippers,Jeff McInnis,"October 22, 1974",25.0,NBA,PG,25.0,10.0,597.0,4.8,11.2,0.43,0.4,1.3,0.33,4.4,9.9,0.44,0.8,1.0,0.76,1.1,3.3,4.3,5.4,0.9,0.1,1.6,3.3,10.9
2001,13,1938,LAC,Los Angeles Clippers,Jeff McInnis,"October 22, 1974",26.0,NBA,PG,81.0,81.0,2831.0,5.5,11.9,0.46,0.7,1.8,0.36,4.8,10.0,0.48,1.7,2.0,0.81,0.5,2.3,2.8,5.7,1.0,0.1,1.4,2.5,13.3
2002,13,1938,LAC,Los Angeles Clippers,Jeff McInnis,"October 22, 1974",27.0,NBA,PG,81.0,80.0,3030.0,5.5,13.3,0.41,0.9,2.8,0.32,4.6,10.5,0.44,2.2,2.6,0.84,0.5,2.0,2.5,5.9,0.7,0.1,1.7,2.4,14.1
2003,25,1938,POR,Portland Trail Blazers,Jeff McInnis,"October 22, 1974",28.0,NBA,PG,75.0,1.0,1311.0,5.2,11.6,0.44,0.2,1.0,0.17,5.0,10.7,0.47,1.4,1.8,0.75,0.6,2.1,2.7,4.7,0.6,0.1,2.1,3.2,11.9
2004,31,1938,TOT,Total After Trade,Jeff McInnis,"October 22, 1974",29.0,NBA,"PG,SG",70.0,57.0,2365.0,5.1,11.4,0.45,0.7,1.9,0.36,4.4,9.4,0.46,1.7,2.2,0.8,0.5,2.2,2.7,6.5,1.1,0.1,1.8,2.5,12.6
2004,25,1938,POR,Portland Trail Blazers,Jeff McInnis,"October 22, 1974",29.0,NBA,SG,39.0,26.0,1269.0,5.6,11.8,0.47,0.4,1.3,0.32,5.1,10.5,0.49,1.6,2.2,0.76,0.5,2.2,2.7,5.6,1.0,0.1,1.7,2.7,13.2
2004,6,1938,CLE,Cleveland Cavaliers,Jeff McInnis,"October 22, 1974",29.0,NBA,PG,31.0,31.0,1096.0,4.5,10.9,0.42,1.0,2.6,0.39,3.5,8.2,0.43,1.8,2.2,0.84,0.6,2.1,2.7,7.7,1.2,0.1,1.9,2.3,11.9
2005,6,1938,CLE,Cleveland Cavaliers,Jeff McInnis,"October 22, 1974",30.0,NBA,PG,76.0,69.0,2651.0,5.1,12.4,0.41,1.2,3.6,0.34,3.9,8.8,0.44,1.8,2.2,0.81,0.4,1.7,2.1,5.3,0.8,0.0,1.6,2.4,13.2
2006,3,1938,NJN,New Jersey Nets,Jeff McInnis,"October 22, 1974",31.0,NBA,SG,28.0,1.0,486.0,4.7,10.6,0.44,0.2,1.2,0.19,4.4,9.4,0.47,1.5,2.1,0.69,0.8,2.9,3.7,3.9,0.8,0.1,2.1,2.7,11.0
2007,4,1938,CHA,Charlotte Bobcats,Jeff McInnis,"October 22, 1974",32.0,NBA,PG,38.0,3.0,702.0,3.6,9.3,0.39,0.1,0.4,0.12,3.6,8.9,0.4,1.1,1.6,0.69,0.7,2.5,3.2,6.4,0.7,0.0,2.2,3.7,8.5
2008,4,1938,CHA,Charlotte Bobcats,Jeff McInnis,"October 22, 1974",33.0,NBA,PG,54.0,26.0,1410.0,2.8,6.4,0.43,0.1,0.5,0.16,2.7,5.9,0.46,0.6,0.8,0.77,0.4,2.0,2.5,5.6,0.6,0.1,1.9,3.1,6.2
