Player,Birth_Date
Alaa Abdelnaby,"June 24, 1968"
Kareem Abdul-Jabbar,"April 16, 1947"
Mahmoud Abdul-Rauf,"March 9, 1969"
Tariq Abdul-Wahad,"November 3, 1974"
Shareef Abdur-Rahim,"December 11, 1976"
Tom Abernethy,"May 6, 1954"
Alex Abrines,"August 1, 1993"
Precious Achiuwa,"September 19, 1999"
Alex Acker,"January 21, 1983"
Mark Acres,"November 15, 1962"
Quincy Acy,"October 6, 1990"
Alvan Adams,"July 19, 1954"
Hassan Adams,"June 20, 1984"
Jaylen Adams,"May 4, 1996"
Jordan Adams,"July 8, 1994"
Michael Adams,"January 19, 1963"
Steven Adams,"July 20, 1993"
Rafael Addison,"July 22, 1964"
Bam Adebayo,"July 18, 1997"
Deng Adel,"February 1, 1997"
Jeff Adrien,"February 10, 1986"
Arron Afflalo,"October 15, 1985"
Maurice Ager,"February 9, 1984"
Mark Aguirre,"December 10, 1959"
Blake Ahearn,"May 27, 1984"
Danny Ainge,"March 17, 1959"
Alexis Ajinca,"May 6, 1988"
Josh Akognon,"February 10, 1986"
DeVaughn Akoon-Purcell,"June 5, 1993"
Solomon Alabi,"March 21, 1988"
Mark Alarie,"December 11, 1963"
Furkan Aldemir,"August 9, 1991"
Cole Aldrich,"October 31, 1988"
LaMarcus Aldridge,"July 19, 1985"
Chuck Aleksinas,"February 26, 1959"
Cliff Alexander,"November 16, 1995"
Cory Alexander,"June 22, 1973"
Courtney Alexander,"April 27, 1977"
Gary Alexander,"November 1, 1969"
Joe Alexander,"December 26, 1986"
Kyle Alexander,"October 21, 1996"
Ty-Shon Alexander,"July 16, 1998"
Victor Alexander,"August 31, 1969"
Nickeil Alexander-Walker,"September 2, 1998"
Steve Alford,"November 23, 1964"
Rawle Alkins,"October 29, 1997"
Grayson Allen,"October 8, 1995"
Jarrett Allen,"April 21, 1998"
Jerome Allen,"January 28, 1973"
Kadeem Allen,"January 15, 1993"
Lavoy Allen,"February 4, 1989"
Malik Allen,"June 27, 1978"
Randy Allen,"January 26, 1965"
Ray Allen,"July 20, 1975"
Tony Allen,"January 11, 1982"
Lance Allred,"February 2, 1981"
Darrell Allums,"September 12, 1958"
Morris Almond,"February 2, 1985"
Derrick Alston,"August 20, 1972"
Rafer Alston,"July 24, 1976"
Peter Aluma,"April 23, 1973"
John Amaechi,"November 26, 1970"
Ashraf Amaya,"November 23, 1971"
Al-Farouq Aminu,"September 21, 1990"
Lou Amundson,"December 7, 1982"
Chris Andersen,"July 7, 1978"
David Andersen,"June 23, 1980"
Alan Anderson,"October 16, 1982"
Antonio Anderson,"June 5, 1985"
Derek Anderson,"July 18, 1974"
Dwight Anderson,"December 28, 1960"
Eric Anderson,"May 26, 1970"
Greg Anderson,"June 22, 1964"
J.J. Anderson,"September 23, 1960"
James Anderson,"March 25, 1989"
Justin Anderson,"November 19, 1993"
Kenny Anderson,"October 9, 1970"
Kyle Anderson,"September 20, 1993"
Michael Anderson,"March 23, 1966"
Nick Anderson,"January 20, 1968"
Richard Anderson,"November 19, 1960"
Ron Anderson,"October 15, 1958"
Ryan Anderson,"May 6, 1988"
Shandon Anderson,"December 31, 1973"
Willie Anderson,"January 8, 1967"
Martynas Andriuskevicius,"March 12, 1986"
Ike Anigbogu,"October 17, 1998"
Michael Ansley,"February 8, 1967"
Chris Anstey,"January 1, 1975"
Giannis Antetokounmpo,"December 6, 1994"
Kostas Antetokounmpo,"November 20, 1997"
Thanasis Antetokounmpo,"July 18, 1992"
Carmelo Anthony,"May 29, 1984"
Cole Anthony,"May 15, 2000"
Greg Anthony,"November 15, 1967"
Joel Anthony,"August 9, 1982"
Pero Antic,"July 29, 1982"
OG Anunoby,"July 17, 1997"
Keith Appling,"February 13, 1992"
Rafael Araujo,"August 12, 1980"
Robert Archibald,"March 29, 1980"
Tiny Archibald,"September 2, 1948"
Ryan Arcidiacono,"March 26, 1994"
Gilbert Arenas,"January 6, 1982"
Trevor Ariza,"June 30, 1985"
Joe Arlauckas,"July 20, 1965"
B.J. Armstrong,"September 9, 1967"
Brandon Armstrong,"June 16, 1980"
Darrell Armstrong,"June 22, 1968"
Hilton Armstrong,"November 11, 1984"
Carlos Arroyo,"July 30, 1979"
Darrell Arthur,"March 25, 1988"
Jamel Artis,"January 12, 1993"
Omer Asik,"July 4, 1986"
Vincent Askew,"February 28, 1966"
Keith Askins,"December 15, 1967"
Chucky Atkins,"August 14, 1974"
Stacey Augmon,"August 1, 1968"
D.J. Augustin,"November 10, 1987"
James Augustine,"February 27, 1984"
Isaac Austin,"August 18, 1969"
Ken Austin,"July 15, 1961"
Deni Avdija,"January 3, 2001"
Anthony Avent,"October 18, 1969"
William Avery,"August 8, 1979"
Dennis Awtrey,"February 22, 1948"
Gustavo Ayon,"April 1, 1985"
Jeff Ayres,"April 29, 1987"
Deandre Ayton,"July 23, 1998"
Kelenna Azubuike,"December 16, 1983"
Udoka Azubuike,"September 17, 1999"
Chris Babb,"February 14, 1990"
Luke Babbitt,"June 20, 1989"
Milos Babic,"November 23, 1968"
Dwayne Bacon,"August 30, 1995"
Dalibor Bagaric,"February 7, 1980"
John Bagley,"April 23, 1960"
Marvin Bagley,"March 14, 1999"
Carl Bailey,"April 23, 1958"
Gus Bailey,"February 18, 1951"
James Bailey,"May 21, 1957"
Thurl Bailey,"April 7, 1961"
Toby Bailey,"November 19, 1975"
Cameron Bairstow,"December 7, 1990"
LaMark Baker,"November 11, 1969"
Maurice Baker,"July 28, 1979"
Ron Baker,"March 30, 1993"
Vin Baker,"November 23, 1971"
Wade Baldwin,"March 29, 1996"
Renaldo Balkman,"July 14, 1984"
Cedric Ball,"April 16, 1968"
LaMelo Ball,"August 22, 2001"
Lonzo Ball,"October 27, 1997"
Greg Ballard,"January 29, 1955"
Mohamed Bamba,"May 12, 1998"
Desmond Bane,"June 25, 1998"
Gene Banks,"May 15, 1959"
Marcus Banks,"November 19, 1981"
Ken Bannister,"April 1, 1960"
Mike Bantom,"December 3, 1951"
Leandro Barbosa,"November 28, 1982"
Steve Bardo,"April 5, 1968"
J.J. Barea,"June 26, 1984"
Andrea Bargnani,"October 26, 1985"
Charles Barkley,"February 20, 1963"
Erick Barkley,"February 21, 1978"
Harrison Barnes,"May 30, 1992"
Marvin Barnes,"July 27, 1952"
Matt Barnes,"March 9, 1980"
Andre Barrett,"February 21, 1982"
RJ Barrett,"June 14, 2000"
Earl Barron,"August 14, 1981"
Dana Barros,"April 13, 1967"
Brent Barry,"December 31, 1971"
Drew Barry,"February 17, 1973"
Jon Barry,"July 25, 1969"
Rick Barry,"March 28, 1944"
Will Barton,"January 6, 1991"
Eddie Basden,"February 15, 1983"
Brandon Bass,"April 30, 1985"
Tim Bassett,"April 1, 1951"
Maceo Baston,"May 29, 1975"
Mengke Bateer,"November 20, 1975"
Billy Ray Bates,"May 31, 1956"
Keita Bates-Diop,"January 23, 1996"
Esteban Batista,"September 2, 1983"
Mike Batiste,"November 21, 1977"
Tony Battie,"February 11, 1976"
Shane Battier,"September 9, 1978"
John Battle,"November 9, 1962"
Kenny Battle,"October 10, 1964"
Dave Batton,"March 26, 1956"
Nicolas Batum,"December 14, 1988"
Lonny Baxter,"January 27, 1979"
