Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2006,22.0,HOU,NBA,PF,40.0,0.0,535.0,59.0,105.0,0.562,0.0,1.0,0.0,59.0,104.0,0.567,0.562,29.0,45.0,0.644,67.0,112.0,179.0,14.0,26.0,14.0,12.0,76.0,147.0,,0.0
2007,23.0,HOU,NBA,PF,78.0,43.0,1714.0,192.0,335.0,0.573,0.0,0.0,,192.0,335.0,0.573,0.573,55.0,89.0,0.618,204.0,317.0,521.0,47.0,70.0,18.0,64.0,281.0,439.0,,0.0
2008,24.0,HOU,NBA,PF,79.0,44.0,1575.0,113.0,221.0,0.511,0.0,3.0,0.0,113.0,218.0,0.518,0.511,11.0,24.0,0.458,132.0,295.0,427.0,91.0,85.0,43.0,62.0,212.0,237.0,,0.0
2009,25.0,HOU,NBA,C,71.0,1.0,858.0,42.0,113.0,0.372,0.0,4.0,0.0,42.0,109.0,0.385,0.372,7.0,19.0,0.368,74.0,176.0,250.0,42.0,34.0,19.0,25.0,134.0,91.0,,0.0
2010,26.0,HOU,NBA,C,82.0,82.0,1773.0,161.0,329.0,0.489,0.0,0.0,,161.0,329.0,0.489,0.489,36.0,66.0,0.545,151.0,314.0,465.0,139.0,73.0,43.0,74.0,219.0,358.0,,0.0
2011,27.0,HOU,NBA,C,74.0,63.0,2079.0,244.0,463.0,0.527,0.0,2.0,0.0,244.0,461.0,0.529,0.527,94.0,142.0,0.662,219.0,380.0,599.0,202.0,79.0,49.0,86.0,200.0,582.0,,1.0
2012,28.0,SAC,NBA,C,54.0,9.0,1039.0,73.0,170.0,0.429,0.0,2.0,0.0,73.0,168.0,0.435,0.429,26.0,39.0,0.667,72.0,162.0,234.0,77.0,36.0,17.0,50.0,111.0,172.0,,0.0
2013,29.0,SAC,NBA,C,74.0,1.0,1209.0,84.0,190.0,0.442,0.0,1.0,0.0,84.0,189.0,0.444,0.442,30.0,48.0,0.625,113.0,186.0,299.0,112.0,31.0,18.0,44.0,114.0,198.0,,0.0
2014,30.0,TOT,NBA,C,61.0,1.0,754.0,56.0,130.0,0.431,0.0,1.0,0.0,56.0,129.0,0.434,0.431,20.0,25.0,0.8,69.0,141.0,210.0,35.0,34.0,12.0,33.0,95.0,132.0,,0.0
2014,30.0,SAC,NBA,C,16.0,1.0,179.0,14.0,32.0,0.438,0.0,0.0,,14.0,32.0,0.438,0.438,5.0,7.0,0.714,20.0,27.0,47.0,6.0,11.0,2.0,7.0,18.0,33.0,,0.0
2014,30.0,TOR,NBA,C,45.0,0.0,575.0,42.0,98.0,0.429,0.0,1.0,0.0,42.0,97.0,0.433,0.429,15.0,18.0,0.833,49.0,114.0,163.0,29.0,23.0,10.0,26.0,77.0,99.0,,0.0
2015,31.0,TOR,NBA,C,29.0,0.0,255.0,22.0,46.0,0.478,0.0,0.0,,22.0,46.0,0.478,0.478,6.0,11.0,0.545,18.0,33.0,51.0,20.0,10.0,4.0,8.0,37.0,50.0,,0.0
2016,32.0,HOU,NBA,C,2.0,0.0,24.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,8.0,8.0,2.0,0.0,0.0,3.0,6.0,4.0,,0.0
