Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2010,26,498,SAC,Sacramento Kings,21.0,NBA,SF,77.0,31.0,1931.0,7.9,17.8,0.45,2.0,5.4,0.37,6.0,12.4,0.48,3.1,4.6,0.67,2.0,7.2,9.2,2.5,1.4,0.4,2.6,3.3,20.9,,104.0,110.0
2011,26,498,SAC,Sacramento Kings,22.0,NBA,SF,71.0,27.0,1702.0,6.7,16.2,0.41,2.7,7.3,0.37,3.9,8.9,0.44,2.0,3.0,0.67,2.2,6.9,9.1,2.2,1.6,0.4,2.0,3.4,18.1,,106.0,109.0
2012,6,498,CLE,Cleveland Cavaliers,23.0,NBA,SF,65.0,35.0,1341.0,6.5,16.1,0.4,2.1,6.6,0.32,4.4,9.6,0.46,2.9,4.2,0.68,2.5,6.5,8.9,2.6,1.5,0.8,2.5,4.5,18.0,,101.0,109.0
2013,6,498,CLE,Cleveland Cavaliers,24.0,NBA,SF,43.0,1.0,503.0,6.5,16.5,0.39,2.6,7.9,0.33,3.9,8.7,0.45,2.3,4.2,0.54,2.1,9.7,11.8,2.9,2.6,1.2,2.3,4.7,17.9,,99.0,105.0
2014,11,498,HOU,Houston Rockets,25.0,NBA,PF,71.0,2.0,1283.0,6.7,15.9,0.42,2.4,6.8,0.35,4.4,9.1,0.48,3.2,4.7,0.68,2.1,8.0,10.1,3.4,1.7,0.5,2.8,3.9,19.0,,105.0,106.0
2015,26,498,SAC,Sacramento Kings,26.0,NBA,SF,67.0,19.0,1416.0,7.4,15.2,0.49,1.2,3.1,0.4,6.2,12.1,0.51,5.0,6.8,0.73,1.9,7.3,9.2,3.6,1.1,0.3,3.1,3.8,21.1,,110.0,110.0
2016,26,498,SAC,Sacramento Kings,27.0,NBA,PF,69.0,21.0,1880.0,7.6,15.9,0.48,2.9,7.0,0.41,4.8,8.9,0.54,2.6,4.1,0.65,1.5,9.0,10.5,2.4,1.4,0.4,2.4,3.9,20.8,,109.0,108.0
2017,31,498,TOT,Total After Trade,28.0,NBA,PF,36.0,2.0,643.0,6.1,12.9,0.47,1.2,3.4,0.35,4.9,9.5,0.51,1.3,2.3,0.59,2.1,6.7,8.8,2.9,1.8,0.2,2.3,3.9,14.6,,102.0,112.0
2017,26,498,SAC,Sacramento Kings,28.0,NBA,PF,22.0,2.0,397.0,6.8,14.9,0.45,1.4,3.7,0.38,5.4,11.2,0.48,1.5,2.7,0.57,2.5,8.9,11.5,3.3,1.3,0.1,2.2,2.9,16.4,,102.0,112.0
2017,19,498,NOP,New Orleans Pelicans,28.0,NBA,PF,1.0,0.0,24.0,10.2,18.4,0.56,4.1,8.2,0.5,6.1,10.2,0.6,0.0,0.0,,2.0,2.0,4.1,0.0,0.0,0.0,4.1,6.1,24.5,,101.0,115.0
2017,18,498,MIN,Minnesota Timberwolves,28.0,NBA,PF,13.0,0.0,222.0,4.3,8.7,0.5,0.5,2.3,0.2,3.9,6.4,0.61,1.1,1.8,0.62,1.4,3.2,4.6,2.5,3.0,0.5,2.3,5.5,10.3,,100.0,112.0
2018,10,498,GSW,Golden State Warriors,29.0,NBA,SF,53.0,7.0,740.0,7.8,13.5,0.58,0.7,1.4,0.46,7.2,12.0,0.6,3.3,4.5,0.72,2.0,11.1,13.0,3.3,1.2,1.2,2.4,4.6,19.5,,117.0,106.0
2019,15,498,MEM,Memphis Grizzlies,30.0,NBA,SF,36.0,0.0,520.0,8.2,15.4,0.53,1.4,4.1,0.35,6.8,11.3,0.6,3.7,5.5,0.67,1.6,9.4,11.0,2.5,1.9,0.9,2.2,3.3,21.6,,112.0,107.0
