Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1993,7,1403,DAL,Dallas Mavericks,Jim Jackson,"October 14, 1970",22.0,NBA,SF,28.0,28.0,938.0,184.0,466.0,0.4,21.0,73.0,0.29,163.0,393.0,0.42,0.42,68.0,92.0,0.74,42.0,80.0,122.0,131.0,40.0,11.0,115.0,80.0,457.0,0.0
1994,7,1403,DAL,Dallas Mavericks,Jim Jackson,"October 14, 1970",23.0,NBA,SG,82.0,82.0,3066.0,637.0,1432.0,0.44,17.0,60.0,0.28,620.0,1372.0,0.45,0.45,285.0,347.0,0.82,169.0,219.0,388.0,374.0,87.0,25.0,334.0,161.0,1576.0,0.0
1995,7,1403,DAL,Dallas Mavericks,Jim Jackson,"October 14, 1970",24.0,NBA,SG,51.0,51.0,1982.0,484.0,1026.0,0.47,35.0,110.0,0.32,449.0,916.0,0.49,0.49,306.0,380.0,0.8,120.0,140.0,260.0,191.0,28.0,12.0,160.0,92.0,1309.0,0.0
1996,7,1403,DAL,Dallas Mavericks,Jim Jackson,"October 14, 1970",25.0,NBA,SG,82.0,82.0,2820.0,569.0,1308.0,0.44,121.0,333.0,0.36,448.0,975.0,0.46,0.48,345.0,418.0,0.82,173.0,237.0,410.0,235.0,47.0,22.0,191.0,165.0,1604.0,0.0
1997,31,1403,TOT,Total After Trade,Jim Jackson,"October 14, 1970",26.0,NBA,"SF,SG",77.0,77.0,2831.0,444.0,1029.0,0.43,86.0,247.0,0.35,358.0,782.0,0.46,0.47,252.0,310.0,0.81,132.0,279.0,411.0,316.0,86.0,32.0,208.0,194.0,1226.0,2.0
1997,7,1403,DAL,Dallas Mavericks,Jim Jackson,"October 14, 1970",26.0,NBA,SG,46.0,46.0,1676.0,260.0,588.0,0.44,46.0,139.0,0.33,214.0,449.0,0.48,0.48,148.0,188.0,0.79,81.0,146.0,227.0,156.0,57.0,15.0,107.0,113.0,714.0,0.0
1997,3,1403,NJN,New Jersey Nets,Jim Jackson,"October 14, 1970",26.0,NBA,SF,31.0,31.0,1155.0,184.0,441.0,0.42,40.0,108.0,0.37,144.0,333.0,0.43,0.46,104.0,122.0,0.85,51.0,133.0,184.0,160.0,29.0,17.0,101.0,81.0,512.0,2.0
1998,31,1403,TOT,Total After Trade,Jim Jackson,"October 14, 1970",27.0,NBA,SG,79.0,78.0,3046.0,476.0,1107.0,0.43,61.0,191.0,0.32,415.0,916.0,0.45,0.46,229.0,282.0,0.81,130.0,270.0,400.0,381.0,79.0,8.0,263.0,186.0,1242.0,0.0
1998,23,1403,PHI,Philadelphia 76Ers,Jim Jackson,"October 14, 1970",27.0,NBA,SG,48.0,47.0,1788.0,246.0,535.0,0.46,39.0,112.0,0.35,207.0,423.0,0.49,0.5,126.0,154.0,0.82,69.0,158.0,227.0,223.0,41.0,6.0,145.0,112.0,657.0,0.0
1998,10,1403,GSW,Golden State Warriors,Jim Jackson,"October 14, 1970",27.0,NBA,SG,31.0,31.0,1258.0,230.0,572.0,0.4,22.0,79.0,0.28,208.0,493.0,0.42,0.42,103.0,128.0,0.8,61.0,112.0,173.0,158.0,38.0,2.0,118.0,74.0,585.0,0.0
1999,25,1403,POR,Portland Trail Blazers,Jim Jackson,"October 14, 1970",28.0,NBA,SG,49.0,9.0,1175.0,152.0,370.0,0.41,25.0,90.0,0.28,127.0,280.0,0.45,0.44,85.0,101.0,0.84,36.0,123.0,159.0,128.0,43.0,6.0,82.0,80.0,414.0,0.0
2000,1,1403,ATL,Atlanta Hawks,Jim Jackson,"October 14, 1970",29.0,NBA,SF,79.0,76.0,2767.0,507.0,1235.0,0.41,117.0,303.0,0.39,390.0,932.0,0.42,0.46,186.0,212.0,0.88,101.0,293.0,394.0,230.0,57.0,10.0,185.0,167.0,1317.0,0.0
2001,31,1403,TOT,Total After Trade,Jim Jackson,"October 14, 1970",30.0,NBA,SF,56.0,40.0,1690.0,239.0,632.0,0.38,26.0,80.0,0.32,213.0,552.0,0.39,0.4,139.0,169.0,0.82,53.0,171.0,224.0,163.0,53.0,10.0,130.0,139.0,643.0,0.0
2001,1,1403,ATL,Atlanta Hawks,Jim Jackson,"October 14, 1970",30.0,NBA,SF,17.0,14.0,550.0,77.0,217.0,0.36,16.0,38.0,0.42,61.0,179.0,0.34,0.39,73.0,85.0,0.86,17.0,62.0,79.0,50.0,19.0,4.0,48.0,42.0,243.0,0.0
2001,6,1403,CLE,Cleveland Cavaliers,Jim Jackson,"October 14, 1970",30.0,NBA,SF,39.0,26.0,1140.0,162.0,415.0,0.39,10.0,42.0,0.24,152.0,373.0,0.41,0.4,66.0,84.0,0.79,36.0,109.0,145.0,113.0,34.0,6.0,82.0,97.0,400.0,0.0
2002,16,1403,MIA,Miami Heat,Jim Jackson,"October 14, 1970",31.0,NBA,SF,55.0,19.0,1825.0,238.0,538.0,0.44,38.0,81.0,0.47,200.0,457.0,0.44,0.48,75.0,87.0,0.86,54.0,236.0,290.0,140.0,42.0,14.0,106.0,145.0,589.0,0.0
2003,26,1403,SAC,Sacramento Kings,Jim Jackson,"October 14, 1970",32.0,NBA,SF,63.0,0.0,1309.0,204.0,462.0,0.44,32.0,71.0,0.45,172.0,391.0,0.44,0.48,47.0,55.0,0.86,84.0,178.0,262.0,118.0,31.0,4.0,80.0,132.0,487.0,0.0
