Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1991,3,417,NJN,New Jersey Nets,22.0,NBA,SF,74.0,859.0,10.0,0.46,0.02,0.29,7.2,10.2,8.6,8.2,1.9,1.0,9.3,13.1,,0.4,0.8,1.2,0.06,,-2.3,0.2,-2.1,0.0
1992,31,417,TOT,Total After Trade,23.0,NBA,SF,28.0,290.0,10.1,0.44,0.01,0.3,6.8,12.6,9.8,10.0,3.2,1.5,13.9,13.2,,0.0,0.4,0.4,0.06,,-2.3,2.3,0.0,0.2
1992,3,417,NJN,New Jersey Nets,23.0,NBA,SF,2.0,29.0,11.8,0.5,0.0,0.0,7.1,0.0,3.7,9.3,3.4,2.0,11.1,12.5,,0.0,0.0,0.0,0.08,,0.0,2.9,2.9,0.0
1992,27,417,SAS,San Antonio Spurs,23.0,NBA,SF,11.0,140.0,10.0,0.49,0.0,0.3,4.7,12.4,8.6,10.5,2.9,1.3,12.8,11.7,,0.0,0.2,0.3,0.09,,-3.0,2.7,-0.3,0.1
1992,10,417,GSW,Golden State Warriors,23.0,NBA,SF,15.0,121.0,9.8,0.38,0.03,0.36,9.2,16.0,12.7,9.6,3.5,1.5,15.5,15.0,,-0.1,0.2,0.1,0.02,,-1.9,1.5,-0.4,0.1
1993,10,417,GSW,Golden State Warriors,24.0,NBA,SF,70.0,1287.0,11.5,0.5,0.15,0.22,7.0,9.9,8.5,9.9,1.8,0.9,11.1,15.7,,1.0,0.8,1.8,0.07,,-0.8,-0.3,-1.0,0.3
1994,10,417,GSW,Golden State Warriors,25.0,NBA,SF,36.0,218.0,14.9,0.57,0.34,0.24,6.6,9.3,7.9,10.6,1.8,0.3,11.5,19.8,,0.4,0.1,0.5,0.11,,0.3,-1.0,-0.7,0.1
1995,5,417,CHI,Charlotte Bobcats,26.0,NBA,SF,57.0,605.0,13.8,0.54,0.26,0.21,7.0,12.1,9.6,12.6,2.1,1.5,13.0,16.9,,0.7,0.9,1.5,0.12,,-0.3,0.6,0.3,0.4
1996,5,417,CHI,Charlotte Bobcats,27.0,NBA,SF,74.0,740.0,14.1,0.55,0.37,0.09,7.1,10.4,8.7,11.1,2.4,0.7,13.4,17.3,,1.0,1.2,2.3,0.15,,0.8,1.0,1.7,0.7
1997,5,417,CHI,Charlotte Bobcats,28.0,NBA,SF,76.0,703.0,9.8,0.42,0.34,0.09,7.3,12.8,10.1,11.4,1.7,2.2,14.1,12.1,,0.1,1.1,1.2,0.08,,-1.7,0.9,-0.9,0.2
1998,5,417,CHI,Charlotte Bobcats,29.0,NBA,SF,74.0,608.0,14.1,0.55,0.37,0.03,4.5,10.0,7.3,12.8,2.0,1.8,10.5,14.7,,1.0,0.9,1.9,0.15,,0.9,1.8,2.7,0.7
1999,9,417,DET,Detroit Pistons,30.0,NBA,SF,50.0,1056.0,12.2,0.55,0.62,0.08,3.3,12.1,7.7,9.1,1.9,1.0,7.8,12.1,,1.7,1.2,2.9,0.13,,1.1,1.0,2.1,1.1
2001,9,417,DET,Detroit Pistons,32.0,NBA,SF,57.0,737.0,9.9,0.57,0.47,0.07,2.9,11.0,6.8,8.4,1.4,1.0,12.9,11.4,,0.8,0.7,1.5,0.1,,-1.8,0.9,-0.9,0.2
2002,31,417,TOT,Total After Trade,33.0,NBA,SF,66.0,684.0,7.8,0.46,0.51,0.03,4.7,14.3,9.5,6.5,1.6,0.8,11.1,8.8,,0.2,0.6,0.8,0.06,,-2.4,0.2,-2.2,0.0
2002,24,417,PHO,Phoenix Suns,33.0,NBA,SF,6.0,54.0,5.1,0.5,1.0,0.0,4.1,12.7,8.4,7.5,1.0,0.0,14.3,5.8,,0.0,0.0,0.1,0.06,,-3.3,-0.5,-3.8,0.0
2002,22,417,ORL,Orlando Magic,33.0,NBA,SF,60.0,630.0,8.0,0.46,0.48,0.04,4.8,14.5,9.6,6.5,1.6,0.9,11.0,9.1,,0.2,0.6,0.8,0.06,,-2.3,0.2,-2.1,0.0
