Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2018,20.0,MIA,NBA,C,69,19,1368,174,340,0.512,0,7,0.0,174,333,0.523,0.512,129,179,0.721,118,263,381,101,32,41,66,138,477,,0
2019,21.0,MIA,NBA,C,82,28,1913,280,486,0.576,3,15,0.2,277,471,0.588,0.579,166,226,0.735,165,432,597,184,71,65,121,203,729,,0
2020,22.0,MIA,NBA,PF,72,72,2417,440,790,0.557,2,14,0.143,438,776,0.564,0.558,264,382,0.691,176,559,735,368,82,93,204,182,1146,,3
2021,23.0,MIA,NBA,C,8,8,243,52,81,0.642,0,0,,52,81,0.642,0.642,35,44,0.795,9,63,72,40,8,8,27,21,139,,0
