Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1993,30,1136,WSB,Washington Bullets,Tom Gugliotta,"December 19, 1969",23.0,NBA,PF,81.0,81.0,2795.0,484.0,1135.0,0.43,38.0,135.0,0.28,446.0,1000.0,0.45,0.44,181.0,281.0,0.64,219.0,562.0,781.0,306.0,134.0,35.0,230.0,195.0,1187.0,,1.0
1994,30,1136,WSB,Washington Bullets,Tom Gugliotta,"December 19, 1969",24.0,NBA,PF,78.0,78.0,2795.0,540.0,1159.0,0.47,40.0,148.0,0.27,500.0,1011.0,0.5,0.48,213.0,311.0,0.68,189.0,539.0,728.0,276.0,172.0,51.0,247.0,174.0,1333.0,,0.0
1995,31,1136,TOT,Total After Trade,Tom Gugliotta,"December 19, 1969",25.0,NBA,"PF,SF",77.0,63.0,2568.0,371.0,837.0,0.44,60.0,186.0,0.32,311.0,651.0,0.48,0.48,174.0,252.0,0.69,165.0,407.0,572.0,279.0,132.0,62.0,189.0,203.0,976.0,,0.0
1995,30,1136,WSB,Washington Bullets,Tom Gugliotta,"December 19, 1969",25.0,NBA,PF,6.0,6.0,226.0,33.0,83.0,0.4,4.0,8.0,0.5,29.0,75.0,0.39,0.42,26.0,33.0,0.79,16.0,37.0,53.0,18.0,21.0,11.0,15.0,19.0,96.0,,0.0
1995,10,1136,GSW,Golden State Warriors,Tom Gugliotta,"December 19, 1969",25.0,NBA,PF,40.0,40.0,1324.0,176.0,397.0,0.44,28.0,90.0,0.31,148.0,307.0,0.48,0.48,55.0,97.0,0.57,100.0,197.0,297.0,122.0,50.0,23.0,93.0,98.0,435.0,,0.0
1995,18,1136,MIN,Minnesota Timberwolves,Tom Gugliotta,"December 19, 1969",25.0,NBA,SF,31.0,17.0,1018.0,162.0,357.0,0.45,28.0,88.0,0.32,134.0,269.0,0.5,0.49,93.0,122.0,0.76,49.0,173.0,222.0,139.0,61.0,28.0,81.0,86.0,445.0,,0.0
1996,18,1136,MIN,Minnesota Timberwolves,Tom Gugliotta,"December 19, 1969",26.0,NBA,PF,78.0,78.0,2835.0,473.0,1004.0,0.47,26.0,86.0,0.3,447.0,918.0,0.49,0.48,289.0,374.0,0.77,176.0,514.0,690.0,238.0,139.0,96.0,234.0,265.0,1261.0,,0.0
1997,18,1136,MIN,Minnesota Timberwolves,Tom Gugliotta,"December 19, 1969",27.0,NBA,PF,81.0,81.0,3131.0,592.0,1339.0,0.44,24.0,93.0,0.26,568.0,1246.0,0.46,0.45,464.0,566.0,0.82,187.0,515.0,702.0,335.0,130.0,89.0,293.0,237.0,1672.0,,0.0
1998,18,1136,MIN,Minnesota Timberwolves,Tom Gugliotta,"December 19, 1969",28.0,NBA,SF,41.0,41.0,1582.0,319.0,635.0,0.5,2.0,17.0,0.12,317.0,618.0,0.51,0.5,183.0,223.0,0.82,106.0,250.0,356.0,167.0,61.0,22.0,109.0,102.0,823.0,,0.0
1999,24,1136,PHO,Phoenix Suns,Tom Gugliotta,"December 19, 1969",29.0,NBA,PF,43.0,43.0,1563.0,277.0,573.0,0.48,2.0,7.0,0.29,275.0,566.0,0.49,0.48,173.0,218.0,0.79,131.0,250.0,381.0,121.0,59.0,21.0,88.0,110.0,729.0,,0.0
