Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,29,652,UTA,Utah Jazz,Dell Curry,"June 25, 1964",22.0,NBA,SG,2.0,0.0,2.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1988,6,652,CLE,Cleveland Cavaliers,Dell Curry,"June 25, 1964",23.0,NBA,SG,2.0,0.0,8.5,0.5,2.0,0.25,0.0,0.5,0.0,0.5,1.5,0.33,0.25,0.0,0.0,,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.5,1.0
1993,4,652,CHO,Charlotte Hornets,Dell Curry,"June 25, 1964",28.0,NBA,SG,9.0,0.0,24.7,4.7,10.8,0.43,0.7,2.3,0.29,4.0,8.4,0.47,0.46,1.0,1.2,0.82,1.2,2.3,3.6,2.0,1.4,0.0,1.4,2.1,11.0
1995,4,652,CHO,Charlotte Hornets,Dell Curry,"June 25, 1964",30.0,NBA,SG,4.0,0.0,26.8,4.0,8.5,0.47,2.3,5.3,0.43,1.8,3.3,0.54,0.6,2.5,2.8,0.91,1.3,1.0,2.3,1.5,0.0,0.0,1.5,2.8,12.8
1997,4,652,CHO,Charlotte Hornets,Dell Curry,"June 25, 1964",32.0,NBA,SG,3.0,1.0,16.7,1.7,5.7,0.29,0.3,1.3,0.25,1.3,4.3,0.31,0.32,1.0,1.0,1.0,0.3,0.0,0.3,1.7,1.3,0.0,0.3,1.7,4.7
1998,4,652,CHO,Charlotte Hornets,Dell Curry,"June 25, 1964",33.0,NBA,SG,9.0,0.0,19.0,2.3,5.8,0.4,0.4,1.8,0.25,1.9,4.0,0.47,0.44,0.7,0.8,0.86,0.7,1.4,2.1,1.1,0.8,0.3,0.6,2.3,5.8
1999,17,652,MIL,Milwaukee Bucks,Dell Curry,"June 25, 1964",34.0,NBA,SG,3.0,0.0,16.3,0.7,5.0,0.13,0.3,2.7,0.12,0.3,2.3,0.14,0.17,1.3,1.3,1.0,0.0,1.3,1.3,0.3,1.0,0.0,0.0,1.7,3.0
2000,28,652,TOR,Toronto Raptors,Dell Curry,"June 25, 1964",35.0,NBA,SG,3.0,0.0,10.0,0.7,1.3,0.5,0.7,1.0,0.67,0.0,0.3,0.0,0.75,0.3,0.7,0.5,0.3,0.3,0.7,0.3,0.7,0.0,0.7,1.3,2.3
2001,28,652,TOR,Toronto Raptors,Dell Curry,"June 25, 1964",36.0,NBA,SG,12.0,0.0,15.2,2.3,5.3,0.42,1.2,3.1,0.38,1.1,2.3,0.48,0.53,0.8,1.0,0.83,0.2,1.0,1.2,0.8,0.5,0.1,0.9,0.8,6.5
2002,28,652,TOR,Toronto Raptors,Dell Curry,"June 25, 1964",37.0,NBA,SG,4.0,0.0,14.8,2.5,6.3,0.4,1.0,1.3,0.8,1.5,5.0,0.3,0.48,1.0,1.0,1.0,0.0,1.3,1.3,1.0,1.3,0.5,0.8,1.0,7.0
