Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2005,26,1863,SAC,Sacramento Kings,Kevin Martin,"February 1, 1983",21.0,NBA,PG,45.0,0.0,455.0,5.1,13.3,0.38,0.6,2.8,0.2,4.5,10.4,0.44,4.1,6.2,0.66,3.3,3.3,6.6,2.5,1.8,0.3,2.7,4.0,14.9,96.0,111.0
2006,26,1863,SAC,Sacramento Kings,Kevin Martin,"February 1, 1983",22.0,NBA,SG,72.0,41.0,1913.0,7.2,14.9,0.48,1.8,4.9,0.37,5.3,10.0,0.53,5.1,6.1,0.85,1.6,5.5,7.1,2.6,1.5,0.2,2.2,3.8,21.2,116.0,107.0
2007,26,1863,SAC,Sacramento Kings,Kevin Martin,"February 1, 1983",23.0,NBA,SG,80.0,80.0,2818.0,9.1,19.2,0.47,2.3,6.0,0.38,6.8,13.2,0.52,8.6,10.2,0.84,1.2,4.9,6.1,3.1,1.8,0.2,2.4,3.3,29.1,120.0,109.0
2008,26,1863,SAC,Sacramento Kings,Kevin Martin,"February 1, 1983",24.0,NBA,SG,61.0,57.0,2216.0,9.5,20.9,0.46,2.4,6.1,0.4,7.1,14.8,0.48,11.5,13.2,0.87,1.1,5.1,6.2,3.0,1.4,0.1,3.0,3.4,33.0,121.0,112.0
2009,26,1863,SAC,Sacramento Kings,Kevin Martin,"February 1, 1983",25.0,NBA,SG,51.0,46.0,1947.0,8.9,21.2,0.42,3.0,7.2,0.42,5.9,14.0,0.42,12.0,13.8,0.87,0.8,4.0,4.8,3.6,1.6,0.2,3.8,3.0,32.8,115.0,117.0
2010,31,1863,TOT,Total After Trade,Kevin Martin,"February 1, 1983",26.0,NBA,SG,46.0,43.0,1633.0,9.0,21.7,0.42,2.2,6.6,0.33,6.8,15.1,0.45,9.3,10.6,0.88,0.9,4.2,5.1,3.5,1.4,0.2,2.9,3.0,29.6,113.0,111.0
2010,26,1863,SAC,Sacramento Kings,Kevin Martin,"February 1, 1983",26.0,NBA,SG,22.0,21.0,774.0,8.9,22.4,0.4,2.6,7.3,0.36,6.3,15.1,0.42,8.4,10.2,0.82,1.3,4.9,6.2,3.8,1.5,0.3,2.3,3.4,28.8,112.0,112.0
2010,11,1863,HOU,Houston Rockets,Kevin Martin,"February 1, 1983",26.0,NBA,SG,24.0,22.0,859.0,9.2,21.0,0.44,1.8,5.9,0.31,7.3,15.1,0.48,10.2,11.0,0.92,0.5,3.6,4.2,3.2,1.4,0.1,3.4,2.7,30.3,113.0,111.0
2011,11,1863,HOU,Houston Rockets,Kevin Martin,"February 1, 1983",27.0,NBA,SG,80.0,80.0,2603.0,10.8,24.8,0.44,3.4,9.0,0.38,7.4,15.8,0.47,11.6,13.1,0.89,0.5,4.5,5.1,3.9,1.6,0.3,3.6,3.0,36.7,117.0,111.0
2012,11,1863,HOU,Houston Rockets,Kevin Martin,"February 1, 1983",28.0,NBA,SG,40.0,40.0,1264.0,9.2,22.2,0.41,3.2,9.3,0.35,6.0,12.9,0.46,6.6,7.4,0.89,0.5,3.9,4.4,4.6,1.2,0.1,2.9,2.9,28.2,111.0,109.0
2013,21,1863,OKC,Oklahoma City Thunder,Kevin Martin,"February 1, 1983",29.0,NBA,SG,77.0,0.0,2136.0,8.4,18.7,0.45,3.8,8.9,0.43,4.6,9.8,0.47,5.3,5.9,0.89,0.7,3.5,4.3,2.6,1.7,0.2,2.4,3.3,25.9,117.0,107.0
2014,18,1863,MIN,Minnesota Timberwolves,Kevin Martin,"February 1, 1983",30.0,NBA,SG,68.0,68.0,2177.0,10.0,23.2,0.43,2.6,6.7,0.39,7.4,16.4,0.45,6.9,7.7,0.89,0.8,3.8,4.6,2.7,1.5,0.1,2.4,2.8,29.4,110.0,109.0
2015,18,1863,MIN,Minnesota Timberwolves,Kevin Martin,"February 1, 1983",31.0,NBA,SG,39.0,36.0,1302.0,10.4,24.4,0.43,2.9,7.5,0.39,7.5,16.9,0.44,6.6,7.5,0.88,0.7,4.8,5.5,3.5,1.3,0.0,3.0,3.0,30.4,107.0,115.0
2016,31,1863,TOT,Total After Trade,Kevin Martin,"February 1, 1983",32.0,NBA,SG,55.0,13.0,1095.0,7.2,19.4,0.37,2.3,6.3,0.36,4.9,13.1,0.38,7.1,7.9,0.89,0.6,4.4,5.1,2.7,1.2,0.1,2.5,3.8,23.7,103.0,111.0
2016,18,1863,MIN,Minnesota Timberwolves,Kevin Martin,"February 1, 1983",32.0,NBA,SG,39.0,12.0,834.0,7.6,20.2,0.38,2.3,6.2,0.37,5.3,14.0,0.38,7.6,8.6,0.88,0.6,4.3,4.9,2.8,1.0,0.1,2.5,4.1,25.1,104.0,114.0
2016,27,1863,SAS,San Antonio Spurs,Kevin Martin,"February 1, 1983",32.0,NBA,SG,16.0,1.0,261.0,5.9,16.7,0.35,2.2,6.5,0.33,3.7,10.2,0.36,5.5,5.9,0.93,0.8,4.9,5.7,2.4,1.8,0.4,2.5,2.9,19.4,99.0,101.0
