Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2013,10,167,GSW,Golden State Warriors,20.0,NBA,SF,81.0,2058.0,11.0,0.53,0.23,0.3,2.9,14.5,8.9,7.3,1.3,0.5,12.4,17.7,,0.9,1.9,2.8,0.06,,-1.6,-0.1,-1.7,0.1
2014,10,167,GSW,Golden State Warriors,21.0,NBA,SF,78.0,2204.0,9.8,0.49,0.28,0.27,3.3,11.9,7.7,7.6,1.5,0.7,10.0,16.8,,0.4,2.8,3.2,0.07,,-2.2,0.5,-1.6,0.2
2015,10,167,GSW,Golden State Warriors,22.0,NBA,SF,82.0,2318.0,13.4,0.57,0.33,0.23,5.6,15.1,10.5,6.9,1.3,0.6,9.0,14.9,,3.7,3.0,6.7,0.14,,0.2,-0.1,0.1,1.2
2016,10,167,GSW,Golden State Warriors,23.0,NBA,SF,66.0,2042.0,12.3,0.56,0.34,0.21,4.3,12.4,8.6,7.8,1.0,0.4,7.6,15.9,,3.1,1.9,4.9,0.12,,-0.2,-1.1,-1.3,0.3
2017,7,167,DAL,Dallas Mavericks,24.0,NBA,PF,79.0,2803.0,16.3,0.54,0.17,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,,2.5,2.1,4.6,0.08,,0.4,-1.2,-0.8,0.8
2018,7,167,DAL,Dallas Mavericks,25.0,NBA,PF,77.0,2634.0,15.8,0.54,0.28,0.26,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,,2.0,1.9,3.8,0.07,,0.8,-1.3,-0.5,1.0
2019,31,167,TOT,Total After Trade,26.0,NBA,"PF,SF",77.0,2533.0,12.8,0.55,0.43,0.27,2.4,12.7,7.5,6.7,0.9,0.4,7.9,20.9,,2.0,1.6,3.6,0.07,,-0.2,-1.2,-1.4,0.4
2019,7,167,DAL,Dallas Mavericks,26.0,NBA,PF,49.0,1584.0,13.1,0.54,0.43,0.28,2.4,11.5,7.0,6.3,1.0,0.6,7.8,23.7,,0.8,1.1,1.9,0.06,,0.0,-1.2,-1.2,0.3
2019,26,167,SAC,Sacramento Kings,26.0,NBA,SF,28.0,949.0,12.3,0.58,0.42,0.26,2.2,14.8,8.4,7.5,0.8,0.2,8.0,16.3,,1.1,0.5,1.7,0.08,,-0.5,-1.2,-1.7,0.1
2020,26,167,SAC,Sacramento Kings,27.0,NBA,PF,72.0,2482.0,13.3,0.57,0.34,0.34,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,,3.4,1.1,4.6,0.09,,0.0,-1.3,-1.3,0.5
2021,26,167,SAC,Sacramento Kings,28.0,NBA,PF,16.0,558.0,16.0,0.61,0.33,0.42,2.5,18.0,10.0,13.8,1.0,0.5,9.5,17.9,,1.1,-0.1,1.0,0.09,,1.3,-1.5,-0.2,0.2
