NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
12,Steven Adams,C,6-11,265,1993-07-20,NZ,6,Pitt
7,Darius Bazley,PF,6-8,208,2000-06-12,US,R,
30,Deonte Burton,SF,6-4,240,1994-01-31,US,1,"Marquette, Iowa State"
6,Hamidou Diallo,SF,6-5,202,1998-07-31,US,1,Kentucky
5,Luguentz Dort,SF,6-3,220,1999-04-19,CA,R,Arizona State
23,Terrance Ferguson,SF,6-6,190,1998-05-17,US,2,
8,Danilo Gallinari,PF,6-10,233,1988-08-08,IT,10,
2,Shai Gilgeous-Alexander,SG,6-5,180,1998-07-12,CA,1,Kentucky
14,Devon Hall,PG,6-2,215,1995-07-07,US,R,Virginia
15,Kevin Hervey,PF,6-9,230,1996-07-09,US,R,UT Arlington
33,Mike Muscala,C,6-10,240,1991-07-01,US,6,Bucknell
11,Abdel Nader,SF,6-5,225,1993-09-25,EG,2,"Northern Illinois, Iowa State"
9,Nerlens Noel,C,6-10,220,1994-04-10,US,5,Kentucky
13,Justin Patton,C,6-11,241,1997-06-14,US,2,Creighton
3,Chris Paul,PG,6-1,175,1985-05-06,US,14,Wake Forest
21,Andre Roberson,SF,6-7,210,1991-12-04,US,5,Colorado
22,Isaiah Roby,PF,6-8,230,1998-02-03,US,R,Nebraska
17,Dennis Schröder,SG,6-1,172,1993-09-15,DE,6,
