Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1980,24,PHO,Phoenix Suns,Paul Westphal,29,8,,253,13.0,26.8,0.49,0.2,2.3,0.08,12.8,24.6,0.52,5.3,6.0,0.88,0.4,1.5,1.9,5.9,2.1,0.6,2.5,3.8,31.6,,109,112
1980,24,PHO,Phoenix Suns,Alvan Adams,25,8,,251,10.7,18.9,0.57,0.0,0.0,,10.7,18.9,0.57,3.2,3.6,0.9,3.4,11.2,14.7,8.8,1.3,1.9,4.6,4.6,24.6,,112,104
1980,24,PHO,Phoenix Suns,Walter Davis,25,8,,245,13.5,26.7,0.5,0.0,0.6,0.0,13.5,26.1,0.52,5.5,7.4,0.74,1.8,2.7,4.5,6.8,0.8,0.2,3.9,3.9,32.4,,106,114
1980,24,PHO,Phoenix Suns,Don Buse,29,8,,236,5.7,13.0,0.44,1.0,2.6,0.38,4.7,10.3,0.45,1.4,2.2,0.64,1.6,2.6,4.3,8.9,1.2,0.0,2.6,3.0,13.8,,105,113
1980,24,PHO,Phoenix Suns,Gar Heard,31,8,,223,4.7,12.0,0.39,0.0,0.0,,4.7,12.0,0.39,2.4,3.2,0.73,4.1,6.9,10.9,2.6,1.9,2.4,1.7,4.9,11.8,,100,106
1980,24,PHO,Phoenix Suns,Mike Bratz,24,8,,169,12.2,23.8,0.51,2.5,6.5,0.39,9.6,17.3,0.56,2.5,2.8,0.9,1.7,4.0,5.7,4.5,2.5,0.0,3.7,5.7,29.4,,108,109
1980,24,PHO,Phoenix Suns,Rich Kelley,26,8,,146,6.2,14.4,0.43,0.0,0.3,0.0,6.2,14.1,0.44,2.9,3.3,0.9,4.6,7.2,11.8,7.2,2.9,2.3,3.3,5.6,15.4,,104,104
1980,24,PHO,Phoenix Suns,Alvin Scott,24,8,,140,5.8,11.3,0.52,0.0,0.7,0.0,5.8,10.6,0.55,1.4,2.7,0.5,2.7,4.8,7.5,3.4,1.4,1.7,2.4,2.7,13.0,,101,110
1980,24,PHO,Phoenix Suns,Johnny High,22,8,,120,4.8,12.3,0.39,0.0,0.8,0.0,4.8,11.6,0.41,3.2,6.4,0.5,4.0,6.0,10.0,8.0,2.4,0.8,2.8,8.0,12.7,,98,107
1980,24,PHO,Phoenix Suns,Jeff Cook,23,7,,98,7.8,11.7,0.67,0.0,0.0,,7.8,11.7,0.67,10.7,12.7,0.85,2.4,7.8,10.2,3.4,2.0,1.0,2.4,4.9,26.3,,143,106
1980,24,PHO,Phoenix Suns,Truck Robinson,28,3,,64,4.5,11.9,0.38,0.0,0.0,,4.5,11.9,0.38,3.7,5.2,0.71,3.7,11.2,14.9,3.0,2.2,1.5,6.0,4.5,12.7,,78,103
