PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Hersey Hawkins,24,80,3110,19.4,0.5920000000000001,0.21600000000000003,0.44,1.8,9.3,5.6,15.3,2.9,0.7,12.5,24.0,,6.5,3.3,9.8,0.151,,2.4,0.9,3.3,4.1
Charles Barkley,27,67,2498,28.9,0.635,0.133,0.564,11.8,18.6,15.3,20.6,2.2,0.8,12.6,29.1,,10.3,3.1,13.4,0.258,,8.3,1.0,9.3,7.0
Rick Mahorn,32,80,2439,11.8,0.535,0.016,0.429,7.1,21.2,14.3,6.8,1.6,1.4,16.0,14.2,,1.3,3.1,4.4,0.086,,-2.3,0.6,-1.7,0.1
Ron Anderson,32,82,2340,15.5,0.524,0.040999999999999995,0.188,5.0,12.4,8.8,8.2,1.4,0.3,8.1,23.2,,2.3,1.8,4.1,0.085,,-0.2,-1.4,-1.6,0.2
Rickey Green,36,79,2248,13.1,0.506,0.05,0.195,1.7,5.1,3.4,27.4,1.3,0.2,12.1,17.3,,2.3,1.0,3.3,0.07,,-0.6,-1.5,-2.0,0.0
Armen Gilliam,26,50,1695,14.3,0.527,0.003,0.324,9.1,14.9,12.1,7.1,1.0,1.1,13.4,21.1,,1.1,1.4,2.6,0.07200000000000001,,-1.0,-1.7,-2.7,-0.3
Manute Bol,28,82,1522,8.4,0.426,0.085,0.25,5.0,20.5,12.9,1.7,0.5,9.6,25.7,7.0,,-1.3,2.6,1.3,0.042,,-4.7,3.7,-1.0,0.4
Andre Turner,26,70,1407,12.8,0.489,0.086,0.22699999999999998,2.9,9.1,6.1,31.6,2.2,0.0,18.4,16.0,,0.7,1.2,1.9,0.064,,-1.3,-0.4,-1.7,0.1
Brian Oliver,22,73,800,9.9,0.46,0.066,0.261,2.6,8.5,5.6,16.2,2.1,0.3,14.2,19.3,,-0.5,0.6,0.2,0.01,,-4.0,-0.5,-4.4,-0.5
Mike Gminski,31,30,791,12.7,0.436,0.027999999999999997,0.222,10.3,18.1,14.3,6.1,1.0,2.5,9.0,18.9,,-0.1,0.9,0.7,0.045,,-1.4,-1.0,-2.4,-0.1
Jayson Williams,22,52,508,8.0,0.49,0.012,0.348,9.3,15.2,12.3,4.7,0.9,0.7,17.7,19.4,,-0.4,0.4,0.1,0.006,,-5.8,-1.9,-7.7,-0.7
Kenny Payne,24,47,444,7.5,0.41100000000000003,0.095,0.153,4.4,12.1,8.3,5.4,1.1,0.8,9.4,21.9,,-0.7,0.3,-0.3,-0.037000000000000005,,-5.2,-2.1,-7.2,-0.6
Johnny Dawkins,27,4,124,22.8,0.687,0.098,0.268,0.0,14.2,7.2,37.1,1.2,0.0,14.9,19.0,,0.5,0.1,0.6,0.218,,4.6,0.0,4.6,0.2
Dave Hoppen,26,11,43,13.2,0.579,0.083,1.0,10.7,12.8,11.7,0.0,1.2,0.0,5.5,18.6,,0.1,0.0,0.1,0.16399999999999998,,-3.8,-3.4,-7.2,-0.1
Tony Harris,23,6,41,-5.0,0.282,0.125,0.25,0.0,2.7,1.4,0.0,1.2,0.0,14.5,22.1,,-0.2,0.0,-0.2,-0.248,,-12.1,-4.3,-16.4,-0.1
Robert Reid,35,3,37,0.3,0.14300000000000002,0.0,0.0,6.2,20.8,13.7,14.1,1.4,4.8,17.6,20.1,,-0.2,0.1,-0.2,-0.235,,-9.9,-2.0,-11.9,-0.1
Mario Elie,27,3,20,-3.6,0.381,0.28600000000000003,0.28600000000000003,0.0,5.5,2.8,7.0,0.0,0.0,27.6,23.8,,-0.1,0.0,-0.1,-0.247,,-10.3,-6.3,-16.6,-0.1
Jim Farmer,26,2,13,10.9,0.381,0.14300000000000002,0.28600000000000003,17.6,25.4,21.6,0.0,0.0,0.0,11.3,29.8,,0.0,0.0,0.0,-0.068,,-6.1,-5.2,-11.3,0.0
