Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020,13,1579,LAC,Los Angeles Clippers,Mfiondu Kabengele,1997-08-14,22.0,NBA,C,12,0,64,7.9,18.0,0.44,5.1,11.3,0.45,2.8,6.8,0.42,2.8,2.8,1.0,0.6,5.6,6.2,1.1,1.1,1.1,1.1,5.1,23.6
2021,13,1579,LAC,Los Angeles Clippers,Mfiondu Kabengele,1997-08-14,23.0,NBA,PF,23,0,94,3.4,12.3,0.28,1.5,6.9,0.22,1.9,5.4,0.36,1.9,2.3,0.83,0.4,5.0,5.4,1.9,0.8,1.1,2.3,6.9,10.3
