Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992,6,CLE,Cleveland Cavaliers,Brad Daugherty,26,17,17,687,124,235,0.53,0,1,0.0,124,234,0.53,0.53,118,145,0.81,37,137,174,58,11,17,37,47,366
1992,6,CLE,Cleveland Cavaliers,Larry Nance,32,17,17,681,124,251,0.49,0,1,0.0,124,250,0.5,0.49,58,70,0.83,45,112,157,43,14,46,26,56,306
1992,6,CLE,Cleveland Cavaliers,Mark Price,27,17,17,603,118,238,0.5,25,69,0.36,93,169,0.55,0.55,66,73,0.9,10,32,42,128,24,4,56,34,327
1992,6,CLE,Cleveland Cavaliers,Hot Rod Williams,29,17,0,567,84,154,0.55,0,0,,84,154,0.55,0.55,87,109,0.8,50,80,130,42,24,17,31,58,255
1992,6,CLE,Cleveland Cavaliers,Craig Ehlo,30,17,14,552,63,152,0.41,21,51,0.41,42,101,0.42,0.48,16,21,0.76,22,55,77,77,21,5,18,40,163
1992,6,CLE,Cleveland Cavaliers,Mike Sanders,31,17,17,418,56,115,0.49,1,3,0.33,55,112,0.49,0.49,17,21,0.81,20,35,55,37,15,12,23,62,130
1992,6,CLE,Cleveland Cavaliers,John Battle,29,15,0,202,34,82,0.42,0,2,0.0,34,80,0.42,0.42,21,23,0.91,4,8,12,15,5,1,18,11,89
1992,6,CLE,Cleveland Cavaliers,Terrell Brandon,21,12,0,157,22,55,0.4,0,3,0.0,22,52,0.42,0.4,3,4,0.75,4,18,22,30,3,1,11,17,47
1992,6,CLE,Cleveland Cavaliers,Steve Kerr,26,12,3,149,18,41,0.44,3,11,0.27,15,30,0.5,0.48,5,5,1.0,1,5,6,10,5,0,4,12,44
1992,6,CLE,Cleveland Cavaliers,Danny Ferry,25,9,0,55,7,15,0.47,1,3,0.33,6,12,0.5,0.5,4,4,1.0,7,9,16,1,1,1,2,7,19
1992,6,CLE,Cleveland Cavaliers,Henry James,26,8,0,22,1,10,0.1,0,3,0.0,1,7,0.14,0.1,2,4,0.5,1,1,2,2,1,0,1,2,4
1992,6,CLE,Cleveland Cavaliers,Bobby Phills,22,5,0,12,4,9,0.44,0,1,0.0,4,8,0.5,0.44,3,4,0.75,2,4,6,5,1,0,2,1,11
