Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992,13,LAC,Los Angeles Clippers,Ron Harper,28,5,5,206,39,87,0.45,1,9,0.11,38,78,0.49,0.45,11,14,0.79,10,22,32,23,5,4,15,13,90
1992,13,LAC,Los Angeles Clippers,Danny Manning,25,5,5,194,46,81,0.57,1,3,0.33,45,78,0.58,0.57,20,31,0.64,15,13,28,14,5,4,13,21,113
1992,13,LAC,Los Angeles Clippers,Doc Rivers,30,5,4,187,25,56,0.45,4,8,0.5,21,48,0.44,0.48,22,27,0.82,4,15,19,21,6,0,3,16,76
1992,13,LAC,Los Angeles Clippers,Ken Norman,27,5,5,184,27,53,0.51,0,2,0.0,27,51,0.53,0.51,9,17,0.53,19,30,49,15,4,3,6,18,63
1992,13,LAC,Los Angeles Clippers,Charles Smith,26,5,5,148,22,56,0.39,0,0,,22,56,0.39,0.39,14,15,0.93,10,18,28,9,4,12,10,24,58
1992,13,LAC,Los Angeles Clippers,James Edwards,36,5,0,87,10,24,0.42,0,0,,10,24,0.42,0.42,12,19,0.63,5,8,13,3,1,1,4,11,32
1992,13,LAC,Los Angeles Clippers,Gary Grant,26,5,1,77,10,21,0.48,0,2,0.0,10,19,0.53,0.48,2,2,1.0,0,4,4,18,3,2,8,10,22
1992,13,LAC,Los Angeles Clippers,Olden Polynice,27,5,0,63,7,12,0.58,0,0,,7,12,0.58,0.58,2,6,0.33,2,16,18,2,1,1,1,11,16
1992,13,LAC,Los Angeles Clippers,Loy Vaught,23,5,0,36,7,11,0.64,1,1,1.0,6,10,0.6,0.68,2,2,1.0,2,10,12,4,1,1,1,3,17
1992,13,LAC,Los Angeles Clippers,Danny Young,29,3,0,11,2,4,0.5,0,2,0.0,2,2,1.0,0.5,0,0,,0,0,0,1,0,0,2,0,4
1992,13,LAC,Los Angeles Clippers,Bo Kimble,25,3,0,5,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,1,0,0,1,2,0
1992,13,LAC,Los Angeles Clippers,LeRon Ellis,22,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
