Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992,16,MIA,Miami Heat,Grant Long,25,3,3,120,15,36,0.42,0,4,0.0,15,32,0.47,0.42,7,10,0.7,7,8,15,8,5,0,5,11,37
1992,16,MIA,Miami Heat,Glen Rice,24,3,3,119,24,64,0.38,3,12,0.25,21,52,0.4,0.4,6,7,0.86,3,7,10,5,2,0,6,7,57
1992,16,MIA,Miami Heat,Rony Seikaly,26,3,3,117,19,35,0.54,0,0,,19,35,0.54,0.54,24,32,0.75,11,19,30,4,1,5,9,15,62
1992,16,MIA,Miami Heat,Steve Smith,22,3,3,100,18,34,0.53,7,11,0.64,11,23,0.48,0.63,5,6,0.83,3,3,6,15,4,1,3,2,48
1992,16,MIA,Miami Heat,Brian Shaw,25,3,3,85,14,30,0.47,3,5,0.6,11,25,0.44,0.52,5,8,0.62,2,11,13,12,2,0,7,13,36
1992,16,MIA,Miami Heat,Kevin Edwards,26,3,0,55,5,13,0.38,0,0,,5,13,0.38,0.38,5,8,0.62,1,6,7,7,2,0,5,3,15
1992,16,MIA,Miami Heat,Keith Askins,24,3,0,48,5,11,0.46,3,5,0.6,2,6,0.33,0.59,0,2,0.0,4,5,9,3,1,0,1,7,13
1992,16,MIA,Miami Heat,Bimbo Coles,23,3,0,45,7,10,0.7,1,1,1.0,6,9,0.67,0.75,8,10,0.8,2,5,7,6,3,0,5,5,23
1992,16,MIA,Miami Heat,Alan Ogg,24,3,0,15,1,3,0.33,0,0,,1,3,0.33,0.33,1,2,0.5,0,1,1,0,1,3,0,3,3
1992,16,MIA,Miami Heat,Alec Kessler,25,2,0,12,0,2,0.0,0,0,,0,2,0.0,0.0,2,2,1.0,0,1,1,0,0,0,1,1,2
1992,16,MIA,Miami Heat,John Morton,24,1,0,2,0,0,,0,0,,0,0,,,2,2,1.0,0,0,0,0,0,0,1,0,2
1992,16,MIA,Miami Heat,Jon Sundvold,30,1,0,2,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,1,0
