Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002,26,SAC,Sacramento Kings,Chris Webber,28,16,16,41.7,10.0,19.9,0.5,0.0,0.3,0.0,10.0,19.7,0.51,0.5,3.7,6.2,0.6,3.1,7.8,10.8,4.7,0.9,1.6,2.9,4.0,23.7
2002,26,SAC,Sacramento Kings,Mike Bibby,23,16,16,41.3,7.1,16.1,0.44,1.6,3.7,0.42,5.6,12.4,0.45,0.49,4.4,5.4,0.83,0.9,2.9,3.8,5.0,1.4,0.2,2.3,1.9,20.3
2002,26,SAC,Sacramento Kings,Doug Christie,31,16,16,40.3,3.4,8.3,0.41,1.1,4.0,0.27,2.3,4.3,0.54,0.47,3.3,4.1,0.8,1.2,4.6,5.8,4.9,2.1,0.6,2.8,4.0,11.1
2002,26,SAC,Sacramento Kings,Peja Stojakovic,24,10,7,33.8,5.0,13.3,0.38,1.3,4.8,0.27,3.7,8.5,0.44,0.42,3.5,3.9,0.9,1.6,4.7,6.3,1.0,0.5,0.0,1.9,2.2,14.8
2002,26,SAC,Sacramento Kings,Vlade Divac,33,16,16,33.4,4.4,9.4,0.46,0.1,0.4,0.29,4.3,9.0,0.47,0.47,4.6,6.1,0.76,2.9,6.4,9.3,1.7,1.1,1.3,2.3,4.8,13.5
2002,26,SAC,Sacramento Kings,Hedo Turkoglu,22,16,8,27.7,3.4,8.6,0.4,0.8,2.1,0.35,2.7,6.4,0.42,0.44,1.0,1.9,0.52,1.1,4.1,5.2,1.4,0.4,0.6,1.4,3.1,8.6
2002,26,SAC,Sacramento Kings,Bobby Jackson,28,16,1,23.4,4.1,9.1,0.44,0.7,2.7,0.26,3.4,6.4,0.52,0.48,2.1,2.7,0.79,0.9,2.3,3.3,2.0,0.9,0.2,1.1,1.9,10.9
2002,26,SAC,Sacramento Kings,Scot Pollard,26,15,0,12.9,1.4,2.7,0.52,0.0,0.0,,1.4,2.7,0.52,0.52,0.5,0.8,0.67,1.9,1.6,3.5,0.2,0.5,0.3,0.2,2.4,3.3
2002,26,SAC,Sacramento Kings,Lawrence Funderburke,31,5,0,4.0,0.4,0.6,0.67,0.0,0.0,,0.4,0.6,0.67,0.67,0.4,0.4,1.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,1.0,1.2
2002,26,SAC,Sacramento Kings,Gerald Wallace,19,5,0,2.8,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.8,0.8,1.0,0.2,0.0,0.2,0.2,0.0,0.2,0.4,0.6,0.8
2002,26,SAC,Sacramento Kings,Chucky Brown,33,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
